given_address,lat,lon,formatted,name,street,county_code,postcode,suburb,district,city,state_code,confidence_street_level,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Senatobia, Mississippi (United States of America)",34.6175679,-89.9687011,"Senatobia, MS 38668, United States of America",,,,38668,,,Senatobia,MS,,Tate County,Mississippi,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Antigua (Antigua and Barbuda),17.0855891,-61.79456028639201,"Antigua, Antigua and Barbuda",Antigua,,,,,,,,,,Antigua,Antigua and Barbuda,ag,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Woodbridge, New Jersey (United States of America)",40.55418,-74.28600076944446,"Woodbridge, NJ 07095, United States of America",Woodbridge,,,07095,,,Woodbridge,NJ,,Middlesex County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Junction City, Kansas (United States of America)",39.0286093,-96.8313978,"Junction City, KS 19886-5220, United States of America",,,,19886-5220,,,Junction City,KS,,Geary County,Kansas,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Kawasaki, Kanagawa (Japan)",35.5305307,139.7028012,"Kawasaki, 210-0005, Japan",Kawasaki,,,210-0005,,,Kawasaki,,,Kanagawa Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Georgia (United States of America),32.3293809,-83.1137366,"GA, United States of America",,,,,,,,GA,,,Georgia,United States,us,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Albany, New York (United States of America)",42.6511674,-73.754968,"Albany, NY, United States of America",,,,,,,Albany,NY,,Albany County,New York,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Kissimmee, Florida (United States of America)",28.2918995,-81.4075838,"Kissimmee, FL, United States of America",,,,,,,Kissimmee,FL,,Osceola County,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Fairfax, Virginia (United States of America)",38.8462236,-77.3063733,"Fairfax, VA, United States of America",,,,,,,Fairfax,VA,,,Virginia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Seoul (South Korea),37.5666791,126.9782914,"Seoul, South Korea",,,,,,,Seoul,,,,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Auburn, Maine (United States of America)",44.0978509,-70.2311655,"Auburn, ME 04210, United States of America",,,,04210,,,Auburn,ME,,Androscoggin County,Maine,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Whitby, Ontario (Canada)",43.87982,-78.9421751,"Whitby, ON, Canada",,,,,,,Whitby,ON,,Durham Region,Ontario,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Burke, Virginia (United States of America)",38.778416,-77.27496377315485,"Burke, VA, United States of America",Burke,,,,,,Burke,VA,,Fairfax County,Virginia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saitama (Japan),35.9754168,139.4160114,"Saitama Prefecture, Japan",,,,,,,,,,Saitama Prefecture,,Japan,jp,0.95,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mongolia,46.8250388,103.8499736,Mongolia,,,,,,,,,,,,Mongolia,mn,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Amarillo, Texas (United States of America)",35.2072185,-101.8338246,"Amarillo, TX, United States of America",,,,,,,Amarillo,TX,,Potter County,Texas,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Monclova, Coahuila de Zaragoza (Mexico)",26.8999988,-101.4171173,"25700 Monclova, Coahuila, Mexico",Monclova,,,25700,,,Monclova,,,Monclova,Coahuila,Mexico,mx,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Kofu, Yamanashi (Japan)",35.6652481,138.5710441,"Kofu, Yamanashi Prefecture, Japan",,,,,,,Kofu,,,Yamanashi Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Santa Cruz, California (United States of America)",36.9743626,-122.0294673,"Santa Cruz, CA, United States of America",,,,,,,Santa Cruz,CA,,Santa Cruz County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Stoke-on-Trent, Staffordshire, England (United Kingdom)",53.0162014,-2.1812607,"Stoke-on-Trent, West Midlands, ENG, United Kingdom",,,,,,,Stoke-on-Trent,ENG,,West Midlands,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Shrewsbury, Shropshire, England (United Kingdom)",52.707755,-2.7540658,"Shrewsbury, Shropshire, ENG, United Kingdom",,,SHR,,,,Shrewsbury,ENG,,Shropshire,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Denver, Colorado (United States of America)",39.7392364,-104.984862,"Denver, CO, United States of America",,,,,,,Denver,CO,,,Colorado,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Teaneck, New Jersey (United States of America)",40.8860164,-74.0072568,"Teaneck Township, NJ, United States of America",,,,,,,Teaneck Township,NJ,,Bergen County,New Jersey,United States,us,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Del Rio, Texas (United States of America)",29.3655405,-100.894698,"Del Rio, TX, United States of America",,,,,,,Del Rio,TX,,Val Verde County,Texas,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"München, Bayern (Germany)",48.1371079,11.5753822,"Munich, Bavaria, Germany",,,,,,,Munich,,,,Bavaria,Germany,de,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Switzerland,46.7985624,8.2319736,Switzerland,,,,,,,,,,,,Switzerland,ch,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Madera, California (United States of America)",36.9622745,-120.0594685,"Madera, CA, United States of America",,,,,,,Madera,CA,,Madera County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zagreb (Croatia),45.8131847,15.9771774,"City of Zagreb, Croatia",,,,,,,City of Zagreb,,,,,Croatia,hr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Cleveland, Ohio (United States of America)",41.4996562,-81.6936813,"Cleveland, OH, United States of America",,,,,,,Cleveland,OH,,Cuyahoga County,Ohio,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Breisach, Baden-Württemberg (Germany)",48.026872,7.5894944,"Ihringer Landstraße, 79206 Breisach am Rhein, Germany",Breisach,Ihringer Landstraße,,79206,Breisach (Kernstadt),,Breisach am Rhein,BW,,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg,Germany,de,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Wien, Wien (Austria)",48.2083537,16.3725042,"Vienna, Austria",,,,,,,Vienna,,,,,Austria,at,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"St. Petersburg, Florida (United States of America)",27.7703796,-82.6695085,"Saint Petersburg, FL, United States of America",,,,,,,Saint Petersburg,FL,,Pinellas County,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Toms River, New Jersey (United States of America)",39.9537359,-74.1979576,"Toms River, NJ, United States of America",,,,,,,Toms River,NJ,,Ocean County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Craigsville, Virginia (United States of America)",38.0787426,-79.3831022,"Craigsville, VA, United States of America",,,,,,,Craigsville,VA,,Augusta County,Virginia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Lakeland, Florida (United States of America)",28.0394654,-81.9498042,"Lakeland, FL, United States of America",,,,,,,Lakeland,FL,,Polk County,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Little Rock, Arkansas (United States of America)",34.7465071,-92.2896267,"Little Rock, AR, United States of America",,,,,,,Little Rock,AR,,Pulaski County,Arkansas,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ireland,52.865196,-7.9794599,Ireland,,,,,,,,,,,,Ireland,ie,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nuku'alofa (Tonga),-21.1343401,-175.201808,"Nuku'alofa, Tonga",Nuku'alofa,,,2891,,,Nuku'alofa,,,Vahe Kolofo'ou,Tongatapu,Tonga,to,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kiew (Ukraine),50.4500336,30.5241361,"Kyiv, Ukraine",,,,,,,Kyiv,,,,,Ukraine,ua,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Atlantic City, New Jersey (United States of America)",39.3642852,-74.4229351,"Atlantic City, NJ, United States of America",,,,,,,Atlantic City,NJ,,Atlantic County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Roanoke, Virginia (United States of America)",37.270973,-79.9414313,"Roanoke, VA, United States of America",,,,,,,Roanoke,VA,,,Virginia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Pompano Beach, Florida (United States of America)",26.2378597,-80.1247667,"Pompano Beach, FL, United States of America",,,,,,,Pompano Beach,FL,,Broward County,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Germany,51.0834196,10.4234469,Germany,,,,,,,,,,,,Germany,de,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ellsworth, Maine (United States of America)",44.5434831,-68.4201819,"Ellsworth, ME 04605, United States of America",,,,04605,,,Ellsworth,ME,,Hancock County,Maine,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Clackamas, Oregon (United States of America)",45.4146516,-122.5532561,"Clackamas, OR 97015, United States of America",Clackamas,,,97015,Clackamas,,,OR,,Clackamas County,Oregon,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Shirosato, Ibaraki (Japan)",36.4796757,140.3760465,"Shirosato, Higashiibaraki County, Japan",,,,,,,Shirosato,,,Higashiibaraki County,,Japan,jp,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Fort Lauderdale, Florida (United States of America)",26.1223084,-80.1433786,"Fort Lauderdale, FL, United States of America",,,,,,,Fort Lauderdale,FL,,Broward County,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Punjab (India),30.9293211,75.5004841,"PB, India",,,,,,,,PB,,,Punjab,India,in,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Voerendaal, Limburg (Netherlands)",50.8722592,5.913755707785212,"Voerendaal, LI, Netherlands",Voerendaal,,,,,,Voerendaal,LI,,,Limburg,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Robbinsdale, Minnesota (United States of America)",45.0313156,-93.3395843,"Robbinsdale, MN, United States of America",,,,,,,Robbinsdale,MN,,Hennepin County,Minnesota,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Deptford, New Jersey (United States of America)",39.8271755,-75.1235892,"Deptford Township, NJ, United States of America",,,,,,,Deptford Township,NJ,,Gloucester County,New Jersey,United States,us,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Roma, Lazio (Italy)",41.8933203,12.4829321,"Rome, Roma Capitale, Italy",,,,,,,Rome,LAZ,,Roma Capitale,Lazio,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Heddesheim, Baden-Württemberg (Germany)",49.5054905,8.6024574,"68542 Heddesheim, Germany",,,,68542,,,Heddesheim,BW,,Rhein-Neckar-Kreis,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bayamón (Puerto Rico),,,,,,,,,,,,,,,,,,,,,
"Edmonds, Washington (United States of America)",47.8105738,-122.3774952,"Edmonds, WA, United States of America",,,,,,,Edmonds,WA,,Snohomish County,Washington,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Duncan, British Columbia (Canada)",48.7786872,-123.7080446,"Duncan, BC, Canada",,,,,,,Duncan,BC,,Cowichan Valley Regional District,British Columbia,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Fortaleza, Ceará (Brazil)",-3.7304512,-38.5217989,"Fortaleza, Região Geográfica Intermediária de Fortaleza, Brazil",,,,,,,Fortaleza,CE,,Região Geográfica Intermediária de Fortaleza,Ceará,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Lafayette, Louisiana (United States of America)",30.2240897,-92.0198427,"Lafayette, LA, United States of America",,,,,,,Lafayette,LA,,Lafayette Parish,Louisiana,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Losone, Tessin (Switzerland)",46.1679841,8.7633619,"Losone, Distretto di Locarno, Switzerland",,,,,,,Losone,TI,,Distretto di Locarno,Ticino,Switzerland,ch,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Pittsburgh, Pennsylvania (United States of America)",40.4416941,-79.9900861,"Pittsburgh, PA, United States of America",,,,,,,Pittsburgh,PA,,Allegheny County,Pennsylvania,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Memphis, Tennessee (United States of America)",35.1490215,-90.0516285,"Memphis, TN, United States of America",,,,,,,Memphis,TN,,Shelby County,Tennessee,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hollidaysburg, Pennsylvania (United States of America)",40.430774,-78.3900826,"Hollidaysburg, PA, United States of America",,,,,,,Hollidaysburg,PA,,Blair County,Pennsylvania,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Harrisburg, Pennsylvania (United States of America)",40.2663107,-76.8861122,"Harrisburg, PA, United States of America",,,,,,,Harrisburg,PA,,Dauphin County,Pennsylvania,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Mülheim an der Ruhr, Nordrhein-Westfalen (Germany)",51.4272925,6.8829192,"Mülheim an der Ruhr, North Rhine-Westphalia, Germany",,,,,,,Mülheim an der Ruhr,,,,North Rhine-Westphalia,Germany,de,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
New York (United States of America),40.68295,-73.9708,"New York, NY, United States of America",,,,,,,New York,NY,,Kings County,New York,United States,us,0.95,0.9025,,,https://www.whosonfirst.org/docs/licenses/
"Blythewood, South Carolina (United States of America)",34.2143159,-80.973977,"Blythewood, SC 29016, United States of America",Blythewood,,,29016,Blythewood,,Blythewood,SC,,Richland County,South Carolina,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"San Luis Potosí, San Luis Potosí (Mexico)",22.1516472,-100.9763993,"78339 San Luis Potosí, San Luis Potosi, Mexico",San Luis Potosí,,,78339,,,San Luis Potosí,,,Municipio de San Luis Potosí,San Luis Potosi,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"San Francisco, California (United States of America)",37.7790262,-122.419906,"San Francisco, CA, United States of America",,,,,,,San Francisco,CA,,,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Novato, California (United States of America)",38.1061979,-122.5681191,"Novato, CA, United States of America",,,,,,,Novato,CA,,Marin County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Winter Haven, Florida (United States of America)",28.0222435,-81.7328568,"Winter Haven, FL, United States of America",,,,,,,Winter Haven,FL,,Polk County,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Glasgow, Glasgow, Scotland (United Kingdom)",55.8609825,-4.2488787,"Glasgow, G2 9SA, United Kingdom",Glasgow,,GLG,G2 9SA,,,Glasgow,SCT,,Glasgow City,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Toledo, Ohio (United States of America)",41.6529143,-83.5378173,"Toledo, OH, United States of America",,,,,,,Toledo,OH,,Lucas County,Ohio,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hiratsuka, Kanagawa (Japan)",35.357674,139.318278,"Hiratsuka, Kanagawa Prefecture, Japan",,,,,,,Hiratsuka,,,Kanagawa Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Machida, Tokyo (Japan)",35.564193,139.442839,"Machida, Japan",,,,,,,Machida,,,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Shimizu, Shizuoka (Japan)",35.10764,138.898974,"Shimizu, Sunto County, Japan",,,,,,,Shimizu,,,Sunto County,,Japan,jp,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Liverpool, Merseyside, England (United Kingdom)",53.4071991,-2.99168,"Liverpool, ENG, United Kingdom",,,,,,yes,Liverpool,ENG,,North West England,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Yokosuka, Kanagawa (Japan)",35.2730564,139.6653829,"Yokosuka, 238-8550, Japan",,,,238-8550,,,Yokosuka,,,Kanagawa Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Blackpool, Lancashire, England (United Kingdom)",53.8182212,-3.0564845,"Blackpool, FY1 1HE, United Kingdom",Blackpool,,BPL,FY1 1HE,,,Blackpool,ENG,,Blackpool,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Santa Monica, California (United States of America)",34.0194704,-118.4912273,"Santa Monica, CA, United States of America",,,,,,,Santa Monica,CA,,Los Angeles County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Franklinville, New Jersey (United States of America)",39.6181706,-75.0757308,"Franklinville, Franklin Township, NJ 08322-0390, United States of America",Franklinville,,,08322-0390,Franklinville,,Franklin Township,NJ,,Gloucester County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lagos (Nigeria),6.4550575,3.3941795,"Lagos 100242, LA, Nigeria",Lagos,,,100242,,,Lagos,LA,,Lagos Island,Lagos,Nigeria,ng,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tonga,-19.9160819,-175.202642,Tonga,,,,,,,,,,,,Tonga,to,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Tala, Jalisco (Mexico)",20.6552187,-103.7020971,"45300 Tala, JAL, Mexico",Tala,,,45300,,,Tala,JAL,,Tala,Jalisco,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ocean Grove, New Jersey (United States of America)",40.2120575,-74.0065258,"Ocean Grove, Neptune Township, NJ 07756, United States of America",Ocean Grove,,,07756,Ocean Grove,,Neptune Township,NJ,,Monmouth County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Kiel, Schleswig-Holstein (Germany)",54.3227085,10.135555,"Kiel, SH, Germany",,,,,,,Kiel,SH,,,Schleswig-Holstein,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Isesaki, Gunma (Japan)",36.3111734,139.1968083,"Isesaki, Gunma Prefecture, Japan",,,,,,,Isesaki,,,Gunma Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Waharoa, Waikato (New Zealand)",-37.7608408,175.759007,"Waharoa 3474, New Zealand",Waharoa,,,3474,,,Waharoa,WKO,,Matamata Piako District,Waikato,New Zealand,nz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Palm Beach, Florida (United States of America)",26.7056172,-80.0361517,"Palm Beach, FL, United States of America",,,,,,,Palm Beach,FL,,Palm Beach County,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",19.1798858,-96.135648,"91910 Veracruz, VER, Mexico",Veracruz,,,91910,,,Veracruz,,,Municipio de Veracruz,Veracruz,Mexico,mx,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Humacao (Puerto Rico),,,,,,,,,,,,,,,,,,,,,
"Richmond, Virginia (United States of America)",37.5385087,-77.43428,"Richmond, VA, United States of America",,,,,,,Richmond,VA,,,Virginia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Portland, Michigan (United States of America)",42.8692006,-84.9030517,"Portland, MI 48875, United States of America",,,,48875,,,Portland,MI,,Ionia County,Michigan,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Versailles, Missouri (United States of America)",38.4314141,-92.8410274,"Versailles, MO 65084, United States of America",,,,65084,,,Versailles,MO,,Morgan County,Missouri,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Chino, California (United States of America)",34.0133561,-117.690075,"Chino, CA, United States of America",,,,,,,Chino,CA,,San Bernardino County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Teocuitatlán de Corona, Jalisco (Mexico)",20.0916986,-103.3774447,"49250 Teocuitatlan de Corona, JAL, Mexico",Teocuitatlan de Corona,,,49250,,,Teocuitatlan de Corona,JAL,,Teocuitatlán de Corona,Jalisco,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Helsinki, Uusimaa (Finland)",60.1674881,24.9427473,"Helsinki, Uusimaa, Finland",,,,,,,Helsinki,,,Uusimaa,Mainland Finland,Finland,fi,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Redcar, North Yorkshire, England (United Kingdom)",54.6179021,-1.0687914,"Redcar, TS10 1DZ, United Kingdom",Redcar,,NYK,TS10 1DZ,,,Redcar,ENG,,North Yorkshire,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Brighton and Hove, East Sussex, England (United Kingdom)",50.847862,-0.142797,"Brighton and Hove, East Sussex, ENG, United Kingdom",,,ESX,,,,Brighton and Hove,ENG,,East Sussex,England,United Kingdom,gb,1,1,,,https://www.whosonfirst.org/docs/licenses/
"Santiago de León de Caracas, Distrito Capital (Venezuela)",10.502093,-66.885719,"Avenida Santiago de Chile, Caracas, A, Venezuela",,Avenida Santiago de Chile,,,,,Caracas,A,0.375,Avila,Distrito Capital,Venezuela,ve,0.375,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Matane, Quebec (Canada)",48.8468633,-67.5295977,"Matane, QC, Canada",,,,,,,Matane,QC,,La Matanie,Quebec,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quebec (Canada),46.8137431,-71.2084061,"Quebec City, QC, Canada",,,,,,,Quebec City,QC,,Québec (Agglomération),Quebec,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"New Bothwell, Manitoba (Canada)",49.5905588,-96.8895862,"New Bothwell, MB R0A 1C0, Canada",New Bothwell,,,R0A 1C0,,,New Bothwell,MB,,Hanover,Manitoba,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Victoriaville, Quebec (Canada)",46.0554948,-71.9598586,"Victoriaville, QC, Canada",,,,,,,Victoriaville,QC,,Arthabaska,Quebec,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Manchester, Greater Manchester, England (United Kingdom)",53.4794892,-2.2451148,"Manchester, Greater Manchester, ENG, United Kingdom",,,,,,,Manchester,ENG,,Greater Manchester,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Rondonópolis, Mato Grosso (Brazil)",-16.4603533,-54.6397099,"Rondonópolis, Região Geográfica Intermediária de Rondonópolis, Brazil",,,,,,,Rondonópolis,MT,,Região Geográfica Intermediária de Rondonópolis,Mato Grosso,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Goderich, Ontario (Canada)",43.7430924,-81.7110949,"Goderich, ON, Canada",,,,,,,Goderich,ON,,Huron County,Ontario,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Manchester, New Hampshire (United States of America)",42.9956397,-71.4547891,"Manchester, NH, United States of America",,,,,,,Manchester,NH,,Hillsborough County,New Hampshire,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cape Town (South Africa),-33.928992,18.417396,"Cape Town, 8001, South Africa",Cape Town,,,8001,,,Cape Town,WC,,City of Cape Town,Western Cape,South Africa,za,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hyogo (Japan),34.6677915,135.1641816,"Hyōgo, National Highway Route 2, Hyogo Ward, Kobe, 652ー0809, Japan",Hyōgo,National Highway Route 2,,652ー0809,Hyogo Ward,,Kobe,,,Hyogo Prefecture,,Japan,jp,0.95,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Funabashi, Chiba (Japan)",35.699997,139.988668,"Funabashi, Chiba Prefecture, Japan",,,,,,,Funabashi,,,Chiba Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Solotschiw (Ukraine),50.2790531,35.9824347,"Zolochiv, 62203-62209, Ukraine",,,,62203-62209,,Bohodukhiv Raion,Zolochiv,,,,Kharkiv Oblast,Ukraine,ua,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Waterloo, Iowa (United States of America)",42.4979693,-92.3329637,"Waterloo, IA, United States of America",,,,,,,Waterloo,IA,,Black Hawk County,Iowa,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Newport Beach, California (United States of America)",33.6170092,-117.9294401,"Newport Beach, CA, United States of America",,,,,,,Newport Beach,CA,,Orange County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Yakima, Washington (United States of America)",46.601557,-120.510842,"Yakima, WA, United States of America",,,,,,,Yakima,WA,,Yakima County,Washington,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
