,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Weight,Height
23890,unknown,,"Savannah, Georgia (United States of America)",,,Drew Adler,,,6'4'' (1.93 m)
24988,unknown,214 lbs. (97 kg) at 6'0'' (1.83 m),Pennsylvania (United States of America),14th October 1984 (age 37),,Worker Ant,,,
25967,unknown,285 lbs. (129 kg) at 6'4'' (1.93 m),Tennessee (United States of America),10th April ???,,Wilcox,,,
31242,Julian Krückel,,"Aachen, Nordrhein-Westfalen (Germany)",1st August 1995 (age 26),24th September 2016 (5 years ago),Julian Pace,,172 lbs. (78 kg),
142,Elix Skipper,228 lbs. (103 kg) at 5'10'' (1.78 m),New York (United States of America),15th December 1967 (age 54),1999,Elix Skipper,,,
694,Joseph Melton James,227 lbs. (103 kg) at 5'11'' (1.80 m),"Marietta, Georgia (United States of America)",3rd October 1939,1962,Bob Armstrong,27th August 2020,,
802,Brian Leslie Blair,235 lbs. (107 kg) at 6'1'' (1.85 m),"Gary, Indiana (United States of America)",12th January 1954 (age 68),1977,B. Brian Blair,,,
8053,Cheick Guillaume Ouedraogo,235 lbs. (107 kg) at 6'4'' (1.93 m),"Paris, Île-de-France (France)",17th May 1975 (age 46),10th June 2001 (20 years ago),Cheick Kongo,,,
8949,Steven Andrew Slocum,340 lbs. (154 kg) at 7'1'' (2.16 m),"College Station, Texas (United States of America)",5th November ???,,Jackson Andrews,,,
2706,Michael Hutter,225 lbs. (102 kg) at 6'1'' (1.85 m),"Willoughby, Ohio (United States of America)",18th March 1983 (age 38),2002,EC3,,,
485,unknown,245 lbs. (111 kg) at 5'10'' (1.78 m),United States of America,4th December 1980 (age 41),11th July 2004 (17 years ago),Crossbones,,,
590,Ana Rocha,130 lbs. (59 kg) at 5'2'' (1.57 m),Região Autónoma dos Açores (Portugal),28th December 1984 (age 37),16th July 2000 (21 years ago),Ariel ,,,
4080,unknown,182 lbs. (83 kg) at 5'10'' (1.78 m),"Bray, Wicklow (Ireland)",16th March 1990 (age 31),2006,Jordan Devlin,,,
765,Tsuyoshi Kikuchi,218 lbs. (99 kg) at 5'10'' (1.78 m),"Sendai, Miyagi (Japan)",21st November 1964 (age 57),16th December 1987 (34 years ago),Tsuyoshi Kikuchi,,,
969,Tatsuki Fujii,231 lbs. (105 kg) at 5'9'' (1.75 m),"Minoo, Osaka (Japan)",6th July 1970 (age 51),11th May 1997 (24 years ago),Don Fujii,,,
1656,John Steele Hill,,"Hamilton, Ontario (Canada)",8th July 1941,1960,Guy Mitchell,11th March 2010,,
2031,Tomoko Watanabe,176 lbs. (80 kg) at 5'4'' (1.63 m),"Chiba, Chiba (Japan)",23rd February 1972 (age 50),8th October 1989 (32 years ago),Tomoko Watanabe ,,,
3130,Nicholas Beckham,185 lbs. (84 kg) at 5'10'' (1.78 m),"Louisville, Kentucky (United States of America)",25th April 1985 (age 36),??th October 2004,Ted McNaler,,,
3536,unknown,125 lbs. (57 kg) at 5'5'' (1.65 m),"Fords, New Jersey (United States of America)",,19th February 2005 (17 years ago),Alexa Thatcher ,,,
3818,Joshua Adamson,215 lbs. (98 kg) at 6'1'' (1.85 m),"Louisville, Kentucky (United States of America)",26th November 1977 (age 44),1998,Johnny Spade,,,
3855,Thomas Charles Bertan,240 lbs. (109 kg) at 5'10'' (1.78 m),"Minneapolis, Minnesota (United States of America)",14th October 1961,1988,Tom Burton,29th March 2010,,
8138,Mac Danzig,155 lbs. (70 kg) at 5'8'' (1.73 m),"Cleveland, Ohio (United States of America)",2nd January 1980 (age 42),7th October 2001 (20 years ago),Mac Danzig,,,
11956,Vladimir Matyushenko,205 lbs. (93 kg) at 6'0'' (1.83 m),Recyca (Belarus),4th January 1971 (age 51),5th September 1997 (24 years ago),Vladimir Matyushenko,,,
13285,Mike Kyle,205 lbs. (93 kg) at 6'2'' (1.88 m),"Boise, Idaho (United States of America)",31st March 1980 (age 41),9th June 2001 (20 years ago),Mike Kyle,,,
18627,Liz Carmouche,135 lbs. (61 kg) at 5'6'' (1.68 m),"Lafayette, Louisiana (United States of America)",19th February 1984 (age 38),29th May 2010 (11 years ago),Liz Carmouche ,,,
22692,David Michael Ross Adkisson,215 lbs. (98 kg) at 6'0'' (1.83 m),"Grand Prairie, Texas (United States of America)",1st June 1988 (age 33),20th April 2012 (9 years ago),Ross Von Erich,,,
24791,Alexander James Winkler,205 lbs. (93 kg) at 6'1'' (1.85 m),United States of America,,27th November 2009 (12 years ago),Alexander James,,,
25454,Cat Zingano,135 lbs. (61 kg) at 5'6'' (1.68 m),"Winona, Minnesota (United States of America)",1st July 1982 (age 39),13th June 2008 (13 years ago),Cat Zingano ,,,
29700,William Patrick Corgan Jr.,,"Elk Grove Village, Illinois (United States of America)",17th March 1967 (age 54),1st September 2000 (21 years ago),Billy Corgan,,,6'3'' (1.91 m)
693,Joseph Scott James,220 lbs. (100 kg) at 6'1'' (1.85 m),"Marietta, Georgia (United States of America)",4th May 1959 (age 62),1983,Scott Armstrong,,,
779,Dionisio Castellanos Torres,200 lbs. (91 kg) at 5'10'' (1.78 m),"Tijuana, Baja California (Mexico)",19th May 1971 (age 50),10th March 1989 (33 years ago),Psicosis,,,
91,Solofa Fatu Jr.,350 lbs. (159 kg) at 6'1'' (1.85 m),"San Francisco, California (United States of America)",11th October 1965 (age 56),1985,Rikishi,,,
1074,Héctor Solano Segura,209 lbs. (95 kg) at 5'11'' (1.80 m),"Monterrey, Nuevo León (Mexico)",12th June 1969,4th September 1992 (29 years ago),Héctor Garza,26th May 2013,,
413,René Goguen,250 lbs. (113 kg) at 6'3'' (1.91 m),"Shediac, New Brunswick (Canada)",15th December 1983 (age 38),1998,René Duprée,,,
6336,Russ Taylor,210 lbs. (95 kg) at 6'0'' (1.83 m),"Phelan, California (United States of America)",26th January 1987 (age 35),27th March 2004 (17 years ago),Taylor Rust,,,
6644,Chadwick Lail,247 lbs. (112 kg) at 6'2'' (1.88 m),"Hickory, North Carolina (United States of America)",6th June 1982 (age 39),??th August 2001,Gunner,,,
2519,Tassilo Jung,199 lbs. (90 kg) at 6'2'' (1.88 m),"Troisdorf, Nordrhein-Westfalen (Germany)",18th February 1983 (age 39),20th October 1999 (22 years ago),Tassilo Jung,,,
4345,unknown,143 lbs. (65 kg) at 5'8'' (1.73 m),Thessaloniki (Greece),8th January 1982 (age 40),1999,Blue Nikita ,,,
456,James Michael Guffey,200 lbs. (91 kg) at 6'0'' (1.83 m),"Atlanta, Georgia (United States of America)",8th December 1982,11th October 1999 (22 years ago),Jimmy Rave,12th December 2021,,
2543,Özgür Bakar,242 lbs. (110 kg) at 5'6'' (1.68 m),"Wolfratshausen, Bayern (Germany)",16th December 1979 (age 42),13th March 2002 (19 years ago),Murat Bosporus,,,
3478,unknown,220 lbs. (100 kg) at 6'1'' (1.85 m),"London, Greater London, England (United Kingdom)",9th April 1983 (age 38),2001,Hade Vansen,,,
1042,Tara Dawn,115 lbs. (52 kg) at 5'0'' (1.52 m),"New York City, New York (United States of America)",30th November 1984 (age 37),??th January 2001,Tara Charisma ,,,
1424,Wilbur E. Snyder,,"Santa Monica, California (United States of America)",15th September 1929,28th February 1953 (69 years ago),Wilbur Snyder,25th December 1991,,
1665,Antonio Pugliese,241 lbs. (109 kg) at 5'11'' (1.80 m),"Cosenza, Calabria (Italy)",22nd January 1941,1961,Tony Parisi,19th August 2000,,
1877,unknown,195 lbs. (88 kg) at 5'11'' (1.80 m),"Beverly Hills, California (United States of America)",,2002,Chris Bosh,,,
2833,Max Olesker,140 lbs. (64 kg) at 5'6'' (1.68 m),"Portsmouth, Hampshire, England (United Kingdom)",18th May 1987 (age 34),18th August 2002 (19 years ago),Max Voltage,,,
3601,Arne Erik Isaksen,227 lbs. (103 kg) at 5'11'' (1.80 m),"Lillestrøm, Akershus (Norway)",11th May 1974 (age 47),15th March 1996 (25 years ago),Erik Isaksen,,,
6633,unknown,150 lbs. (68 kg) at 5'8'' (1.73 m),"Birmingham, Alabama (United States of America)",30th August 1977 (age 44),16th September 2000 (21 years ago),Mike Posey,,,
7010,Steven Cvjetkovich,198 lbs. (90 kg) at 6'2'' (1.88 m),"Toronto, Ontario (Canada)",,,Kobra Kai,,,
8510,Spencer William Fisher,155 lbs. (70 kg) at 5'7'' (1.70 m),"Cashiers, North Carolina (United States of America)",9th May 1976 (age 45),17th August 2002 (19 years ago),Spencer Fisher,,,
9913,Kurt Joseph Pellegrino,155 lbs. (70 kg) at 5'8'' (1.73 m),"Point Pleasant, New Jersey (United States of America)",7th May 1979 (age 42),31st August 2002 (19 years ago),Kurt Pellegrino,,,
9915,Timothy A. Boetsch,185 lbs. (84 kg) at 6'0'' (1.83 m),"Lincolnville, Maine (United States of America)",28th January 1981 (age 41),24th October 2006 (15 years ago),Tim Boetsch,,,
640,Frank Parris,185 lbs. (84 kg) at 6'1'' (1.85 m),"Atlanta, Georgia (United States of America)",1978,1996,Air Paris,,,
499,Darnell Kittrell,160 lbs. (73 kg) at 5'6'' (1.68 m),"Philadelphia, Pennsylvania (United States of America)",25th April 1975 (age 46),26th February 2000 (22 years ago),BLK JEEZ,,,
1725,Yosuke Kobayashi,290 lbs. (132 kg) at 5'9'' (1.75 m),"Nagano, Nagano (Japan)",22nd July 1976 (age 45),29th May 1995 (26 years ago),Abdullah Kobayashi,,,
689,Reyes Nunez,191 lbs. (87 kg) at 5'9'' (1.75 m),"Fontana, California (United States of America)",28th August 1978 (age 43),13th September 1997 (24 years ago),Ricky Reyes,,,
2788,Masanori Morimura,210 lbs. (95 kg) at 5'9'' (1.75 m),"Chiba, Chiba (Japan)",27th September 1965 (age 56),28th June 1988 (33 years ago),Ricky Fuji,,,
5607,Thomas McGowan,194 lbs. (88 kg) at 5'11'' (1.80 m),"Coatbridge, North Lanarkshire, Scotland (United Kingdom)",2nd April 1986 (age 35),,BT Gunn,,,
23037,Marcus Anthony,251 lbs. (114 kg) at 6'0'' (1.83 m),"Cincinnati, Ohio (United States of America)",28th June 1981 (age 40),,Private Anthony,,,
28488,Thomas Maclin,226 lbs. (103 kg) at 6'1'' (1.85 m),"Rutherford, New Jersey (United States of America)",26th May 1987 (age 34),2012,Steve Maclin,,,
5757,Todd Andrew Grisham,160 lbs. (73 kg) at 6'1'' (1.85 m),"Hattiesburg, Mississippi (United States of America)",9th January 1976 (age 46),14th January 2004 (18 years ago),Todd Grisham,,,
533,Lawrence Whistler,245 lbs. (111 kg) at 5'11'' (1.80 m),"Chicago, Illinois (United States of America)",5th December 1951 (age 70),1st September 1972 (49 years ago),Larry Zbyszko,,,
951,Taichiro Maki,187 lbs. (85 kg) at 5'8'' (1.73 m),"Ishikari, Hokkaido (Japan)",19th March 1980 (age 41),2nd December 2002 (19 years ago),Taichi,,,
14613,Humberto Garza Solano,205 lbs. (93 kg) at 6'0'' (1.83 m),Nuevo León (Mexico),23rd September 1992 (age 29),4th November 2008 (13 years ago),Angel,,,
664,Paul R. Perschmann,260 lbs. (118 kg) at 5'11'' (1.80 m),"Minneapolis, Minnesota (United States of America)",27th November 1952,1973,Buddy Rose,28th April 2009,,
847,Roger Barnes,230 lbs. (104 kg) at 5'10'' (1.78 m),"Montréal, Quebec (Canada)",30th March 1945 (age 76),1962,Ronnie Garvin,,,
1250,Josh Lomberger,143 lbs. (65 kg) at 5'9'' (1.75 m),"Sea Isle City, New Jersey (United States of America)",25th November 1980 (age 41),21st June 2001 (20 years ago),Josh Mathews,,,
152,Johnathan Mark LeRoux,221 lbs. (100 kg) at 5'11'' (1.80 m),"New Orleans, Louisiana (United States of America)",22nd November 1976 (age 45),25th July 1998 (23 years ago),Lash LeRoux,,,
2360,Paul Neu,402 lbs. (182 kg) at 5'10'' (1.78 m),"Omaha, Nebraska (United States of America)",9th July 1966 (age 55),3rd January 1987 (35 years ago),Cannonball Grizzly,,,
214,Sam Loman,185 lbs. (84 kg) at 5'10'' (1.78 m),"Miami, Florida (United States of America)",1975,??th July 1999,Romeo,,,
1342,Vicente Cruz Hernández,183 lbs. (83 kg) at 5'6'' (1.68 m),"Ciudad de México, Ciudad de México (Mexico)",26th July 1958 (age 63),20th August 1975 (46 years ago),Romano García,,,
2874,Timo Miucci,238 lbs. (108 kg) at 6'1'' (1.85 m),Germany,15th June 1988 (age 33),26th August 2006 (15 years ago),Insane Killer,,,
3090,Armando Cota,,"Nogales, Sonora (Mexico)",,27th March 1996 (25 years ago),Zayco,11th June 2016,,
3197,unknown,257 lbs. (117 kg) at 6'1'' (1.85 m),"New York City, New York (United States of America)",18th March 1971,,Mike Bell,14th December 2008,,
6190,unknown,169 lbs. (77 kg) at 5'10'' (1.78 m),"Richmond, Virginia (United States of America)",,2000,Brian Hebner,,,
7770,Thomas Hutter,254 lbs. (115 kg) at 6'2'' (1.88 m),"Linz, Oberösterreich (Austria)",7th April 1970 (age 51),,Lexxus,,,
26550,Jessamyn Duke,135 lbs. (61 kg) at 5'11'' (1.80 m),"Whitesburg, Kentucky (United States of America)",24th June 1986 (age 35),28th July 2012 (9 years ago),Jessamyn Duke ,,,
691,Tracy Smothers,235 lbs. (107 kg) at 6'2'' (1.88 m),"Springfield, Tennessee (United States of America)",2nd September 1962,??th September 1984,Tracy Smothers,28th October 2020,,
80,William DeMott,280 lbs. (127 kg) at 6'2'' (1.88 m),"Paramus, New Jersey (United States of America)",10th November 1966 (age 55),1990,Bill DeMott,,,
3056,unknown,243 lbs. (110 kg) at 6'1'' (1.85 m),"Wesel, Nordrhein-Westfalen (Germany)",25th November 1986,2006,Karsten Beck,15th October 2020,,
3750,Paul Ellering,210 lbs. (95 kg) at 5'10'' (1.78 m),"Melrose, Minnesota (United States of America)",22nd August 1953 (age 68),1978,Paul Ellering,,,
336,John Felix Anthony Cena,240 lbs. (109 kg) at 6'1'' (1.85 m),"West Newbury, Massachusetts (United States of America)",23rd April 1977 (age 44),5th November 1999 (22 years ago),John Cena,,,
1386,Veronica Carrejo,130 lbs. (59 kg) at 5'5'' (1.65 m),"San Antonio, Texas (United States of America)",,2000,Simply Luscious ,,,
5369,Curtis Jonathan Hussey,240 lbs. (109 kg) at 6'3'' (1.91 m),"Boston, Massachusetts (United States of America)",22nd July 1980 (age 41),??th September 1999,Dirty Dango,,,
2780,Bernd Föhr,172 lbs. (78 kg) at 5'7'' (1.70 m),"Speyer, Rheinland-Pfalz (Germany)",8th July 1987 (age 34),25th September 2004 (17 years ago),Bernd Föhr,,,
110,Jesús Guadalupe Delgado Saldaña,200 lbs. (91 kg) at 5'10'' (1.78 m),"Atotonilco El Alto, Jalisco (Mexico)",10th December 1977 (age 44),3rd January 1994 (28 years ago),Mr. Águila,,,
770,Bob Miller,244 lbs. (111 kg) at 5'11'' (1.80 m),"Wellington, Wellington (New Zealand)",21st October 1944 (age 77),1965,Butch Miller,,,
11750,Shannon McNeill,,"Wilkesboro, North Carolina (United States of America)",15th September 1976 (age 45),2000,Baby ,,,
916,William Theodore Mueller,240 lbs. (109 kg) at 6'4'' (1.93 m),"Coffeyville, Kansas (United States of America)",10th September 1980 (age 41),1999,Jethro Holliday,,,
2296,Andrew William Hankinson,290 lbs. (132 kg) at 6'8'' (2.03 m),"Cumberland, Maryland (United States of America)",22nd December 1983 (age 38),2003,Doc Gallows,,,
522,Yutaka Yoshie,353 lbs. (160 kg) at 5'11'' (1.80 m),"Maebashi, Gunma (Japan)",5th January 1974 (age 48),9th December 1994 (27 years ago),Yutaka Yoshie,,,
999,Chae An,120 lbs. (54 kg) at 5'4'' (1.63 m),Seoul (South Korea),8th June 1973 (age 48),1997,Chae ,,,
1655,Archie Gouldie,260 lbs. (118 kg) at 6'1'' (1.85 m),"Carbon, Alberta (Canada)",2nd November 1944,2nd November 1962 (59 years ago),Archie Gouldie,23rd January 2016,,
1660,Robert Bedard,220 lbs. (100 kg) at 6'0'' (1.83 m),"Quebec City, Quebec (Canada)",12th July 1932,??th March 1957,Rene Goulet,25th May 2019,,
19675,Joseph Ruud,302 lbs. (137 kg) at 6'7'' (2.01 m),Minnesota (United States of America),28th November 1981 (age 40),3rd September 2003 (18 years ago),Erick Redbeard,,,
48,Brian Girard James,241 lbs. (109 kg) at 6'1'' (1.85 m),"Marietta, Georgia (United States of America)",20th May 1969 (age 52),1st December 1986 (35 years ago),Road Dogg,,,
1973,David John Markland,300 lbs. (136 kg) at 6'4'' (1.93 m),"Newark, Delaware (United States of America)",1st March 1978 (age 44),13th September 2003 (18 years ago),DJ Hyde,,,
846,King Parsons,245 lbs. (111 kg) at 5'10'' (1.78 m),"St. Louis, Missouri (United States of America)",1949,1979,Iceman Parsons,,,
5476,Eric Thompson,219 lbs. (99 kg) at 6'2'' (1.88 m),"Calgary, Alberta (Canada)",4th December 1980 (age 41),1999,Vik,,,
1453,George E. Stipich,272 lbs. (123 kg) at 6'1'' (1.85 m),"Saguenay, Quebec (Canada)",13th April 1937,1953,Stan Stasiak,19th June 1997,,
2095,Dale Hey,225 lbs. (102 kg) at 5'10'' (1.78 m),"Del City, Oklahoma (United States of America)",16th June 1947,1965,Buddy Roberts,29th November 2012,,
532,Matthew James Bentley,221 lbs. (100 kg) at 6'0'' (1.83 m),"Clinton, Iowa (United States of America)",10th December 1979 (age 42),1999,Matt Bentley,,,
263,Claude Marrow Jr.,235 lbs. (107 kg) at 5'8'' (1.73 m),"Baltimore, Maryland (United States of America)",15th August 1978 (age 43),26th February 1999 (23 years ago),Ruckus,,,
18697,Andrew Leavine,270 lbs. (122 kg) at 6'5'' (1.96 m),"Brooksville, Florida (United States of America)",27th December 1987 (age 34),2010,Andy Leavine,,,
1829,Dennis Condrey,260 lbs. (118 kg) at 6'0'' (1.83 m),"Florence, Alabama (United States of America)",1st February 1952 (age 70),,Dennis Condrey,,,
2884,unknown,194 lbs. (88 kg) at 5'7'' (1.70 m),"Cuernavaca, Morelos (Mexico)",16th August 1978 (age 43),,Sensei,,,
412,Lance Kurtis McNaught,261 lbs. (118 kg) at 6'5'' (1.96 m),"Omaha, Nebraska (United States of America)",2nd March 1981,1998,Lance Cade,13th August 2010,,
414,Robert Thomas Conway,234 lbs. (106 kg) at 6'1'' (1.85 m),"Louisville, Kentucky (United States of America)",28th November 1972 (age 49),1997,Rob Conway,,,
769,Brian Thomas Wickens,245 lbs. (111 kg) at 5'11'' (1.80 m),"Wellington, Wellington (New Zealand)",8th January 1947 (age 75),1965,Luke Williams,,,
129,Terri Poch,150 lbs. (68 kg) at 5'8'' (1.73 m),"Cheyenne, Wyoming (United States of America)",20th August 1964 (age 57),1985,Tori ,,,
807,Mike Maraldo,240 lbs. (109 kg) at 6'0'' (1.83 m),"Brick Township, New Jersey (United States of America)",27th June 1975 (age 46),1992,Ace Darling,,,
31131,Beatrice St Clere Priestley,141 lbs. (64 kg) at 5'7'' (1.70 m),"Harrogate, North Yorkshire, England (United Kingdom)",22nd March 1996 (age 25),21st December 2012 (9 years ago),Blair Davenport ,,,
103,Matthew Jason Bloom,350 lbs. (159 kg) at 6'7'' (2.01 m),"Peabody, Massachusetts (United States of America)",14th November 1973 (age 48),1997,Matt Bloom,,,
785,Adolfo Bresciano,265 lbs. (120 kg) at 6'0'' (1.83 m),"Campobasso, Molise (Italy)",6th August 1949,1970,Dino Bravo,10th March 1993,,
112,David William Heath,240 lbs. (109 kg) at 6'0'' (1.83 m),"Tampa, Florida (United States of America)",16th February 1969 (age 53),1988,Gangrel,,,
440,Travis David Tomko,292 lbs. (132 kg) at 6'6'' (1.98 m),"Jacksonville, Florida (United States of America)",1st April 1976 (age 45),1999,Tomko,,,
14681,Jessica McKay,132 lbs. (60 kg) at 5'8'' (1.73 m),"Sydney, New South Wales (Australia)",23rd June 1989 (age 32),23rd June 2007 (14 years ago),Jessie McKay ,,,
30,Lawrence Paul Shreve,360 lbs. (163 kg) at 6'1'' (1.85 m),"Windsor, Ontario (Canada)",11th January 1941 (age 81),1965,Abdullah the Butcher,,,
281,Brian Wohl,235 lbs. (107 kg) at 6'2'' (1.88 m),"Washington, District of Columbia (United States of America)",14th April 1972 (age 49),??th October 1994,Julio Dinero,,,
541,Shoji Akiyoshi,218 lbs. (99 kg) at 5'8'' (1.73 m),"Tokyo, Tokyo (Japan)",28th September 1968 (age 53),19th March 1989 (32 years ago),Jado,,,
63,Michael John Lockwood,212 lbs. (96 kg) at 5'9'' (1.75 m),"Anaheim, California (United States of America)",25th August 1971,1989,Crash Holly,6th November 2003,,
22233,Danielle Moinet,115 lbs. (52 kg) at 5'10'' (1.78 m),"Manhasset, New York (United States of America)",28th November 1983 (age 38),18th December 2011 (10 years ago),Summer Rae ,,,
123,Scott Ronald Garland,209 lbs. (95 kg) at 5'10'' (1.78 m),"Westbrook, Maine (United States of America)",2nd July 1973 (age 48),23rd November 1989 (32 years ago),Scotty 2 Hotty,,,
5203,Gabbi Tuft,252 lbs. (114 kg) at 6'4'' (1.93 m),"San Francisco, California (United States of America)",1st November 1978 (age 43),??th February 2007,Gabbi Tuft ,,,
1937,Barbara Jean Blank,108 lbs. (49 kg) at 5'5'' (1.65 m),"Jacksonville, Florida (United States of America)",15th January 1987 (age 35),22nd August 2006 (15 years ago),Kelly Kelly ,,,
14608,Trinity Fatu,125 lbs. (57 kg) at 5'5'' (1.65 m),"Sanford, Florida (United States of America)",30th November 1987 (age 34),3rd September 2009 (12 years ago),Naomi ,,,
1548,Edwin Carlos Colón,220 lbs. (100 kg) at 5'10'' (1.78 m),San Juan (Puerto Rico),21st December 1982 (age 39),1999,Primo Colón,,,
981,Michelle Leigh Calaway,127 lbs. (58 kg) at 5'10'' (1.78 m),"Palatka, Florida (United States of America)",25th January 1980 (age 42),18th November 2004 (17 years ago),Michelle McCool ,,,
126,Steve Blackman,246 lbs. (112 kg) at 6'2'' (1.88 m),"Annville, Pennsylvania (United States of America)",28th September 1963 (age 58),1986,Steve Blackman,,,
2682,Orlando Colón,203 lbs. (92 kg) at 6'0'' (1.83 m),San Juan (Puerto Rico),24th March 1982 (age 39),2005,Epico Colón,,,
2801,unknown,229 lbs. (104 kg) at 6'1'' (1.85 m),"Guadalajara, Jalisco (Mexico)",17th September 1979 (age 42),19th December 2000 (21 years ago),Nosferatu,,,
948,Ulf Nadrowski,281 lbs. (127 kg) at 6'6'' (1.98 m),"Hildesheim, Niedersachsen (Germany)",4th April 1966 (age 55),??th August 1989,Ulf Herman,,,
678,Chase Ryan Clark,225 lbs. (102 kg) at 6'0'' (1.83 m),"Washington, Indiana (United States of America)",17th January 1979 (age 43),1998,Chase Stevens,,,
75,Anthony Durante,240 lbs. (109 kg) at 6'2'' (1.88 m),"Hammonton, New Jersey (United States of America)",26th July 1967,??th September 1988,Pitbull #2,25th September 2003,,
5690,Mitch Franklin,159 lbs. (72 kg) at 5'5'' (1.65 m),"Philadelphia, Pennsylvania (United States of America)",1984,29th October 2005 (16 years ago),Grizzly Redwood,,,
223,Chris Chetti,227 lbs. (103 kg) at 5'11'' (1.80 m),"Amityville, New York (United States of America)",16th July 1974 (age 47),??th September 1996,Chris Chetti,,,
2042,Edward Michael Gossett,230 lbs. (104 kg) at 5'8'' (1.73 m),"Tampa, Florida (United States of America)",20th September 1951,1972,Mike Graham,19th October 2012,,
1590,Marissa Mazzola-McMahon,125 lbs. (57 kg) at 5'6'' (1.68 m),"Boston, Massachusetts (United States of America)",22nd June 1973 (age 48),??th November 1999,Marissa Mazzola-McMahon ,,,
2332,unknown,176 lbs. (80 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",,14th February 2004 (18 years ago),Cheech,,,
1419,Michael B. Adkisson,200 lbs. (91 kg) at 6'1'' (1.85 m),"Dallas, Texas (United States of America)",2nd March 1964,24th November 1983 (38 years ago),Mike Von Erich,12th April 1987,,
7801,unknown,227 lbs. (103 kg) at 6'4'' (1.93 m),Mexico,26th December 1989 (age 32),,El Bronco,,,
9511,Renzo Gracie,170 lbs. (77 kg) at 5'10'' (1.78 m),"Río de Janeiro, Río de Janeiro (Brazil)",11th March 1967 (age 54),1st January 1992 (30 years ago),Renzo Gracie,,,
21339,unknown,205 lbs. (93 kg) at 6'1'' (1.85 m),"Bristol, Tennessee (United States of America)",7th March 1990 (age 32),2007,Chase Owens,,,
1235,Michael Joe Davis,235 lbs. (107 kg) at 6'3'' (1.91 m),"Tampa, Florida (United States of America)",2nd November 1956,1977,Mike Davis,25th December 2001,,
4189,Michael Nicholls,229 lbs. (104 kg) at 6'1'' (1.85 m),"Perth, Western Australia (Australia)",20th August 1985 (age 36),??th November 2001,Mikey Nicholls,,,
4652,Malachi Marcus Massie,161 lbs. (73 kg) at 6'0'' (1.83 m),"Hesperia, California (United States of America)",14th November 1990 (age 31),,CK Jackson,,,
8054,Gabriel Gonzaga Nogueira,260 lbs. (118 kg) at 6'1'' (1.85 m),"Río de Janeiro, Río de Janeiro (Brazil)",18th May 1979 (age 42),1st January 2003 (19 years ago),Gabriel Gonzaga,,,
11756,Melissa Anne Bellin,,"Meadville, Pennsylvania (United States of America)",29th May 1973 (age 48),1997,Spice ,,,
2074,Shirley Crabtree,375 lbs. (170 kg) at 6'2'' (1.88 m),"Halifax, West Yorkshire, England (United Kingdom)",14th November 1930,1952,Big Daddy,2nd December 1997,,
8843,Francis Flores,340 lbs. (154 kg) at 5'10'' (1.78 m),"Bloomfield, New Jersey (United States of America)",12th August 1985 (age 36),2005,Fallah Bahh,,,
19785,Martibel Payano,117 lbs. (53 kg) at 5'5'' (1.65 m),"New York City, New York (United States of America)",7th August 1988 (age 33),7th November 2009 (12 years ago),Marti Belle ,,,
3072,Bobbie R.J. Andorff,,,1924,,Bob Andorff,8th February 2003,,
7055,Douglas Duane Somerson,247 lbs. (112 kg) at 6'3'' (1.91 m),United States of America,22nd September ???,1971,Doug Somers,16th May 2017,,
23971,unknown,198 lbs. (90 kg) at 6'1'' (1.85 m),Nuevo León (Mexico),20th October 1995 (age 26),,Humberto,,,
874,Doug Embry,225 lbs. (102 kg) at 5'11'' (1.80 m),"Lexington, Kentucky (United States of America)",1959,1977,Eric Embry,,,
1604,Kevin Matthew McDonald,255 lbs. (116 kg) at 6'5'' (1.96 m),"New York City, New York (United States of America)",10th February 1983 (age 39),18th March 2000 (21 years ago),Kevin Matthews,,,
2919,Samuel de León Sandoval,148 lbs. (67 kg) at 5'2'' (1.57 m),"Tijuana, Baja California (Mexico)",14th September 1979 (age 42),20th January 1999 (23 years ago),Pequeño Halloween,,,
3943,Nelson Combs,220 lbs. (100 kg) at 5'8'' (1.73 m),"Wheelwright, Kentucky (United States of America)",25th July 1931,1948,Nelson Royal,3rd February 2002,,
6946,Rameau Thierry Sokoudjou Nkamhoua,220 lbs. (100 kg) at 6'0'' (1.83 m),Hom'la (Cameroon),18th April 1984 (age 37),15th July 2006 (15 years ago),Sokoudjou,,,
8139,Roger Huerta,155 lbs. (70 kg) at 5'9'' (1.75 m),"Los Angeles, California (United States of America)",20th May 1983 (age 38),2nd August 2003 (18 years ago),Roger Huerta,,,
14979,unknown,172 lbs. (78 kg) at 5'11'' (1.80 m),Germany,,3rd October 2009 (12 years ago),Tommy Blue Eyes,,,
21357,Alexandre Freitas,200 lbs. (91 kg) at 6'0'' (1.83 m),"Montréal, Quebec (Canada)",23rd January 1990 (age 32),2004,Alex Silva,,,
829,Robert F. Jeaudoin,263 lbs. (119 kg) at 6'0'' (1.83 m),"Vancouver, Washington (United States of America)",8th January 1948,1972,Bobby Jaggers,2nd October 2012,,
2237,José Luis Rivera,248 lbs. (112 kg) at 6'2'' (1.88 m),Puerto Rico,,,Sultán José Luis Rivera,,,
17849,Alex Caceres,135 lbs. (61 kg) at 5'9'' (1.75 m),"Miami, Florida (United States of America)",20th June 1988 (age 33),13th December 2008 (13 years ago),Alex Caceres,,,
