,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
9075,unknown,220 lbs. (100 kg) at 6'0'' (1.83 m),"Dresden, Sachsen (Germany)",,,Armin Krieger,,,
10675,Kenath Dewayne Peal,210 lbs. (95 kg) at 5'8'' (1.73 m),"Memphis, Tennessee (United States of America)",15th January 1959 (age 63),1976,Ken Wayne,,,
16193,Óscar Morales,,"Monterrey, Nuevo León (Mexico)",22nd March 1981 (age 40),,Big Neurosis,,,
16396,Andre Tyson,245 lbs. (111 kg) at 6'1'' (1.85 m),"London, Greater London, England (United Kingdom)",11th October 1990 (age 31),2007,Val Kabious,,,
16755,unknown,155 lbs. (70 kg) at 5'10'' (1.78 m),New York (United States of America),,,Danwin,,,
2905,unknown,176 lbs. (80 kg) at 5'10'' (1.78 m),"Guadalajara, Jalisco (Mexico)",18th September 1982 (age 39),2003,Leono,,,
14846,Cedric Kyles,,"Jefferson City, Missouri (United States of America)",24th April 1964 (age 57),21st September 2009 (12 years ago),Cedric the Entertainer,,,
3087,unknown,,Mexico,,2006,Ogún,,,
4338,Nathan Burke,200 lbs. (91 kg) at 5'10'' (1.78 m),"Maple Ridge, British Columbia (Canada)",,20th October 1998 (23 years ago),Disco Fury,,,
12281,unknown,128 lbs. (58 kg) at 5'1'' (1.55 m),Mexico,4th February 1992 (age 30),27th April 2008 (13 years ago),Star Fire ,,,
18369,unknown,121 lbs. (55 kg) at 4'9'' (1.45 m),"Huauchinango, Puebla (Mexico)",18th July 1990 (age 31),,Afrodita ,,,
16678,unknown,,United States of America,20th December ???,,Dixieland Destroyer,,,
26269,Luke Fordward,265 lbs. (120 kg) at 6'5'' (1.96 m),"Alice Springs, Northern Territory (Australia)",7th October 1981,,Thunder,30th June 2016,,
7541,War Machine,170 lbs. (77 kg) at 5'11'' (1.80 m),"Simi Valley, California (United States of America)",30th November 1981 (age 40),29th February 2004 (18 years ago),War Machine,,,
240,Robert D. Zicari,,"Los Angeles, California (United States of America)",5th August 1974 (age 47),25th August 2001 (20 years ago),Rob Black,,,
5703,Kurt Lauder,298 lbs. (135 kg) at 6'4'' (1.93 m),"Montréal, Quebec (Canada)",1982,2003,Kurt Lauderdale,,,
6029,unknown,248 lbs. (112 kg) at 6'2'' (1.88 m),"London, Ontario (Canada)",,2004,Turcan Celik,,,
6575,unknown,170 lbs. (77 kg) at 6'0'' (1.83 m),"Surrey, British Columbia (Canada)",,2006,Azeem the Dream,,,
10830,Valentino Puccio,475 lbs. (215 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",9th June 1965,1989,Val Puccio,7th January 2011,,
16107,unknown,265 lbs. (120 kg) at 6'0'' (1.83 m),United States of America,,,One Warrior Nation,,,
6710,Justin Hansford,250 lbs. (113 kg) at 6'4'' (1.93 m),"Weymouth, Dorset, England (United Kingdom)",10th May 1979 (age 42),,Justin Starr,,,
269,John Chávez,203 lbs. (92 kg) at 6'2'' (1.88 m),"Los Angeles, California (United States of America)",,2001,Angel,,,
13714,José Alberto Loera Rodríguez,154 lbs. (70 kg) at 5'7'' (1.70 m),"Monterrey, Nuevo León (Mexico)",28th December ???,1998,Voltaje Negro,,,
1723,Achim Albrecht,277 lbs. (126 kg) at 5'11'' (1.80 m),"Münster, Nordrhein-Westfalen (Germany)",2nd July 1962 (age 59),30th November 1996 (25 years ago),Brakkus,,,
24385,Julie Reilly,,"Orlando, Florida (United States of America)",,,Claire Lynch ,,,
2738,unknown,227 lbs. (103 kg) at 5'11'' (1.80 m),"Heddesheim, Baden-Württemberg (Germany)",,13th December 1998 (23 years ago),Alex May,,,
4246,unknown,106 lbs. (48 kg) at 4'11'' (1.50 m),"Madero, Tamaulipas (Mexico)",10th August 1986 (age 35),2002,Estrella Mágica ,,,
796,Nicole Bass-Fuchs,230 lbs. (104 kg) at 6'2'' (1.88 m),"New York City, New York (United States of America)",26th October 1964,1998,Nicole Bass ,17th February 2017,,
12431,Jenna Morasca,,"Bridgeville, Pennsylvania (United States of America)",15th February 1981 (age 41),12th March 2009 (12 years ago),Jenna Morasca,,,
11733,unknown,,Mexico,,,Yesca,,,
13583,unknown,,United Kingdom,29th December 1980 (age 41),,Paul,,,
22020,unknown,220 lbs. (100 kg) at 6'4'' (1.93 m),Australia,,2000,The Gimp,,,
1740,José Huertas González,230 lbs. (104 kg) at 5'10'' (1.78 m),Puerto Rico,,,Invader #1,,,
2906,Maria de los Angeles Aranda Ramírez,121 lbs. (55 kg) at 4'11'' (1.50 m),"Madero, Tamaulipas (Mexico)",1st October 1978 (age 43),8th April 1996 (25 years ago),Luna Mágica ,,,
2297,unknown,221 lbs. (100 kg) at 6'1'' (1.85 m),"Ciudad de México, Ciudad de México (Mexico)",20th August 1960 (age 61),2004,Gronda #2,,,
8756,unknown,,"Monterrey, Nuevo León (Mexico)",21st November 1984 (age 37),2006,Euforia,,,
2515,unknown,210 lbs. (95 kg) at 5'11'' (1.80 m),,25th May 1973 (age 48),??th July 1991,Rich Myers,,,
6038,Nabeel Bhatti,168 lbs. (76 kg) at 6'2'' (1.88 m),"London, Greater London, England (United Kingdom)",1984,15th July 2007 (14 years ago),Billi Lightning,,,
22172,unknown,252 lbs. (114 kg) at 5'10'' (1.78 m),"Calgary, Alberta (Canada)",25th December ???,2010,JB Varsity,,,
934,unknown,253 lbs. (115 kg) at 6'0'' (1.83 m),"Tijuana, Baja California (Mexico)",11th January 1980 (age 42),2001,Groon XXX,,,
5560,Rick Masters,,United Kingdom,,,UK Undertaker,,,
5625,unknown,220 lbs. (100 kg) at 5'6'' (1.68 m),"New York City, New York (United States of America)",,1997,Buff-E,,,
926,unknown,183 lbs. (83 kg) at 5'8'' (1.73 m),"Kentwood, Louisiana (United States of America)",,1998,Lazz,,,
16208,John Sims,,,27th January 1966 (age 56),,Haystacks Calhoun Jr.,,6'2'' (1.88 m),
23043,Brandon Saling,170 lbs. (77 kg) at 5'10'' (1.78 m),"Cumberland, Ohio (United States of America)",28th January 1986 (age 36),12th February 2011 (11 years ago),Brandon Saling,,,
30195,Zamariah Zane Loupe,280 lbs. (127 kg) at 6'2'' (1.88 m),"Bayou Boeuf, Louisiana (United States of America)",12th January 1997 (age 25),25th August 2015 (6 years ago),ZZ Loupe,,,
20281,unknown,,Mexico,8th August 1992 (age 29),,Guerrero Nazi,,,
3763,unknown,185 lbs. (84 kg) at 5'11'' (1.80 m),Dominican Republic,3rd November 1987 (age 34),21st August 2005 (16 years ago),Péndulo,,,
6637,Matthew Brandon Hudgins,215 lbs. (98 kg) at 5'11'' (1.80 m),"Mayo, South Carolina (United States of America)",,,Brandon Phoenix,,,
16703,Muhammad Riaz,287 lbs. (130 kg) at 7'5'' (2.26 m),Pakistan,1966,,Raja Lion,,,
8362,Luke Marsden,,"Wigan, Greater Manchester, England (United Kingdom)",,,Luke Marsden,,,
16296,unknown,,,,,Bruce Sheila,,,
26139,Kim Winslow,,Nevada (United States of America),,,Kim Winslow ,,,
6452,Héctor Pérez González,,Mexico,23rd July 1964,1983,Ángel o Demonio,5th June 2021,,243 lbs. (110 kg)
4998,unknown,,,,,Jimmy Shoulders,,,
3262,unknown,,,,,Mike Khoury,,,
4262,Scott Cameron Despres,220 lbs. (100 kg) at 5'11'' (1.80 m),"Utica, New York (United States of America)",4th September 1970 (age 51),1988,Maverick Wild,,,
