,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Height,Date of Death,Weight
1865,Megumi Yabushita,123 lbs. (56 kg) at 5'2'' (1.57 m),"Asahikawa, Hokkaido (Japan)",2nd March 1972 (age 50),20th April 1997 (24 years ago),Megumi Yabushita ,,,
2029,Yasuko Kuragaki,147 lbs. (67 kg) at 5'3'' (1.60 m),"Kamagaya, Chiba (Japan)",7th December 1975 (age 46),8th January 1995 (27 years ago),Tsubasa Kuragaki ,,,
2495,Theobaud Bauer,,France,,,Theobaud Bauer,,29th December 1901,
2621,unknown,208 lbs. (94 kg) at 6'4'' (1.93 m),"Indianapolis, Indiana (United States of America)",24th April 1982 (age 39),2001,Dustin Lee,,,
3258,Aaron R. Rodríguez,189 lbs. (86 kg) at 5'11'' (1.80 m),"Los Angeles, California (United States of America)",13th June 1976 (age 45),??th January 1998,El Sicodélico Jr.,,,
3315,unknown,172 lbs. (78 kg) at 5'9'' (1.75 m),"Tokyo, Tokyo (Japan)",20th September 1986 (age 35),3rd December 2004 (17 years ago),Fujita Hayato,,,
3389,Christopher Francis Gray,215 lbs. (98 kg) at 5'10'' (1.78 m),"Leeds, West Yorkshire, England (United Kingdom)",20th December 1987 (age 34),,Chris Gray,,,
3628,Atsushi Kudo,176 lbs. (80 kg) at 5'11'' (1.80 m),Japan,,30th November 2001 (20 years ago),KUDO,,,
4162,unknown,176 lbs. (80 kg) at 5'9'' (1.75 m),"Melbourne, Victoria (Australia)",2nd July 1981 (age 40),9th October 1999 (22 years ago),Dingo,,,
4790,unknown,141 lbs. (64 kg) at 5'9'' (1.75 m),"Tulancingo de Bravo, Hidalgo (Mexico)",3rd August 1990 (age 31),7th December 2003 (18 years ago),Aero Boy,,,
6112,unknown,220 lbs. (100 kg) at 6'2'' (1.88 m),"Lordstown, Ohio (United States of America)",,,Vincent Nothing,,,
6162,Daniel Mattekowitsch,203 lbs. (92 kg) at 6'0'' (1.83 m),"Wesel, Nordrhein-Westfalen (Germany)",10th January 1988 (age 34),30th March 2008 (13 years ago),Dan Marshall,,,
6189,David Hebner,,"Richmond, Virginia (United States of America)",17th May 1949 (age 72),1963,Dave Hebner,5'7'' (1.70 m),,
7080,Jazmin Jones,185 lbs. (84 kg) at 5'9'' (1.75 m),"Sparta, Illinois (United States of America)",,,Acid Jaz,,,
7445,Kelly Klein,201 lbs. (91 kg) at 5'10'' (1.78 m),"Fairfield, Ohio (United States of America)",28th January 1991 (age 31),,Kelly Klein ,,,
7736,Jesse Justice Smith Jr.,230 lbs. (104 kg) at 6'8'' (2.03 m),"Los Angeles, California (United States of America)",,,Justice,,,
8065,Renato Da Cunha Sobral,205 lbs. (93 kg) at 6'1'' (1.85 m),"Río de Janeiro, Río de Janeiro (Brazil)",7th September 1975 (age 46),20th January 1999 (23 years ago),Renato Sobral,,,
8414,Adam Travis Dykes,190 lbs. (86 kg) at 5'10'' (1.78 m),"Auckland, Auckland (New Zealand)",25th October 1976,12th March 1996 (25 years ago),Adam Firestorm,,5th November 2009,
9220,Newton Tattrie,250 lbs. (113 kg) at 5'11'' (1.80 m),"Springhill, Nova Scotia (Canada)",12th July 1931,,Geto Mongol,,18th July 2013,
9976,Adam Mansfield,,"London, Greater London, England (United Kingdom)",,,Money Muscles Mansfield,,,150 lbs. (68 kg)
10425,Sergei Valerievich Kharitonov,255 lbs. (116 kg) at 6'4'' (1.93 m),"Archangelsk, Archangelsk (Russia)",18th August 1980 (age 41),11th August 2000 (21 years ago),Sergei Kharitonov,,,
10567,unknown,,"Panama City Beach, Florida (United States of America)",5th June 1989 (age 32),,Ty Hagen,5'7'' (1.70 m),,
11897,Maximo Blanco,145 lbs. (66 kg) at 5'8'' (1.73 m),Falcón (Venezuela),16th October 1983 (age 38),27th August 2008 (13 years ago),Maximo Blanco,,,
12082,Jimmy Smith,170 lbs. (77 kg) at 5'11'' (1.80 m),California (United States of America),2nd September 1977 (age 44),6th December 2003 (18 years ago),Jimmy Smith,,,
12393,unknown,,,,,Kid Hybrid,,,
12693,Lyman Good,170 lbs. (77 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",26th May 1985 (age 36),29th October 2005 (16 years ago),Lyman Good,,,
14644,unknown,235 lbs. (107 kg) at 6'0'' (1.83 m),"London, Greater London, England (United Kingdom)",16th May 1988 (age 33),,Lazer Lagden,,,
16202,Natalie Harrison,140 lbs. (64 kg) at 5'5'' (1.65 m),Canada,1st July 1985 (age 36),2009,KC Spinelli ,,,
16529,Pat Curran,145 lbs. (66 kg) at 5'10'' (1.78 m),"Island Lake, Illinois (United States of America)",31st August 1987 (age 34),23rd February 2008 (14 years ago),Pat Curran,,,
16868,unknown,,New York (United States of America),,1997,Tookie Tucker,6'0'' (1.83 m),,
19343,unknown,99 lbs. (45 kg) at 5'5'' (1.65 m),"Funabashi, Chiba (Japan)",13th October 1995 (age 26),12th January 2011 (11 years ago),Arisa Hoshiki ,,,
24861,unknown,254 lbs. (115 kg) at 6'3'' (1.91 m),"Atlanta, Georgia (United States of America)",21st November 1947 (age 74),,Ted Oates,,,
25667,Risa Okuda,132 lbs. (60 kg) at 5'6'' (1.68 m),"Hiroshima, Hiroshima (Japan)",19th November 1991 (age 30),20th October 2012 (9 years ago),Risa Sera ,,,
27406,Lynn Braxton,,,1952,,Big Bad Mama ,,28th June 2013,
27616,unknown,,,,,Akihiro,,,
28644,Amanda Rodríguez,,"Raleigh, North Carolina (United States of America)",15th August 1990 (age 31),,Amanda Rodríguez ,,,
30563,unknown,99 lbs. (45 kg) at 4'11'' (1.50 m),Japan,18th August 2001 (age 20),11th October 2015 (6 years ago),Starlight Kid ,,,
30980,Melissa Santos,114 lbs. (52 kg) at 5'3'' (1.60 m),Nicaragua,,19th January 2013 (9 years ago),Melissa Santos ,,,
31348,Tamumi Nakano,115 lbs. (52 kg) at 5'2'' (1.57 m),Aichi (Japan),22nd March 1988 (age 33),18th July 2016 (5 years ago),Tam Nakano ,,,
31612,Ryan Camerford,169 lbs. (77 kg) at 5'10'' (1.78 m),"London, Greater London, England (United Kingdom)",,19th April 2015 (6 years ago),Jack Sexsmith,,,
35277,Brian Schiedel,,"Portland, Oregon (United States of America)",10th January 1985 (age 37),,Brian Zane,5'11'' (1.80 m),,
35668,unknown,203 lbs. (92 kg) at 6'1'' (1.85 m),"Hamburg, Hamburg (Germany)",21st July 1997 (age 24),??th January 2018,Levaniel,,,
344,Retesh Bhalla,185 lbs. (84 kg) at 5'8'' (1.73 m),"Washington, District of Columbia (United States of America)",7th April 1982 (age 39),??th September 2000,Sonjay Dutt,,,
733,Jesús Luna Pozos,181 lbs. (82 kg) at 5'9'' (1.75 m),"Torreón, Coahuila de Zaragoza (Mexico)",18th February 1975 (age 47),??th October 1990,Sharlie Rockstar,,,
65,Christopher B. Candito,226 lbs. (103 kg) at 5'8'' (1.73 m),"Carteret, New Jersey (United States of America)",21st March 1972,21st March 1986 (35 years ago),Chris Candido,,28th April 2005,
426,unknown,185 lbs. (84 kg) at 6'2'' (1.88 m),"Indianapolis, Indiana (United States of America)",18th November ???,6th March 1999 (23 years ago),Nate Webb,,,
2839,Jesús Rodríguez,230 lbs. (104 kg) at 6'0'' (1.83 m),"Los Angeles, California (United States of America)",17th February 1986 (age 36),11th August 2006 (15 years ago),Chimaera,,,
28415,Christopher Dijak,275 lbs. (125 kg) at 6'7'' (2.01 m),"Lunenburg, Massachusetts (United States of America)",23rd April 1987 (age 34),2013,T-BAR,,,
3846,Damian Shovelton,,"Leigh, Greater Manchester, England (United Kingdom)",15th August 1985 (age 36),2001,Joey Hayes,,,206 lbs. (93 kg)
711,César Cuauhtémoc González Barrón,216 lbs. (98 kg) at 5'9'' (1.75 m),"Torreón, Coahuila de Zaragoza (Mexico)",9th January 1968,??th November 1985,Silver King,,11th May 2019,
2626,unknown,235 lbs. (107 kg) at 6'0'' (1.83 m),"Sarasota, Florida (United States of America)",12th March 1982 (age 39),??th May 2003,Erick Stevens,,,
650,Kimberly Lynn Bacon,120 lbs. (54 kg) at 5'10'' (1.78 m),"Chicago, Illinois (United States of America)",1st January 1969 (age 53),1994,Kimberly Page ,,,
238,Charles Scaggs,229 lbs. (104 kg) at 5'11'' (1.80 m),"Denver, Colorado (United States of America)",25th October 1965 (age 56),1985,Too Cold Scorpio,,,
514,Hiroyoshi Yamamoto,254 lbs. (115 kg) at 6'0'' (1.83 m),"Kyoto, Kyoto (Japan)",23rd March 1971 (age 50),11th January 1991 (31 years ago),Hiroyoshi Tenzan,,,
557,Nikita Koloff,275 lbs. (125 kg) at 6'3'' (1.91 m),"Minneapolis, Minnesota (United States of America)",9th March 1959 (age 63),1984,Nikita Koloff,,,
1715,Wayde Douglas Bowles,247 lbs. (112 kg) at 6'2'' (1.88 m),"Amherst, Nova Scotia (Canada)",24th August 1944,??th July 1965,Rocky Johnson,,15th January 2020,
574,Guy LaRose,250 lbs. (113 kg) at 6'4'' (1.93 m),"Joliette, Quebec (Canada)",7th February 1925,1946,Hans Schmidt,,26th May 2012,
1178,Lawrence George Heiniemi,,"Minneapolis, Minnesota (United States of America)",14th March 1939 (age 82),,Lars Anderson,,,
1580,Claude Patterson,260 lbs. (118 kg) at 5'11'' (1.80 m),"Waterloo, Iowa (United States of America)",8th July 1940 (age 81),1964,Thunderbolt Patterson,,,
1757,Akira Kanemura,233 lbs. (106 kg) at 5'10'' (1.78 m),"Tsu, Mie (Japan)",9th August 1970 (age 51),20th December 1990 (31 years ago),Kintaro Kanemura,,,
2321,Alejandro Pérez Jiminez,,"Nezahualcóyotl, Estado de México (Mexico)",,,Espectrito #2,4'7'' (1.40 m),29th June 2009,
3692,unknown,168 lbs. (76 kg) at 5'4'' (1.63 m),Mexico,1st July 1975 (age 46),16th June 1989 (32 years ago),Asturiano,,,
5223,Kaori Yoneyama,123 lbs. (56 kg) at 4'11'' (1.50 m),"Zushi, Kanagawa (Japan)",26th February 1981 (age 41),29th November 1999 (22 years ago),Fukigen Death* ,,,
5448,unknown,175 lbs. (79 kg) at 5'11'' (1.80 m),"Davenport, Iowa (United States of America)",,14th January 2006 (16 years ago),Shane Hollister,,,
5616,Mikko Räsänen,220 lbs. (100 kg) at 6'0'' (1.83 m),"Helsinki, Uusimaa (Finland)",,??th February 2007,Heimo Ukonselkä,,,
6898,Jeshua Muchnick,,Ukraine,22nd August 1905,,Sam Muchnick,,30th December 1998,
7631,Marcus Paul Davis,170 lbs. (77 kg) at 5'10'' (1.78 m),"Houlton, Maine (United States of America)",24th August 1973 (age 48),22nd August 2003 (18 years ago),Marcus Davis,,,
9246,unknown,201 lbs. (91 kg) at 6'0'' (1.83 m),"Manchester, Greater Manchester, England (United Kingdom)",,2003,Jervis Cottonbelly,,,
9845,Neil ???,,United Kingdom,15th July 1984 (age 37),,Dylan Roberts,,,201 lbs. (91 kg)
12187,unknown,215 lbs. (98 kg) at 6'1'' (1.85 m),"Plymouth, Devon, England (United Kingdom)",5th November ???,31st January 2009 (13 years ago),Eddie Ryan,,,
13289,Richard Thomas Story,170 lbs. (77 kg) at 5'10'' (1.78 m),"Spanaway, Washington (United States of America)",28th August 1984 (age 37),6th November 2007 (14 years ago),Rick Story,,,
28261,unknown,120 lbs. (54 kg) at 5'3'' (1.60 m),"Washington, District of Columbia (United States of America)",25th August 1988 (age 33),,Renee Michelle ,,,
2728,Kofi Sarkodie-Mensah,218 lbs. (99 kg) at 6'0'' (1.83 m),Kumasi (Ghana),14th August 1981 (age 40),24th February 2006 (16 years ago),Kofi Kingston,,,
977,Christina Lee Hemme,116 lbs. (53 kg) at 5'5'' (1.65 m),"Temecula, California (United States of America)",28th October 1980 (age 41),19th July 2004 (17 years ago),Christy Hemme ,,,
1468,Katsumasa Kuroki,183 lbs. (83 kg) at 5'9'' (1.75 m),"Tokyo, Tokyo (Japan)",9th January 1973 (age 49),11th May 1997 (24 years ago),Magnum TOKYO,,,
2857,unknown,198 lbs. (90 kg) at 5'6'' (1.68 m),Mexico,31st July 1967 (age 54),1994,Durango Kid,,,
3498,Andrew McLean Galloway IV.,250 lbs. (113 kg) at 6'5'' (1.96 m),"Ayr, South Ayrshire, Scotland (United Kingdom)",6th June 1985 (age 36),2001,Drew McIntyre,,,
9451,Angela Marie Fong,120 lbs. (54 kg) at 5'5'' (1.65 m),"Vancouver, British Columbia (Canada)",3rd February 1985 (age 37),12th February 2008 (14 years ago),Savannah ,,,
734,Sylvester Ritter,380 lbs. (172 kg) at 6'3'' (1.91 m),"Charlotte, North Carolina (United States of America)",13th December 1953,1976,Junkyard Dog,,2nd July 1998,
5484,unknown,180 lbs. (82 kg) at 5'10'' (1.78 m),"Oxford, Oxfordshire, England (United Kingdom)",25th June 1988 (age 33),22nd July 2006 (15 years ago),Mark Haskins,,,
4419,Raymond Rowe,247 lbs. (112 kg) at 6'1'' (1.85 m),"Cleveland, Ohio (United States of America)",21st August 1984 (age 37),??th May 2003,Erik,,,
25959,unknown,194 lbs. (88 kg) at 5'9'' (1.75 m),"Hannover, Niedersachsen (Germany)",16th May 1993 (age 28),22nd December 2012 (9 years ago),David Finlay Jr.,,,
544,Wataru Inoue,216 lbs. (98 kg) at 5'11'' (1.80 m),"Tokyo, Tokyo (Japan)",27th August 1973 (age 48),21st July 1999 (22 years ago),Wataru Inoue,,,
1208,unknown,172 lbs. (78 kg) at 5'11'' (1.80 m),"Baltimore, Maryland (United States of America)",16th September 1980 (age 41),2001,Derek Frazier,,,
3770,Gary Ballance,172 lbs. (78 kg) at 5'9'' (1.75 m),"Dublin, Dublin (Ireland)",17th October 1984 (age 37),26th June 2005 (16 years ago),Bingo Ballance,,,
