,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
5493,unknown,196 lbs. (89 kg) at 6'0'' (1.83 m),"Middlesbrough, North Yorkshire, England (United Kingdom)",11th March 1985 (age 36),2001,Tony Spitfire,,,
5788,Ricky Martin,225 lbs. (102 kg) at 6'1'' (1.85 m),"Portsmouth, Hampshire, England (United Kingdom)",,2004,Ricky Hype,,,
26712,Holly Holm,135 lbs. (61 kg) at 5'8'' (1.73 m),"Albuquerque, New Mexico (United States of America)",17th October 1981 (age 40),4th March 2011 (11 years ago),Holly Holm ,,,
3719,unknown,183 lbs. (83 kg) at 5'6'' (1.68 m),"Suita, Osaka (Japan)",13th November 1986 (age 35),5th August 2006 (15 years ago),Daisuke Harada,,,
7599,Ashley Reed,,"Basildon, Essex, England (United Kingdom)",26th October 1985 (age 36),,Ashley Reed,,5'8'' (1.73 m),
9969,Samuel James Stout,155 lbs. (70 kg) at 5'9'' (1.75 m),"London, Ontario (Canada)",23rd April 1984 (age 37),7th June 2003 (18 years ago),Sam Stout,,,
32128,Nate Blauvelt,285 lbs. (129 kg) at 6'5'' (1.96 m),"Palmdale, California (United States of America)",17th March 1987 (age 34),31st July 2015 (6 years ago),Brody King,,,
37580,Bronson Rechsteiner,230 lbs. (104 kg) at 6'0'' (1.83 m),"Woodstock, Georgia (United States of America)",24th October 1997 (age 24),8th October 2020 (one year ago),Bron Breakker,,,
1874,Tomoka Nakagawa,128 lbs. (58 kg) at 5'1'' (1.55 m),"Asahikawa, Hokkaido (Japan)",29th September 1981 (age 40),6th November 2004 (17 years ago),Tomoka Nakagawa ,,,
2035,Shinobu Kandori,165 lbs. (75 kg) at 5'7'' (1.70 m),"Yokohama, Kanagawa (Japan)",3rd November 1964 (age 57),,Shinobu Kandori ,,,
2044,Toshiyo Yamada,154 lbs. (70 kg) at 5'6'' (1.68 m),"Saitama, Saitama (Japan)",27th February 1970 (age 52),27th July 1987 (34 years ago),Toshiyo Yamada ,,,
8917,unknown,,Mexico,,2005,Goku,,,
10273,Miguel Angel Torres,135 lbs. (61 kg) at 5'9'' (1.75 m),"East Chicago, Indiana (United States of America)",18th January 1981 (age 41),27th March 2000 (21 years ago),Miguel Torres,,,
11101,unknown,236 lbs. (107 kg) at 6'0'' (1.83 m),Mexico,,??th June 1997,SWAT,,,
13715,Diego Torresean Nunes,145 lbs. (66 kg) at 5'6'' (1.68 m),"Caxias do Sul, Rio Grande do Sul (Brazil)",30th November 1982 (age 39),15th May 2004 (17 years ago),Diego Nunes,,,
14593,Yukari Ishino,137 lbs. (62 kg) at 5'3'' (1.60 m),"Settsu, Osaka (Japan)",24th June 1992 (age 29),27th July 2008 (13 years ago),Kagetsu ,,,
16067,Tsukasa Fujimoto,103 lbs. (47 kg) at 5'2'' (1.57 m),"Sendai, Miyagi (Japan)",30th July 1983 (age 38),23rd August 2008 (13 years ago),Tsukasa Fujimoto ,,,
19153,unknown,198 lbs. (90 kg) at 5'10'' (1.78 m),"Torreón, Coahuila de Zaragoza (Mexico)",12th February 1991 (age 31),,Bobby Villa,,,
20351,Sari Fujimura,106 lbs. (48 kg) at 5'2'' (1.57 m),"Tokyo, Tokyo (Japan)",31st March 1996 (age 25),17th April 2011 (10 years ago),Sarray ,,,
22565,Lee Marshall,,"Ventura, California (United States of America)",28th November 1949,1968,Lee Marshall,26th April 2014,5'10'' (1.78 m),
30565,unknown,137 lbs. (62 kg) at 5'1'' (1.55 m),"Nagoya, Aichi (Japan)",1st April 1991 (age 30),15th November 2015 (6 years ago),Jungle Kyona ,,,
645,Lionel Giroux,60 lbs. (27 kg) at 4'4'' (1.32 m),"Saint-Jérôme, Quebec (Canada)",18th April 1934,1950,Little Beaver,4th December 1995,,
1110,Mildred Bliss,115 lbs. (52 kg) at 5'5'' (1.65 m),"Coffeyville, Kansas (United States of America)",5th August 1915,,Mildred Burke ,18th February 1989,,
2645,Robert Frederick Atkinson,250 lbs. (113 kg) at 6'1'' (1.85 m),"Westport, West Coast (New Zealand)",1910,,Fred Atkins,14th May 1988,,
3511,Tadashi Takagi,238 lbs. (108 kg) at 5'9'' (1.75 m),"Toyonaka, Osaka (Japan)",13th January 1970 (age 52),1994,Sanshiro Takagi,,,
3800,Paul Grint,245 lbs. (111 kg) at 6'2'' (1.88 m),"Nottingham, Nottinghamshire, England (United Kingdom)",27th October 1981 (age 40),??th December 2001,Stixx,,,
5578,Ayana Mizumura,154 lbs. (70 kg) at 5'3'' (1.60 m),"Nagoya, Aichi (Japan)",24th March 1988 (age 33),3rd November 2004 (17 years ago),Ryo Mizunami ,,,
6113,unknown,275 lbs. (125 kg) at 6'5'' (1.96 m),"Lordstown, Ohio (United States of America)",1st March 1984 (age 38),27th June 2003 (18 years ago),Rickey Shane Page,,,
7299,Aleksander Emelianenko,253 lbs. (115 kg) at 6'6'' (1.98 m),"Stary Oskol, Belgorod (Russia)",2nd August 1981 (age 40),5th October 2003 (18 years ago),Aleksander Emelianenko,,,
7690,unknown,240 lbs. (109 kg) at 5'11'' (1.80 m),Mexico,15th November 1985 (age 36),2000,Río Bravo,,,
7985,unknown,,Mexico,11th September 1991 (age 30),20th November 2003 (18 years ago),Raptor,,,
15147,Marloes Coenen,135 lbs. (61 kg) at 5'9'' (1.75 m),"Olst, Overijssel (Netherlands)",31st March 1981 (age 40),22nd November 2000 (21 years ago),Marloes Coenen ,,,
15885,unknown,132 lbs. (60 kg) at 5'6'' (1.68 m),"Kobe, Hyogo (Japan)",26th September 1989 (age 32),25th July 2006 (15 years ago),Makoto ,,,
20027,Anthony Ferguson,155 lbs. (70 kg) at 5'11'' (1.80 m),"Oxnard, California (United States of America)",12th February 1984 (age 38),12th April 2008 (13 years ago),Tony Ferguson,,,
22763,Jerome-Max Kelii Holloway,145 lbs. (66 kg) at 5'11'' (1.80 m),Hawaii (United States of America),4th December 1991 (age 30),11th September 2010 (11 years ago),Max Holloway,,,
27803,Áron Benedikt Kiss,160 lbs. (73 kg) at 5'10'' (1.78 m),Budapest (Hungary),27th January 1989 (age 33),,Icarus,,,
34684,unknown,121 lbs. (55 kg) at 5'4'' (1.63 m),"London, Greater London, England (United Kingdom)",21st February 1994 (age 28),29th October 2017 (4 years ago),Giulia ,,,
1259,Earl Charles Caddock,182 lbs. (83 kg) at 5'11'' (1.80 m),"Huron, South Dakota (United States of America)",27th February 1888,??th June 1915,Earl Caddock,25th August 1950,,
1971,Mary Ann Kostecki,165 lbs. (75 kg) at 5'8'' (1.73 m),"St. Louis, Missouri (United States of America)",11th August 1934,??th July 1954,Penny Banner ,12th May 2008,,
2009,unknown,127 lbs. (58 kg) at 5'4'' (1.63 m),"South Palm Beach, Florida (United States of America)",3rd September 1985 (age 36),??th June 2004,Tiana Ringer ,,,
2269,Yoshimi Shiotani,154 lbs. (70 kg) at 5'7'' (1.70 m),"Koshigaya, Saitama (Japan)",10th December 1981 (age 40),11th July 1999 (22 years ago),Hikaru ,,,
8633,unknown,240 lbs. (109 kg) at 5'9'' (1.75 m),Ecuador,1974,1995,Mikrobi,,,
9929,Joseph E. Lauzon Jr.,155 lbs. (70 kg) at 5'10'' (1.78 m),"Brockton, Massachusetts (United States of America)",22nd May 1984 (age 37),21st February 2004 (18 years ago),Joe Lauzon,,,
14107,unknown,243 lbs. (110 kg) at 5'9'' (1.75 m),"Osaka, Osaka (Japan)",28th March 1988 (age 33),30th April 2008 (13 years ago),Shigehiro Irie,,,
16083,unknown,198 lbs. (90 kg) at 5'8'' (1.73 m),"Hirado, Nagasaki (Japan)",6th January 1991 (age 31),14th June 2009 (12 years ago),Takumi Tsukamoto,,,
22664,Reza Madadi,155 lbs. (70 kg) at 5'11'' (1.80 m),Teheran (Iran),20th June 1980 (age 41),23rd September 2006 (15 years ago),Reza Madadi,,,
24194,unknown,163 lbs. (74 kg) at 6'0'' (1.83 m),Washington (United States of America),,,AT Brooks,,,
25023,unknown,,"Cambridge, Cambridgeshire, England (United Kingdom)",,,Kid Lykos,,,
26270,unknown,187 lbs. (85 kg) at 6'1'' (1.85 m),"Osaka, Osaka (Japan)",29th June 1995 (age 26),4th August 2012 (9 years ago),Konosuke Takeshita,,,
28796,unknown,,"Swindon, Wiltshire, England (United Kingdom)",,,Antonio De Luca,,,
32522,unknown,,,,,Jay Evans,,,
34887,Thekla Kaischauri,,Austria,,18th June 2017 (4 years ago),Thekla ,,,
35112,unknown,,"Saratow, Saratow (Russia)",,16th September 2017 (4 years ago),Crowchester,,,
993,Makoto Hashi,216 lbs. (98 kg) at 5'11'' (1.80 m),"Fukuyama, Hiroshima (Japan)",10th May 1977 (age 44),25th March 1998 (23 years ago),Makoto Hashi,,,
1839,Ricco Rodríguez,220 lbs. (100 kg) at 6'4'' (1.93 m),"San José, California (United States of America)",19th August 1977 (age 44),25th March 1999 (22 years ago),Ricco Rodríguez,,,
1870,unknown,209 lbs. (95 kg) at 6'0'' (1.83 m),"Maizuru, Kyoto (Japan)",25th November 1978 (age 43),27th April 2001 (20 years ago),Kengo Mashimo,,,
2266,Tatsuhito Senga,137 lbs. (62 kg) at 5'5'' (1.65 m),"Toyonaka, Osaka (Japan)",2nd January 1984 (age 38),16th May 2004 (17 years ago),Banana Senga,,,
2739,Jens Wagner,185 lbs. (84 kg) at 5'9'' (1.75 m),"Karlsruhe, Baden-Württemberg (Germany)",,24th September 2000 (21 years ago),Master J,,,
8758,Hikari Fukuoka,143 lbs. (65 kg) at 5'3'' (1.60 m),"Akita, Akita (Japan)",23rd November 1971 (age 50),1st December 1990 (31 years ago),Hikari Fukuoka ,,,
8856,Joshua Joseph Thomson,155 lbs. (70 kg) at 5'10'' (1.78 m),"San José, California (United States of America)",21st September 1978 (age 43),18th January 2001 (21 years ago),Josh Thomson,,,
10368,unknown,210 lbs. (95 kg) at 5'9'' (1.75 m),"Belfast, New York (United States of America)",25th May 1845,,William Muldoon,3rd June 1933,,
10554,Efrain Escudero,155 lbs. (70 kg) at 5'9'' (1.75 m),"San Luis Río Colorado, Sonora (Mexico)",15th January 1986 (age 36),10th June 2006 (15 years ago),Efrain Escudero,,,
12259,Evan Dunham,155 lbs. (70 kg) at 5'10'' (1.78 m),"Eugene, Oregon (United States of America)",18th December 1981 (age 40),14th April 2007 (14 years ago),Evan Dunham,,,
16717,Nicholas Harmon,,"LaPorte, Indiana (United States of America)",3rd January 1988 (age 34),,Nick Cutler,,5'9'' (1.75 m),
16933,Alexander Shlemenko,185 lbs. (84 kg) at 5'11'' (1.80 m),"Omsk, Omsk (Russia)",20th May 1984 (age 37),19th February 2004 (18 years ago),Alexander Shlemenko,,,
27966,Jacob McCarter,,United States of America,,,Shynron,,,
31441,Natalia Class,141 lbs. (64 kg) at 5'8'' (1.73 m),Carolina (Puerto Rico),6th February 1997 (age 25),2016,Salina de la Renta ,,,
900,Enrique Juan Yañez González,,"Otumba, Estado de México (Mexico)",24th August 1919,21st June 1942 (79 years ago),Enrique Llanes,18th September 2004,,
1469,Takahiro Suwa,181 lbs. (82 kg) at 5'7'' (1.70 m),"Minamikyushu, Kagoshima (Japan)",31st August 1975 (age 46),11th May 1997 (24 years ago),SUWA,,,
1496,Takuya Sugawara,187 lbs. (85 kg) at 5'10'' (1.78 m),"Akita, Akita (Japan)",3rd November 1983 (age 38),2nd December 2001 (20 years ago),Takuya Sugawara,,,
1679,Fred Thomas Koury Jr.,200 lbs. (91 kg) at 5'11'' (1.80 m),"Hartford, Connecticut (United States of America)",12th June 1941 (age 80),,Fred Curry,,,
2275,unknown,,Japan,,13th December 2001 (20 years ago),PSYCHO,,,
5042,David García,152 lbs. (69 kg) at 5'7'' (1.70 m),Mexico,9th November 1973 (age 48),,Caifán,,,
5333,unknown,,United Kingdom,26th September 1945 (age 76),1968,Marty Jones,,,
5897,Blair Mone,285 lbs. (129 kg) at 6'0'' (1.83 m),"Springfield, Massachusetts (United States of America)",16th August 1979 (age 42),2007,Anthony Bravado,,,
6589,Earnest Francis Hefner,250 lbs. (113 kg) at 5'10'' (1.78 m),"Sherman, Texas (United States of America)",23rd April 1906,,Dutch Hefner,15th October 1981,,
10360,unknown,265 lbs. (120 kg) at 6'2'' (1.88 m),umen (Bulgaria),1857,,Yussuf Ishmaelo,4th July 1898,,
10944,Mike Thomas Brown,145 lbs. (66 kg) at 5'6'' (1.68 m),"Portland, Maine (United States of America)",8th September 1975 (age 46),17th October 2001 (20 years ago),Mike Brown,,,
12422,Bibiano Fernandes,135 lbs. (61 kg) at 5'6'' (1.68 m),"Manaus, Amazonas (Brazil)",30th March 1980 (age 41),23rd October 2004 (17 years ago),Bibiano Fernandes,,,
14001,unknown,181 lbs. (82 kg) at 5'11'' (1.80 m),"Shikokuchuo, Ehime (Japan)",31st October 1982 (age 39),1st August 2007 (14 years ago),Shinya Ishikawa,,,
20024,Myles Jury,155 lbs. (70 kg) at 5'11'' (1.80 m),"Hazel Park, Michigan (United States of America)",31st October 1988 (age 33),22nd October 2005 (16 years ago),Myles Jury,,,
20576,Tiffany Dean Gravile,146 lbs. (66 kg) at 5'9'' (1.75 m),"Bardstown, Kentucky (United States of America)",2nd July 1985 (age 36),2008,Jessie Belle ,,,
20714,Christina Garibaldi,,"New York City, New York (United States of America)",19th February 1987 (age 35),,Solo Darling ,,,
21453,Jordan Mein,170 lbs. (77 kg) at 6'0'' (1.83 m),"Lethbridge, Alberta (Canada)",,17th June 2006 (15 years ago),Jordan Mein,,,
29073,Stokely Hathaway,,New York (United States of America),,18th April 2014 (7 years ago),Malcolm Bivens,,,
29516,unknown,126 lbs. (57 kg) at 5'6'' (1.68 m),"San Diego, California (United States of America)",4th April 1994 (age 27),2012,Chelsea ,,,
30436,Amale Dib,,"Béziers, Occitanie (France)",19th June 1993 (age 28),7th January 2012 (10 years ago),Amale ,,5'4'' (1.63 m),
32102,Austin James Highley,174 lbs. (79 kg) at 5'9'' (1.75 m),"Atlantic City, New Jersey (United States of America)",28th February 1997 (age 25),11th July 2015 (6 years ago),Ace Austin,,,
35354,unknown,240 lbs. (109 kg) at 6'2'' (1.88 m),"Clare, Michigan (United States of America)",15th January 1992 (age 30),26th September 2015 (6 years ago),10,,,
1452,Atsushi Maruyama,174 lbs. (79 kg) at 5'9'' (1.75 m),"Takatsuki, Osaka (Japan)",1st June 1976 (age 45),19th May 2001 (20 years ago),Atsushi Maruyama,,,
1494,Wataru Sakata,187 lbs. (85 kg) at 5'9'' (1.75 m),"Inazawa, Aichi (Japan)",11th March 1973 (age 48),19th November 1994 (27 years ago),Wataru Sakata,,,
4069,Adolph Ernst Santel (?),185 lbs. (84 kg) at 5'9'' (1.75 m),"Dresden, Sachsen (Germany)",7th April 1887,,Ad Santel,10th November 1966,,
4326,Horst Hoffmann,260 lbs. (118 kg) at 6'3'' (1.91 m),Germany,29th September 1935 (age 86),23rd April 1957 (64 years ago),Horst Hoffmann,,,
5564,Greg Stockwell,220 lbs. (100 kg) at 6'2'' (1.88 m),"Oxford, Oxfordshire, England (United Kingdom)",16th November 1982 (age 39),,Stockwell,,,
7239,Reggie Parks,224 lbs. (102 kg) at 6'2'' (1.88 m),"Edmonton, Alberta (Canada)",27th August 1934,1955,Reggie Parks,7th October 2021,,
7527,William Charles Goelz,,Illinois (United States of America),3rd January 1918,,Billy Goelz,20th November 2002,,
7852,Abe Kashey,215 lbs. (98 kg) at 5'11'' (1.80 m),Syria,28th November 1903,1931,Abe Kashey,24th September 1965,,
10611,Michelle Waterson,125 lbs. (57 kg) at 5'3'' (1.60 m),"Colorado Springs, Colorado (United States of America)",6th January 1986 (age 36),30th June 2007 (14 years ago),Michelle Waterson ,,,
14206,unknown,121 lbs. (55 kg) at 5'4'' (1.63 m),"Yokohama, Kanagawa (Japan)",13th February 1982 (age 40),3rd June 2001 (20 years ago),Haruka Matsuo ,,,
15513,Erik Koch,145 lbs. (66 kg) at 5'9'' (1.75 m),"Cedar Rapids, Iowa (United States of America)",4th October 1988 (age 33),6th January 2007 (15 years ago),Erik Koch,,,
15821,Adam Atherton,,"Louisville, Kentucky (United States of America)",1984,,Rudy Parker,,6'1'' (1.85 m),
18749,Iuri Alcantara,135 lbs. (61 kg) at 5'6'' (1.68 m),Pará (Brazil),4th August 1980 (age 41),13th March 2004 (17 years ago),Iuri Alcantara,,,
19339,unknown,143 lbs. (65 kg) at 5'7'' (1.70 m),"Kawaguchi, Saitama (Japan)",13th December 1986 (age 35),31st October 2010 (11 years ago),Yoko Bito ,,,
20022,Ramsey Nijem,155 lbs. (70 kg) at 5'11'' (1.80 m),"Concord, California (United States of America)",1st April 1988 (age 33),18th April 2008 (13 years ago),Ramsey Nijem,,,
20118,Manami Katsu,147 lbs. (67 kg) at 5'3'' (1.60 m),"Tokyo, Tokyo (Japan)",23rd October 1994 (age 27),21st March 2011 (10 years ago),Manami Katsu ,,,
20598,Saki Akai,117 lbs. (53 kg) at 5'9'' (1.75 m),"Kyoto, Kyoto (Japan)",24th January 1987 (age 35),1st June 2011 (10 years ago),Saki Akai ,,,
24909,Gunnar Lúðvík Nelson,170 lbs. (77 kg) at 5'11'' (1.80 m),Akureyri (Iceland),28th July 1988 (age 33),5th May 2007 (14 years ago),Gunnar Nelson,,,
35676,unknown,,"Minneapolis, Minnesota (United States of America)",1999,2016,Darius Martin,,,189 lbs. (86 kg)
740,Celso Reyes Daza,178 lbs. (81 kg) at 5'7'' (1.70 m),"Acapulco de Juárez, Guerrero (Mexico)",28th July 1961 (age 60),??th March 1982,Ciclón Ramírez,,,
1236,William John Potts,,"Toronto, Ontario (Canada)",25th July 1917,1936,Whipper Billy Watson,4th February 1990,,
1302,José Luis Feliciano,192 lbs. (87 kg) at 5'8'' (1.73 m),"Juárez, Chihuahua (Mexico)",30th April 1955 (age 66),,José Luis Feliciano,,,
1474,Shozo Kobayashi,238 lbs. (108 kg) at 6'2'' (1.88 m),"Oume, Tokyo (Japan)",25th December 1940,??th July 1967,Strong Kobayashi,31st December 2021,,
1610,Kazunari Murakami,209 lbs. (95 kg) at 6'1'' (1.85 m),"Toyama, Toyama (Japan)",29th November 1973 (age 48),1995,Kazunari Murakami,,,
1895,unknown,,"Berlin, Berlin (Germany)",1882,1901,Albert Sturm,24th December 1946,,
2038,Tomoko Sawai,242 lbs. (110 kg) at 5'7'' (1.70 m),"Tokyo, Tokyo (Japan)",16th December 1967 (age 54),5th September 1986 (35 years ago),Eagle Sawai ,,,
2263,unknown,128 lbs. (58 kg) at 5'7'' (1.70 m),"Tokyo, Tokyo (Japan)",21st September 1977 (age 44),,Bambi ,,,
2602,Richard Scheckat,220 lbs. (100 kg) at 6'1'' (1.85 m),"Sowetsk, Kaliningrad (Russia)",11th January 1897,1918,Dick Shikat,3rd December 1968,,
2616,Atsushi Sakai,192 lbs. (87 kg) at 5'10'' (1.78 m),"Yokohama, Kanagawa (Japan)",20th May 1983 (age 38),22nd February 2007 (15 years ago),KAI,,,
4561,unknown,125 lbs. (57 kg) at 5'4'' (1.63 m),United States of America,8th February 1965,1985,Kat LaRue ,27th July 2020,,
5738,Jake Gittens,169 lbs. (77 kg) at 6'0'' (1.83 m),"Tenbury Wells, Worcestershire, England (United Kingdom)",,??th February 2005,Killian Jacobs,,,
7678,Mark Shepherd,338 lbs. (153 kg) at 6'1'' (1.85 m),"Cleveland, Ohio (United States of America)",31st December 1986 (age 35),13th November 2007 (14 years ago),Shane Taylor,,,
9278,unknown,147 lbs. (67 kg) at 5'8'' (1.73 m),"Toronto, Ontario (Canada)",25th September 1989 (age 32),1st October 2005 (16 years ago),Kaitlin Diemond ,,,
13983,Kazuhiro Tamura,132 lbs. (60 kg) at 5'3'' (1.60 m),"Kawasaki, Kanagawa (Japan)",5th February 1979 (age 43),17th September 2003 (18 years ago),TAMURA,,,
21965,Adam Wilmot,176 lbs. (80 kg) at 5'10'' (1.78 m),Australia,,,Adam Brooks,,,
22051,unknown,163 lbs. (74 kg) at 5'8'' (1.73 m),,,,Rohit Raju,,,
23940,Daron Jae Cruickshank,155 lbs. (70 kg) at 5'8'' (1.73 m),"Wayne, Michigan (United States of America)",11th June 1985 (age 36),10th October 2009 (12 years ago),Daron Cruickshank,,,
24420,Miyuki Shiota,95 lbs. (43 kg) at 4'7'' (1.40 m),"Yokohama, Kanagawa (Japan)",22nd February 1996 (age 26),10th July 2011 (10 years ago),Rabbit Miyu ,,,
26889,unknown,420 lbs. (191 kg) at 6'2'' (1.88 m),"Hollywood, Florida (United States of America)",3rd May 1986 (age 35),,Barrington Hughes,,,
29644,Alan Niddrie,152 lbs. (69 kg) at 5'9'' (1.75 m),"Glasgow, Glasgow, Scotland (United Kingdom)",,,Kenny Williams,,,
30946,Adrian Jaoude,220 lbs. (100 kg) at 5'11'' (1.80 m),Beirut (Lebanon),11th October 1981 (age 40),8th July 2016 (5 years ago),Tiger Ruas,,,
31549,Anthony Deppen,165 lbs. (75 kg) at 5'9'' (1.75 m),"Shamokin, Pennsylvania (United States of America)",,2009,Tony Deppen,,,
32041,unknown,200 lbs. (91 kg) at 5'10'' (1.78 m),"Philadelphia, Pennsylvania (United States of America)",16th February 1998 (age 24),13th June 2015 (6 years ago),Jimmy Lloyd,,,
32136,unknown,187 lbs. (85 kg) at 5'10'' (1.78 m),"Yokohama, Kanagawa (Japan)",10th September 1996 (age 25),17th January 2017 (5 years ago),Yuya Aoki,,,
34867,Michael Oku,,"London, Greater London, England (United Kingdom)",28th April 1993 (age 28),27th June 2017 (4 years ago),The OJMO,,,
902,Jesús Andrade Salas,176 lbs. (80 kg) at 5'7'' (1.70 m),"Gómez Palacio, Durango (Mexico)",11th May 1956 (age 65),1971,El Espanto Jr.,,,
1224,unknown,260 lbs. (118 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",5th August 1983 (age 38),??th April 2000,Danny Demanto,,,
2747,unknown,179 lbs. (81 kg) at 5'9'' (1.75 m),,,,Dana Lee,,,
5200,Mineo Fujita,177 lbs. (80 kg) at 5'10'' (1.78 m),"Saitama, Saitama (Japan)",28th November 1979 (age 42),11th October 2002 (19 years ago),Mineo Fujita,,,
5201,Rafael Antonio Sánchez,209 lbs. (95 kg) at 5'9'' (1.75 m),San José de Ocoa (Dominican Republic),2nd February 1942,,Jack Veneno,6th April 2021,,
9608,Anthony Cramasta,205 lbs. (93 kg) at 5'10'' (1.78 m),United States of America,,,Twiggy Ramírez,,,
10140,Ronald C. Hill,175 lbs. (79 kg) at 5'9'' (1.75 m),"Brockton, Massachusetts (United States of America)",18th August 1935,14th February 1952 (70 years ago),Ron Hill,27th August 2008,,
10184,Deborah Killian,143 lbs. (65 kg) at 5'6'' (1.68 m),"Orlando, Florida (United States of America)",10th March 1971 (age 50),??th February 1990,Debbie Malenko ,,,
14877,Ray Sefo,250 lbs. (113 kg) at 6'0'' (1.83 m),"Auckland, Auckland (New Zealand)",15th February 1971 (age 51),6th July 2005 (16 years ago),Ray Sefo,,,
15144,Zoila L. Gurgel,120 lbs. (54 kg) at 5'4'' (1.63 m),"Madera, California (United States of America)",10th September 1983 (age 38),13th February 2009 (13 years ago),Zoila Gurgel ,,,
16267,unknown,,Mexico,18th December 1991 (age 30),,El Hijo del Pantera,,,
16360,unknown,119 lbs. (54 kg) at 5'0'' (1.52 m),"Pachuca, Hidalgo (Mexico)",28th April 1992 (age 29),2008,El Mago,,,
17058,Ricky Martinez,172 lbs. (78 kg) at 5'5'' (1.65 m),"Miami, Florida (United States of America)",4th November 1988 (age 33),16th March 2008 (13 years ago),Maxx Stardom,,,
20101,unknown,165 lbs. (75 kg) at 5'8'' (1.73 m),"Adachi, Tokyo (Japan)",21st November 1987 (age 34),28th February 2010 (12 years ago),Kazuki Hirata,,,
24527,unknown,,"Calgary, Alberta (Canada)",,2011,Triple R Superstar,,,
27566,unknown,121 lbs. (55 kg) at 5'4'' (1.63 m),"Ciudad de México, Ciudad de México (Mexico)",9th April ???,6th February 2013 (9 years ago),Mystique ,,,
30570,Satender Dagar,235 lbs. (107 kg) at 6'4'' (1.93 m),"Baghru, Haryana (India)",12th January 1981 (age 41),29th September 2015 (6 years ago),Jeet Rama,,,
30632,unknown,110 lbs. (50 kg) at 5'2'' (1.57 m),"Hakodate, Hokkaido (Japan)",19th January 1984 (age 38),13th February 2016 (6 years ago),Tequila Saya ,,,
30813,Katsuya Kitamura,254 lbs. (115 kg) at 6'0'' (1.83 m),Japan,14th December 1985 (age 36),25th February 2016 (6 years ago),Katsuya Kitamura,,,
31002,unknown,337 lbs. (153 kg) at 6'4'' (1.93 m),"St. Louis, Missouri (United States of America)",,,Kevin Lee Davidson,,,
31055,unknown,,Chiba (Japan),19th July 1991 (age 30),12th December 2015 (6 years ago),Yuu ,,5'1'' (1.55 m),
31079,Kohei Fujimura,143 lbs. (65 kg) at 5'3'' (1.60 m),"Fukuoka, Fukuoka (Japan)",8th April 1993 (age 28),20th March 2016 (5 years ago),Aleja,,,
31117,Futa Nakamura,218 lbs. (99 kg) at 5'9'' (1.75 m),"Sakura, Chiba (Japan)",19th October 1991 (age 30),21st December 2015 (6 years ago),Ben-K,,,
31189,unknown,,,1992,,Monica Passeri,,,
31555,Donna Dale,108 lbs. (49 kg) at 5'2'' (1.57 m),"Newton Aycliffe, Durham, England (United Kingdom)",,2nd October 2015 (6 years ago),Little Miss Roxxy ,,,
31813,unknown,143 lbs. (65 kg) at 5'4'' (1.63 m),"Halifax, Nova Scotia (Canada)",6th January 2000 (age 22),7th November 2015 (6 years ago),Maddison Miles ,,,
32669,Joshua Bruns,268 lbs. (122 kg) at 6'8'' (2.03 m),Massachusetts (United States of America),5th March 1993 (age 29),14th December 2016 (5 years ago),Josh Briggs,,,
34562,unknown,220 lbs. (100 kg) at 6'0'' (1.83 m),"Newburgh, New York (United States of America)",18th June 1999 (age 22),,Jordan Oliver,,,
34643,unknown,,"Alexandria, Virginia (United States of America)",13th February 1996 (age 26),,Chris Bey,,,
36344,Danielle Jeantet,,"New York City, New York (United States of America)",,4th August 2017 (4 years ago),Dani Jordyn ,,,
1371,Melissa Marie Anderson,142 lbs. (64 kg) at 5'8'' (1.73 m),"Los Angeles, California (United States of America)",17th August 1982 (age 39),17th August 1999 (22 years ago),Cheerleader Melissa ,,,
684,Scott Colton,233 lbs. (106 kg) at 6'1'' (1.85 m),"Deerfield, Illinois (United States of America)",6th May 1980 (age 41),19th June 1999 (22 years ago),Colt Cabana,,,
11406,Adam Bridle,198 lbs. (90 kg) at 6'3'' (1.91 m),Johannesburg (South Africa),7th May 1987 (age 34),2007,Angélico,,,
3418,Nicholas Lee Massie,178 lbs. (81 kg) at 5'10'' (1.78 m),"Hesperia, California (United States of America)",28th July 1989 (age 32),8th August 2004 (17 years ago),Nick Jackson,,,
23524,Cederick Alexander Johnson,205 lbs. (93 kg) at 5'10'' (1.78 m),"Charlotte, North Carolina (United States of America)",16th August 1989 (age 32),17th July 2009 (12 years ago),Cedric Alexander,,,
2637,Marcos Tinajero,216 lbs. (98 kg) at 5'11'' (1.80 m),"Uruapan, Michoacán de Ocampo (Mexico)",30th January 1975 (age 47),,Ozz,,,
16104,Willie McClinton Jr.,275 lbs. (125 kg) at 5'11'' (1.80 m),"Los Angeles, California (United States of America)",5th January 1987 (age 35),14th May 2006 (15 years ago),Willie Mack,,,
12088,Richard Blood Jr.,220 lbs. (100 kg) at 6'2'' (1.88 m),"Charlotte, North Carolina (United States of America)",7th July 1987 (age 34),2008,Richie Steamboat,,,
12,Lance Timothy Evers,231 lbs. (105 kg) at 5'11'' (1.80 m),"Sarnia, Ontario (Canada)",3rd April 1969 (age 52),2nd October 1990 (31 years ago),Lance Storm,,,
