,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
480,Robert Lee Backlund,241 lbs. (109 kg) at 6'1'' (1.85 m),"Princeton, Minnesota (United States of America)",14th August 1949 (age 72),1973,Bob Backlund,,,
1462,Yoshikazu Taru,245 lbs. (111 kg) at 6'1'' (1.85 m),"Kobe, Hyogo (Japan)",23rd August 1964 (age 57),28th July 1996 (25 years ago),TARU,,,
2555,unknown,210 lbs. (95 kg) at 6'3'' (1.91 m),Austria,1st January 1980 (age 42),2002,Captain Steve Swallow,,,
2923,Jessica Dayana Mosco Hernández,,"Ciudad de México, Ciudad de México (Mexico)",23rd January 1970 (age 52),1992,Rosa Negra ,,,
3773,James Atkins,227 lbs. (103 kg) at 6'0'' (1.83 m),"London, Greater London, England (United Kingdom)",22nd June 1979 (age 42),29th July 1993 (28 years ago),James Mason,,,
976,Jack Miller,165 lbs. (75 kg) at 5'8'' (1.73 m),"Fountain Valley, California (United States of America)",2nd April 1982 (age 39),??th September 2000,Jack Evans,,,
245,Mitsunobu Kikuzawa,198 lbs. (90 kg) at 5'7'' (1.70 m),"Osaka, Osaka (Japan)",17th November 1976 (age 45),14th May 1994 (27 years ago),Kikutaro,,,
28641,Chelsea Anne Green,125 lbs. (57 kg) at 5'7'' (1.70 m),"Victoria, British Columbia (Canada)",4th April 1991 (age 30),31st May 2014 (7 years ago),Chelsea Green ,,,
549,Kazuyuki Fujita,250 lbs. (113 kg) at 6'0'' (1.83 m),"Funabashi, Chiba (Japan)",16th October 1970 (age 51),1st November 1996 (25 years ago),Kazuyuki Fujita,,,
1414,John Elliot,245 lbs. (111 kg) at 6'4'' (1.93 m),"Las Vegas, Nevada (United States of America)",26th November 1982 (age 39),16th April 2000 (21 years ago),Dylan Klein,,,
2869,Wolfgang Niedecken,216 lbs. (98 kg) at 6'0'' (1.83 m),"Weinheim, Baden-Württemberg (Germany)",20th August 1987 (age 34),15th November 2003 (18 years ago),BAM,,,
15142,Shane Kalani del Rosario,245 lbs. (111 kg) at 6'4'' (1.93 m),"Irvine, California (United States of America)",23rd September 1983,4th August 2006 (15 years ago),Shane del Rosario,8th December 2013,,
17850,Michael Julian Johnson,155 lbs. (70 kg) at 5'11'' (1.80 m),"St. Louis, Missouri (United States of America)",4th June 1986 (age 35),1st February 2008 (14 years ago),Michael Johnson,,,
21,William Scott Goldberg,283 lbs. (128 kg) at 6'4'' (1.93 m),"Tulsa, Oklahoma (United States of America)",27th December 1966 (age 55),23rd June 1997 (24 years ago),Goldberg,,,
2080,Ernest Ladd,320 lbs. (145 kg) at 6'9'' (2.06 m),"Rayville, Louisiana (United States of America)",28th November 1938,4th January 1963 (59 years ago),Ernie Ladd,10th March 2007,,
19503,Ryan Phillip Nemeth,203 lbs. (92 kg) at 6'0'' (1.83 m),"Cleveland, Ohio (United States of America)",4th November 1984 (age 37),2010,Ryan Nemeth,,,
24432,David Michael Harwood,224 lbs. (102 kg) at 5'10'' (1.78 m),"Whiteville, North Carolina (United States of America)",30th June 1984 (age 37),??th August 2004,Dax Harwood,,,
1532,Jessica Cricks,250 lbs. (113 kg) at 6'0'' (1.83 m),"Canton, Ohio (United States of America)",20th June 1986 (age 35),2004,Havok ,,,
1793,Douglas Baker,342 lbs. (155 kg) at 6'4'' (1.93 m),"Kansas City, Missouri (United States of America)",19th April 1934,1962,Ox Baker,20th October 2014,,
670,Sakura Hirota,138 lbs. (63 kg) at 5'3'' (1.60 m),"Owariasashi, Aichi (Japan)",12th April 1978 (age 43),12th August 1996 (25 years ago),Sakura Hirota ,,,
3759,James Gallagher,176 lbs. (80 kg) at 5'8'' (1.73 m),"Glasgow, Glasgow, Scotland (United Kingdom)",,,James Scott,,,
3766,Darin Corbin,200 lbs. (91 kg) at 5'10'' (1.78 m),"St. Cloud, Minnesota (United States of America)",14th May 1984 (age 37),11th April 2004 (17 years ago),Darin Corbin,,,
3801,Eamon O'Neill,230 lbs. (104 kg) at 6'1'' (1.85 m),"Cork, Cork (Ireland)",,23rd November 2002 (19 years ago),Eamon O'Neill,,,
3975,Erick W. Holmback,275 lbs. (125 kg) at 6'1'' (1.85 m),"Monroe, Washington (United States of America)",24th April 1916,1941,Yukon Eric,16th January 1965,,
3998,Zoltan Friedman,190 lbs. (86 kg) at 5'8'' (1.73 m),Hungary,10th March 1914,,Ace Freeman,9th July 2001,,
7284,Sean Keith Sherk,155 lbs. (70 kg) at 5'6'' (1.68 m),"St. Francis, Minnesota (United States of America)",5th August 1973 (age 48),13th August 1999 (22 years ago),Sean Sherk,,,
9242,Christopher Flaig,168 lbs. (76 kg) at 5'10'' (1.78 m),"Bad Harzburg, Niedersachsen (Germany)",2nd March 1987 (age 35),,Chris Flaig,,,
13825,Salman Hashimikov,264 lbs. (120 kg) at 5'10'' (1.78 m),Kazakhstan,5th April 1953 (age 68),22nd February 1989 (33 years ago),Salman Hashimikov,,,
3345,Austin Watson,205 lbs. (93 kg) at 5'9'' (1.75 m),"Marietta, Georgia (United States of America)",4th September 1986 (age 35),??th June 2005,King Woods,,,
34,Booker T Huffman,253 lbs. (115 kg) at 6'3'' (1.91 m),"Houston, Texas (United States of America)",1st March 1965 (age 57),1989,Booker T,,,
31,Christopher Ford,230 lbs. (104 kg) at 6'1'' (1.85 m),"Rutherford, New Jersey (United States of America)",4th March 1974 (age 48),??th January 1992,Devon Storm,,,
536,Manabu Nakanishi,265 lbs. (120 kg) at 6'1'' (1.85 m),"Kyoto, Kyoto (Japan)",22nd January 1967 (age 55),13th October 1992 (29 years ago),Manabu Nakanishi,,,
202,Matthew Prince,245 lbs. (111 kg) at 6'4'' (1.93 m),"Dallas, Texas (United States of America)",13th July 1973 (age 48),1998,Wifebeater,,,
3756,Karsten Kretschmer,257 lbs. (117 kg) at 6'0'' (1.83 m),"Hamburg, Hamburg (Germany)",24th February 1975 (age 47),4th April 1993 (28 years ago),Karsten Kretschmer,,,
199,Joe Eubanks,235 lbs. (107 kg) at 5'10'' (1.78 m),New Jersey (United States of America),1975,1999,Lobo,,,
30933,Kenneth Crawford,232 lbs. (105 kg) at 6'1'' (1.85 m),"Chicago, Illinois (United States of America)",31st May 1990 (age 31),26th September 2015 (6 years ago),Montez Ford,,,
467,April Hunter,150 lbs. (68 kg) at 5'9'' (1.75 m),"Philadelphia, Pennsylvania (United States of America)",24th September 1971 (age 50),2000,April Hunter ,,,
1777,Francisco Javier Costilla Macedo,183 lbs. (83 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",3rd December 1974 (age 47),17th May 1993 (28 years ago),Ramstein,,,
832,Akio Sato,240 lbs. (109 kg) at 5'10'' (1.78 m),"Teshikaga, Hokkaido (Japan)",13th December 1953 (age 68),1970,Akio Sato,,,
10797,Mattias Clement,195 lbs. (88 kg) at 6'1'' (1.85 m),"Vancouver, British Columbia (Canada)",19th January 1988 (age 34),25th April 2007 (14 years ago),Tyler Breeze,,,
88,Bryan Clarke,292 lbs. (132 kg) at 6'6'' (1.98 m),"Harrisburg, Pennsylvania (United States of America)",14th March 1964 (age 57),10th February 1989 (33 years ago),Bryan Emmett Clark,,,
10,Christopher Klucsaritis,270 lbs. (122 kg) at 6'4'' (1.93 m),"New York City, New York (United States of America)",4th January 1970,5th April 1992 (29 years ago),Chris Kanyon,2nd April 2010,,
21879,Nathan Everhart,236 lbs. (107 kg) at 6'3'' (1.91 m),"Chicago, Illinois (United States of America)",28th September 1988 (age 33),29th September 2011 (10 years ago),Jason Jordan,,,
5854,Rambo Michel Braun,220 lbs. (100 kg) at 5'7'' (1.70 m),Santo Domingo (Dominican Republic),4th January 1986 (age 36),13th October 2007 (14 years ago),Rambo,,,
9489,Antonio Silva,265 lbs. (120 kg) at 6'4'' (1.93 m),"Brasília, Distrito Federal (Brazil)",14th September 1979 (age 42),6th March 2005 (17 years ago),Antonio Silva,,,
884,Hiroyuki Kanda,185 lbs. (84 kg) at 5'9'' (1.75 m),"Chiba, Chiba (Japan)",29th August 1978 (age 43),29th August 1998 (23 years ago),Yasushi Kanda,,,
923,Andrew Warner,235 lbs. (107 kg) at 5'9'' (1.75 m),"Charlotte, North Carolina (United States of America)",1st June 1971 (age 50),24th September 1994 (27 years ago),Scoot Andrews,,,
1631,Robert Fort Hanson,300 lbs. (136 kg) at 6'5'' (1.96 m),"East Orange, New Jersey (United States of America)",27th March 1933,1957,Swede Hanson,19th February 2002,,
1951,Erin Marshall,128 lbs. (58 kg) at 4'11'' (1.50 m),"Southampton, Hampshire, England (United Kingdom)",16th March 1987 (age 34),2003,Erin Angel ,,,
2891,unknown,117 lbs. (53 kg) at 5'3'' (1.60 m),"Nezahualcóyotl, Estado de México (Mexico)",20th September 1984 (age 37),??th April 2004,India Sioux ,,,
3157,Tomoko Okutsu,132 lbs. (60 kg) at 5'1'' (1.55 m),"Hiroshima, Hiroshima (Japan)",16th January 1975 (age 47),4th August 1992 (29 years ago),Candy Okutsu ,,,
5058,unknown,,Mexico,31st December ???,,Judás el Traidor,,,
5601,Oliver Burness,159 lbs. (72 kg) at 5'11'' (1.80 m),"Hayling Island, Hampshire, England (United Kingdom)",20th November ???,20th December 2003 (18 years ago),Priscilla,,,
7209,unknown,205 lbs. (93 kg) at 5'9'' (1.75 m),"Leicester, Leicestershire, England (United Kingdom)",,,The Babyfaced Pitbull,,,
9256,Michael Wayne Pyle,170 lbs. (77 kg) at 6'1'' (1.85 m),"Dresden, Tennessee (United States of America)",18th September 1975 (age 46),13th November 1999 (22 years ago),Mike Pyle,,,
19812,Constantinos Philippou,185 lbs. (84 kg) at 5'11'' (1.80 m),"Limassol, Limassol (Cyprus)",,9th May 2008 (13 years ago),Constantinos Philippou,,,
21566,Johnathan Thomas Dodson III.,125 lbs. (57 kg) at 5'3'' (1.60 m),"Albuquerque, New Mexico (United States of America)",26th September 1984 (age 37),3rd September 2004 (17 years ago),John Dodson,,,
226,Virgil Riley Runnels Jr.,289 lbs. (131 kg) at 6'1'' (1.85 m),"Austin, Texas (United States of America)",12th October 1945,1968,Dusty Rhodes,11th June 2015,,
3813,unknown,175 lbs. (79 kg) at 5'10'' (1.78 m),"Gómez Palacio, Durango (Mexico)",3rd November 1982 (age 39),2001,Dragón Rojo Jr.,,,
755,Sarah Stock,123 lbs. (56 kg) at 5'4'' (1.63 m),"Winnipeg, Manitoba (Canada)",4th March 1979 (age 43),19th February 2002 (20 years ago),Sarah Stock ,,,
433,James Henry Neidhart,281 lbs. (127 kg) at 6'2'' (1.88 m),"Tampa, Florida (United States of America)",8th February 1955,27th October 1978 (43 years ago),Jim Neidhart,13th August 2018,,
593,Rebecca E. Treston,125 lbs. (57 kg) at 5'2'' (1.57 m),"New York City, New York (United States of America)",3rd February 1982 (age 40),2001,Cookie ,,,
9580,Brandon Bogle,170 lbs. (77 kg) at 6'2'' (1.88 m),"Huntington Beach, California (United States of America)",,,Brandon Cutler,,,
17646,unknown,148 lbs. (67 kg) at 5'6'' (1.68 m),"Ciudad de México, Ciudad de México (Mexico)",2nd March 1993 (age 29),??th December 2009,Lady Shani ,,,
45,Allen Ray Sarven,234 lbs. (106 kg) at 6'0'' (1.83 m),"Lima, Ohio (United States of America)",18th July 1963 (age 58),22nd May 1982 (39 years ago),Al Snow,,,
180,Francine Fournier,126 lbs. (57 kg) at 5'7'' (1.70 m),"Philadelphia, Pennsylvania (United States of America)",19th February 1972 (age 50),1995,Francine,,,
1416,Jack Barton Adkisson,260 lbs. (118 kg) at 6'4'' (1.93 m),"Dallas, Texas (United States of America)",16th August 1929,1952,Fritz Von Erich,10th September 1997,,
7915,Mac Yeboah,160 lbs. (73 kg) at 5'11'' (1.80 m),"Ludwigshafen am Rhein, Rheinland-Pfalz (Germany)",4th May 1987 (age 34),1st March 2008 (14 years ago),Da Mack,,,
1921,unknown,185 lbs. (84 kg) at 5'10'' (1.78 m),"Bristol, Bristol, England (United Kingdom)",21st February 1967 (age 55),23rd September 1983 (38 years ago),Dan Collins,,,
7997,unknown,189 lbs. (86 kg) at 5'9'' (1.75 m),"Crediton, Devon, England (United Kingdom)",12th October 1984 (age 37),2005,Chris Andrews,,,
7380,Kevin Robert Kiley Jr.,236 lbs. (107 kg) at 6'3'' (1.91 m),"Fairfax, Virginia (United States of America)",28th April 1981 (age 40),30th October 2007 (14 years ago),Alex Riley,,,
9177,unknown,198 lbs. (90 kg) at 5'10'' (1.78 m),"Monterrey, Nuevo León (Mexico)",27th August ???,2003,Delta,,,
3804,Johnnie Mae Young,181 lbs. (82 kg) at 5'3'' (1.60 m),"Sand Springs, Oklahoma (United States of America)",12th March 1923,1939,Mae Young ,14th January 2014,,
169,James Carson Yun,200 lbs. (91 kg) at 5'9'' (1.75 m),"Los Angeles, California (United States of America)",13th May 1981 (age 40),??th April 1999,Jimmy Yang,,,
2435,Felipe de Jesús Alvarado Mendoza,187 lbs. (85 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",8th January 1982 (age 40),2nd April 2000 (21 years ago),La Máscara,,,
2873,Peter Wiechers,,"Mülheim an der Ruhr, Nordrhein-Westfalen (Germany)",3rd October 1972 (age 49),,HATE,,,
5461,Everett Lawrence Titus,195 lbs. (88 kg) at 6'2'' (1.88 m),"Forked River, New Jersey (United States of America)",15th September 1987 (age 34),??th January 2006,Rhett Titus,,,
4267,Rafael Ramírez Solorza,243 lbs. (110 kg) at 6'3'' (1.91 m),"Tepeji del Río de Ocampo, Hidalgo (Mexico)",1976,1996,Monster Clown,,,
20473,Ashley Clement,120 lbs. (54 kg) at 5'5'' (1.65 m),"Houston, Texas (United States of America)",17th September 1988 (age 33),9th June 2011 (10 years ago),Audrey Marie ,,,
7577,Shane Bannister Carwin,255 lbs. (116 kg) at 6'2'' (1.88 m),"Greeley, Colorado (United States of America)",4th January 1975 (age 47),14th October 2005 (16 years ago),Shane Carwin,,,
25775,Tom Hannifan,,"Philadelphia, Pennsylvania (United States of America)",19th May 1989 (age 32),,Tom Hannifan,,6'0'' (1.83 m),
503,unknown,226 lbs. (103 kg) at 5'10'' (1.78 m),"Wilkes-Barre, Pennsylvania (United States of America)",,10th December 2003 (18 years ago),STIGMA,,,
3831,Martin Heiligenbrunner,220 lbs. (100 kg) at 6'3'' (1.91 m),Oberösterreich (Austria),18th November 1979 (age 42),,Damon Brix,,,
25882,Daniel Pruehs,,,,,Daniel Pruce,,,
655,Marybeth Grant,135 lbs. (61 kg) at 5'4'' (1.63 m),"Denville, New Jersey (United States of America)",30th May 1968 (age 53),??th August 1995,Lexie Fyfe ,,,
3120,unknown,187 lbs. (85 kg) at 5'9'' (1.75 m),"Fresnillo, Zacatecas (Mexico)",12th February 1975 (age 47),1990,Magnum,,,
5119,unknown,191 lbs. (87 kg) at 5'10'' (1.78 m),"Toronto, Ontario (Canada)",20th August 1983 (age 38),2002,Ashley Sixx,,,
7786,Joseph Christopher Stevenson,145 lbs. (66 kg) at 5'7'' (1.70 m),"Torrance, California (United States of America)",15th June 1982 (age 39),15th May 1999 (22 years ago),Joe Stevenson,,,
9746,Brad Greene,232 lbs. (105 kg) at 6'3'' (1.91 m),"Boone, North Carolina (United States of America)",11th June 1983 (age 38),??th September 2002,Brad Attitude,,,
10423,Ronaldo Souza dos Santos,185 lbs. (84 kg) at 5'11'' (1.80 m),"Vila Velha, Espírito Santo (Brazil)",7th December 1979 (age 42),13th September 2003 (18 years ago),Ronaldo Souza,,,
10798,Elizabeth Vocke,130 lbs. (59 kg) at 5'4'' (1.63 m),"New Carlisle, Ohio (United States of America)",23rd January 1986 (age 36),??th February 2005,Nevaeh ,,,
18855,Jan Kronenberg,179 lbs. (81 kg) at 5'10'' (1.78 m),"Solingen, Nordrhein-Westfalen (Germany)",14th September 1991 (age 30),3rd October 2010 (11 years ago),Jay Skillet,,,
949,Osamu Kido,231 lbs. (105 kg) at 5'11'' (1.80 m),"Kawasaki, Kanagawa (Japan)",2nd February 1950 (age 72),21st February 1969 (53 years ago),Osamu Kido,,,
1111,unknown,225 lbs. (102 kg) at 6'2'' (1.88 m),,18th May 1983 (age 38),21st August 2004 (17 years ago),Matt Riviera,,,
1262,Robert Grays Jr.,261 lbs. (118 kg) at 5'11'' (1.80 m),"San José, California (United States of America)",31st December ???,25th January 1993 (29 years ago),Robert Thompson,,,
1357,Raimu Mishima,165 lbs. (75 kg) at 5'10'' (1.78 m),"Sapporo, Hokkaido (Japan)",19th March 1981 (age 40),2nd September 2000 (21 years ago),Daniel Mishima,,,
1486,Ken'ichiro Arai,187 lbs. (85 kg) at 5'7'' (1.70 m),"Tokyo, Tokyo (Japan)",7th July 1972 (age 49),13th May 1998 (23 years ago),Ken'ichiro Arai,,,
1761,Makoto Oishi,165 lbs. (75 kg) at 5'7'' (1.70 m),"Fuji, Shizuoka (Japan)",17th February 1979 (age 43),4th January 2002 (20 years ago),Makoto Oishi,,,
2232,Don Beitelman,190 lbs. (86 kg) at 6'1'' (1.85 m),"Buffalo, New York (United States of America)",22nd May 1927,1950,Don Curtis,6th March 2008,,
2424,unknown,183 lbs. (83 kg) at 5'7'' (1.70 m),United States of America,,,Phoenix Star,,,
2680,Diane Syms,125 lbs. (57 kg) at 5'6'' (1.68 m),"Glens Falls, New York (United States of America)",8th February 1962 (age 60),1985,Misty Blue Simmes ,,,
3135,Shoichi Maruyama,243 lbs. (110 kg) at 6'1'' (1.85 m),"Ashikaga, Tochigi (Japan)",1st November 1971 (age 50),28th October 1992 (29 years ago),KAMIKAZE,,,
3163,Mariko Umeda,121 lbs. (55 kg) at 5'2'' (1.57 m),"Tokyo, Tokyo (Japan)",1st November 1967,17th August 1986 (35 years ago),Plum Mariko ,16th August 1997,,
3863,Veronika Glesc,145 lbs. (66 kg) at 5'5'' (1.65 m),"Vancouver, British Columbia (Canada)",14th January 1984 (age 38),??th February 2006,Veronika Vice ,,,
4391,unknown,,United States of America,,,Naphtali,,,
4505,Comanorris Lane,206 lbs. (93 kg) at 5'10'' (1.78 m),"Little Rock, Arkansas (United States of America)",10th August 1976 (age 45),,Lightfoot,,,
5698,Mathieu Degongre,197 lbs. (89 kg) at 5'9'' (1.75 m),"Montréal, Quebec (Canada)",,2001,eXess,,,
5885,unknown,173 lbs. (78 kg) at 5'8'' (1.73 m),"Mississauga, Ontario (Canada)",,4th March 2004 (18 years ago),Cody 45,,,
6611,Juan Andrade Salas,176 lbs. (80 kg) at 5'7'' (1.70 m),Mexico,18th November 1976 (age 45),26th March 1993 (28 years ago),El Polifacético,,,
6780,unknown,123 lbs. (56 kg) at 5'2'' (1.57 m),"Philadelphia, Pennsylvania (United States of America)",1st October 1983 (age 38),2001,Gabby Gilbert ,,,
7204,unknown,,"Liverpool, Merseyside, England (United Kingdom)",,,Jack Lightning,,,
7290,Edward M. Wright Jr.,,"Omaha, Nebraska (United States of America)",13th January 1932,,Bearcat Wright,28th August 1982,,
7651,Patti Williams,,"North Bay, Ontario (Canada)",1st January 1955 (age 67),1983,Precious ,,,
7659,Antoni Barend Hardonk,245 lbs. (111 kg) at 6'4'' (1.93 m),"Weesp, Noord-Holland (Netherlands)",5th February 1976 (age 46),28th January 2001 (21 years ago),Antoni Hardonk,,,
8154,Steve Lynskey,,"Scunthorpe, Lincolnshire, England (United Kingdom)",4th June 1974 (age 47),1990,Steve Lynskey,,5'9'' (1.75 m),
9257,Justin Robert Levens,205 lbs. (93 kg) at 5'10'' (1.78 m),"Philadelphia, Pennsylvania (United States of America)",18th April 1980,30th May 2004 (17 years ago),Justin Levens,17th December 2008,,
9426,Joachim Hansen,145 lbs. (66 kg) at 5'9'' (1.75 m),"Oslo, Oslo (Norway)",26th May 1979 (age 42),6th November 1999 (22 years ago),Joachim Hansen,,,
10107,Valentijn Overeem,235 lbs. (107 kg) at 6'3'' (1.91 m),"Amersfoort, Utrecht (Netherlands)",17th August 1976 (age 45),18th February 1996 (26 years ago),Valentijn Overeem,,,
10308,unknown,189 lbs. (86 kg) at 6'3'' (1.91 m),Ontario (Canada),,6th June 2006 (15 years ago),Brent B,,,
10603,Kyle Loren Kingsbury,205 lbs. (93 kg) at 6'4'' (1.93 m),"San José, California (United States of America)",20th March 1982 (age 39),10th June 2006 (15 years ago),Kyle Kingsbury,,,
11125,unknown,148 lbs. (67 kg) at 5'6'' (1.68 m),"Toronto, Ontario (Canada)",9th April ???,30th September 2006 (15 years ago),Kelly Couture ,,,
11953,Jason High,170 lbs. (77 kg) at 5'8'' (1.73 m),"Kansas City, Missouri (United States of America)",12th October 1981 (age 40),24th September 2005 (16 years ago),Jason High,,,
12261,Cody Croslin,187 lbs. (85 kg) at 6'3'' (1.91 m),,19th May ???,2001,Bateman,,,
13263,DaMarques Johnson,170 lbs. (77 kg) at 6'1'' (1.85 m),"Salt Lake City, Utah (United States of America)",28th June 1982 (age 39),29th April 2005 (16 years ago),DaMarques Johnson,,,
13876,Ronald Wright,,"Kingsport, Tennessee (United States of America)",26th October 1936,1958,Ron Wright,21st April 2015,,
14102,Kotoka Shiiba,145 lbs. (66 kg) at 5'5'' (1.65 m),"Aso, Kumamoto (Japan)",8th January 1990 (age 32),6th April 2009 (12 years ago),Kotoka,,,
14988,Boris Scheurell,229 lbs. (104 kg) at 6'3'' (1.91 m),"Berlin, Berlin (Germany)",26th January 1987 (age 35),3rd October 2009 (12 years ago),Jack McLeon,,,
16103,Stacey Cornette,145 lbs. (66 kg) at 5'4'' (1.63 m),"San Francisco, California (United States of America)",1977,1998,Synn ,,,
16364,Daniel Roberts,170 lbs. (77 kg) at 5'10'' (1.78 m),"Rockford, Illinois (United States of America)",5th August 1980 (age 41),8th September 2007 (14 years ago),Daniel Roberts,,,
18376,unknown,180 lbs. (82 kg) at 5'11'' (1.80 m),"Cleveland, Ohio (United States of America)",10th July 1985 (age 36),7th December 2006 (15 years ago),Davey Vega,,,
18694,John Makdessi,155 lbs. (70 kg) at 5'8'' (1.73 m),"Halifax, Nova Scotia (Canada)",3rd May 1985 (age 36),13th September 2008 (13 years ago),John Makdessi,,,
19796,unknown,225 lbs. (102 kg) at 6'1'' (1.85 m),"Tacoma, Washington (United States of America)",26th January 1986 (age 36),??th July 2005,Aaron Bolo,,,
19935,Edwin Richard Figueroa,135 lbs. (61 kg) at 5'7'' (1.70 m),"McKinney, Texas (United States of America)",31st July 1984 (age 37),11th May 2007 (14 years ago),Edwin Figueroa,,,
21544,unknown,201 lbs. (91 kg) at 6'1'' (1.85 m),,,,Missile Assault Man,,,
21671,Michael Raymond Easton,135 lbs. (61 kg) at 5'6'' (1.68 m),"Washington, District of Columbia (United States of America)",25th January 1984 (age 38),8th February 2003 (19 years ago),Mike Easton,,,
22495,unknown,170 lbs. (77 kg) at 5'7'' (1.70 m),"Kumamoto, Kumamoto (Japan)",5th January 1988 (age 34),2008,Seiki Yoshioka,,,
23936,Samuel Travis Sicilia,145 lbs. (66 kg) at 5'8'' (1.73 m),"Spokane, Washington (United States of America)",1st February 1986 (age 36),15th September 2007 (14 years ago),Sam Sicilia,,,
24355,Jonathan Cruz,174 lbs. (79 kg) at 5'6'' (1.68 m),Bayamón (Puerto Rico),23rd February 1984 (age 38),2004,Serpentico,,,
24707,Rupert Häuslaigner,150 lbs. (68 kg) at 5'6'' (1.68 m),Bayern (Germany),7th March 1989 (age 33),2010,Blaze,,,
26437,Fumiko Sato,110 lbs. (50 kg) at 6'0'' (1.83 m),"Ichinomiya, Aichi (Japan)",14th April 1987 (age 34),31st December 2012 (9 years ago),235 ,,,
26856,Asgeir Halvorsen Raumli,181 lbs. (82 kg) at 6'2'' (1.88 m),"Oslo, Oslo (Norway)",4th April 1995 (age 26),21st July 2012 (9 years ago),Espen Olsen,,,
27042,Yuta Tanaka,154 lbs. (70 kg) at 5'3'' (1.60 m),"Nagoya, Aichi (Japan)",23rd September 1993 (age 28),14th April 2013 (8 years ago),U-T,,,
27118,unknown,209 lbs. (95 kg) at 5'7'' (1.70 m),Tokyo (Japan),14th October 1986 (age 35),26th April 2012 (9 years ago),Masaya Takahashi,,,
27784,Seiko Nakajima,150 lbs. (68 kg) at 4'10'' (1.47 m),Niigata (Japan),19th July 1991 (age 30),6th June 2013 (8 years ago),Shoko Nakajima ,,,
28570,Christian Tscherpel,216 lbs. (98 kg) at 5'9'' (1.75 m),"Nürnberg, Bayern (Germany)",6th April 1990 (age 31),,Hektor Invictus,,,
28802,unknown,235 lbs. (107 kg) at 6'3'' (1.91 m),"London, Greater London, England (United Kingdom)",,,Leon Shah,,,
28973,unknown,154 lbs. (70 kg) at 5'5'' (1.65 m),Kagoshima (Japan),12th March 1989 (age 32),11th April 2013 (8 years ago),Rina Yamashita ,,,
29535,unknown,227 lbs. (103 kg) at 6'1'' (1.85 m),"Mombetsu, Hokkaido (Japan)",24th October 1988 (age 33),18th October 2014 (7 years ago),Kazusada Higuchi,,,
30838,Catherine Ann Kelley,,"Oak Park, Illinois (United States of America)",27th September 1988 (age 33),2nd April 2016 (5 years ago),Cathy Kelley ,,,
30897,unknown,,"Pittsburgh, Pennsylvania (United States of America)",,5th December 2015 (6 years ago),Lee Moriarty,,,
31698,unknown,,Japan,,17th May 2015 (6 years ago),Fuminori Abe,,,
31965,Martin Jason Schacteer,246 lbs. (112 kg) at 5'9'' (1.75 m),"Atlantic City, New Jersey (United States of America)",12th February 1979 (age 43),25th March 2016 (5 years ago),SHLAK,,,
32132,unknown,198 lbs. (90 kg) at 5'11'' (1.80 m),Teheran (Iran),11th December 1995 (age 26),4th February 2017 (5 years ago),Arash,,,
32500,Chris Wareing,163 lbs. (74 kg) at 5'9'' (1.75 m),United Kingdom,1993,2012,Chris Ridgeway,,,
32920,unknown,183 lbs. (83 kg) at 6'0'' (1.83 m),"Aomori, Aomori (Japan)",29th November 1997 (age 24),4th July 2017 (4 years ago),Ren Narita,,,
35532,Mei Suruga,,Kyoto (Japan),30th May 1999 (age 22),27th May 2018 (3 years ago),Mei Suruga ,,4'10'' (1.47 m),
35843,unknown,,"Tokyo, Tokyo (Japan)",26th December 1987 (age 34),5th August 2018 (3 years ago),Mina Shirakawa ,,5'2'' (1.57 m),
18726,Anthony Gregory Mayweather,240 lbs. (109 kg) at 6'5'' (1.96 m),"Cleveland, Ohio (United States of America)",21st February 1985 (age 37),2007,Crimson,,,
3002,Jacob Hager,275 lbs. (125 kg) at 6'7'' (2.01 m),"Perry, Oklahoma (United States of America)",24th March 1982 (age 39),7th September 2006 (15 years ago),Jake Hager,,,
2153,Jesús Cristóbal Martínez Rodríguez,200 lbs. (91 kg) at 5'7'' (1.70 m),"Guadalajara, Jalisco (Mexico)",20th July 1975 (age 46),2nd October 1993 (28 years ago),El Zorro,,,
147,James Howard Gibson,170 lbs. (77 kg) at 5'7'' (1.70 m),"Hanover, West Virginia (United States of America)",23rd December 1976 (age 45),1995,Jamie Noble,,,
10677,Dominic Boers,210 lbs. (95 kg) at 6'1'' (1.85 m),Nordrhein-Westfalen (Germany),10th July 1983 (age 38),,Carnage,,,
1664,James Fanning,250 lbs. (113 kg) at 6'3'' (1.91 m),"Hammond, Indiana (United States of America)",6th August 1942 (age 79),1964,Jimmy Valiant,,,
31017,Adam Blampied,,Jersey,24th August 1987 (age 34),6th October 2016 (5 years ago),Adam Blampied,,,
343,Benjamin Cuntapay,200 lbs. (91 kg) at 5'10'' (1.78 m),"San Diego, California (United States of America)",29th December 1978 (age 43),??th August 1998,B-Boy,,,
19256,Thea Trinidad Budgen,105 lbs. (48 kg) at 4'11'' (1.50 m),"New York City, New York (United States of America)",27th December 1990 (age 31),29th September 2008 (13 years ago),Queen Zelina ,,,
104,Raymond Walter Traylor Jr.,315 lbs. (143 kg) at 6'6'' (1.98 m),"Marietta, Georgia (United States of America)",2nd May 1963,1985,Big Boss Man,22nd September 2004,,
