,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
8563,unknown,225 lbs. (102 kg) at 6'0'' (1.83 m),"Seattle, Washington (United States of America)",,2005,Caden Mathews,,,
9188,Damien J. Dothard,225 lbs. (102 kg) at 6'0'' (1.83 m),"Trenton, New Jersey (United States of America)",27th June 1975,2003,Damien Steele,22nd July 2009,,
9640,Rick Knox,,,,,Rick Knox,,,
9991,Mark Andrew Bocek,155 lbs. (70 kg) at 5'8'' (1.73 m),"Toronto, Ontario (Canada)",24th October 1981 (age 40),28th February 2004 (18 years ago),Mark Bocek,,,
10422,Melvin Manhoef,185 lbs. (84 kg) at 5'9'' (1.75 m),Paramaribo (Suriname),11th May 1976 (age 45),2nd December 1995 (26 years ago),Melvin Manhoef,,,
10612,Addy Palm,,"Guelph, Ontario (Canada)",8th July 1988 (age 33),2006,Addy Starr ,,5'0'' (1.52 m),
11556,unknown,120 lbs. (54 kg) at 5'5'' (1.65 m),"Edinburgh, Edinburgh, Scotland (United Kingdom)",9th May 1988 (age 33),2006,Carmel ,,,
15466,Herschel Junior Walker,220 lbs. (100 kg) at 6'1'' (1.85 m),"Wrightsville, Georgia (United States of America)",3rd March 1962 (age 60),30th January 2010 (12 years ago),Herschel Walker,,,
17257,Claude Patrick,170 lbs. (77 kg) at 5'11'' (1.80 m),"Toronto, Ontario (Canada)",14th June 1980 (age 41),30th March 2002 (19 years ago),Claude Patrick,,,
18119,Paul Sass,155 lbs. (70 kg) at 6'0'' (1.83 m),"Liverpool, Merseyside, England (United Kingdom)",4th August 1988 (age 33),5th August 2007 (14 years ago),Paul Sass,,,
18296,Anthony Henry,,,1984,,Anthony Henry,,5'10'' (1.78 m),
19508,unknown,223 lbs. (101 kg) at 5'11'' (1.80 m),"Heide, Schleswig-Holstein (Germany)",12th November 1991 (age 30),23rd October 2010 (11 years ago),Scotty Saxon,,,
19593,Tom Hüttinger,220 lbs. (100 kg) at 5'11'' (1.80 m),"Wieselburg, Niederösterreich (Austria)",26th August 1986 (age 35),18th September 2010 (11 years ago),Tom Hüttinger,,,
19895,Steven Evans,251 lbs. (114 kg) at 6'6'' (1.98 m),"Swansea, Swansea, Wales (United Kingdom)",4th May ???,,Gavin Reid,,,
19901,Dennis Klescz,240 lbs. (109 kg) at 6'3'' (1.91 m),"Herne, Nordrhein-Westfalen (Germany)",,30th August 2009 (12 years ago),Michael Isotov,,,
21573,Dennis Ross Bermudez,145 lbs. (66 kg) at 5'6'' (1.68 m),"Saugerties, New York (United States of America)",13th December 1986 (age 35),6th November 2009 (12 years ago),Dennis Bermudez,,,
22760,Stephen Randall Thompson,170 lbs. (77 kg) at 6'0'' (1.83 m),"Simpsonville, South Carolina (United States of America)",11th February 1983 (age 39),5th February 2010 (12 years ago),Stephen Thompson,,,
23941,Justin Ray Lawrence,145 lbs. (66 kg) at 5'8'' (1.73 m),"Corona, California (United States of America)",15th May 1990 (age 31),4th December 2010 (11 years ago),Justin Lawrence,,,
23944,Michael Keith Chiesa,155 lbs. (70 kg) at 6'1'' (1.85 m),"Aurora, Colorado (United States of America)",7th December 1987 (age 34),16th August 2008 (13 years ago),Michael Chiesa,,,
25829,Abel Trujillo,155 lbs. (70 kg) at 5'8'' (1.73 m),"Greensboro, North Carolina (United States of America)",18th September 1983 (age 38),28th August 2009 (12 years ago),Abel Trujillo,,,
30341,Zachary Green,175 lbs. (79 kg) at 5'10'' (1.78 m),"Lima, Ohio (United States of America)",29th April 1994 (age 27),17th December 2014 (7 years ago),Nash Carter,,,
31499,Ingrid Hoftun,139 lbs. (63 kg) at 5'9'' (1.75 m),Norway,3rd May 1997 (age 24),7th November 2015 (6 years ago),Kira ,,,
31718,unknown,,Canada,,,Brett Morgan,,,
32196,unknown,154 lbs. (70 kg) at 6'0'' (1.83 m),"Louisville, Kentucky (United States of America)",,24th March 2016 (5 years ago),Myron Reed,,,
32787,Max Caster,,,,,Max Caster,,,225 lbs. (102 kg)
33067,Eric Bugenhagen,,Wisconsin (United States of America),1987,19th October 2017 (4 years ago),Rick Boogs,,,
35379,Brittany Rae Steding,,,,,Lady Frost ,,,
36586,unknown,,"St. Paul, Minnesota (United States of America)",,2016,Dante Martin,,,187 lbs. (85 kg)
1046,Seiei Kimura,236 lbs. (107 kg) at 6'1'' (1.85 m),"Niihama, Ehime (Japan)",4th September 1953 (age 68),2nd August 1972 (49 years ago),Kengo Kimura,,,
1678,Fred Thomas Koury Sr.,,"Hartford, Connecticut (United States of America)",2nd May 1913,,Bull Curry,8th March 1985,,
1887,Frank Simmons Leavitt,317 lbs. (144 kg) at 5'11'' (1.80 m),"New York City, New York (United States of America)",30th June 1891,,Man Mountain Dean,29th May 1953,,
1920,Anthony Charles Scott,198 lbs. (90 kg) at 5'10'' (1.78 m),"Treorchy, Rhondda Cynon Taff, Wales (United Kingdom)",15th July 1935,1959,Tony Charles,13th February 2015,,
2017,Toshie Kumazaki,148 lbs. (67 kg) at 5'5'' (1.65 m),"Aizu-Wakamatsu, Fukushima (Japan)",29th November 1978 (age 43),15th April 1995 (26 years ago),Sugar Sato ,,,
2160,Alexander Tomko,,"Winnipeg, Manitoba (Canada)",22nd November 1931,1954,Al Tomko,5th August 2009,,242 lbs. (110 kg)
2291,Allen Ferreira,192 lbs. (87 kg) at 5'11'' (1.80 m),United States of America,17th May 1984 (age 37),,Jason Blade,,,
2710,Danny Brown,,United Kingdom,29th May 1984 (age 37),2002,Paul Gibson,,6'3'' (1.91 m),
2796,unknown,165 lbs. (75 kg) at 5'6'' (1.68 m),"Fukushima, Fukushima (Japan)",25th December 1980 (age 41),11th May 2005 (16 years ago),CHANGO,,,
3051,Jan Niedbala,,"Strasbourg, Grand Est (France)",27th November 1984 (age 37),,Yan Colby,,5'8'' (1.73 m),
3377,Brianne Sturgeon,134 lbs. (61 kg) at 5'7'' (1.70 m),"Calgary, Alberta (Canada)",30th November ???,22nd September 2001 (20 years ago),Madison ,,,
3457,James Sherwood,,,24th April 1973 (age 48),,Rex Roberts,,,
3466,unknown,173 lbs. (78 kg) at 5'8'' (1.73 m),"Sendai, Miyagi (Japan)",16th August 1974 (age 47),??th April 1999,Masamune,,,
3549,Curtis McKeller,236 lbs. (107 kg) at 6'0'' (1.83 m),Kingston (Jamaica),,??th May 1998,Reggie Marley,,,
3847,Gary Harrington,,,,,Gary Young,,,
4261,unknown,237 lbs. (108 kg) at 5'10'' (1.78 m),Hawaii (United States of America),30th August 1958 (age 63),,King Kaluha,,,
5378,Fernando Landa Bautista,,"Jalapa, Veracruz de Ignacio de la Llave (Mexico)",4th March 1977 (age 45),26th February 1997 (25 years ago),El Hijo del Tirantes,,,
5663,unknown,132 lbs. (60 kg) at 5'3'' (1.60 m),"Nezahualcóyotl, Estado de México (Mexico)",5th August 1984 (age 37),2008,Acero,,,
5750,unknown,210 lbs. (95 kg) at 6'1'' (1.85 m),"Dudley, West Midlands, England (United Kingdom)",10th May 1977 (age 44),21st August 1998 (23 years ago),Kevin O'Neil,,,
5830,unknown,174 lbs. (79 kg) at 5'11'' (1.80 m),"Sault Ste. Marie, Ontario (Canada)",,,Otis Idol,,,
6027,Lorigo Arturo Morelli,190 lbs. (86 kg) at 5'8'' (1.73 m),"New York City, New York (United States of America)",15th December 1909,,Tony Morelli,23rd August 1983,,
6840,unknown,,"Sunderland, Tyne and Wear, England (United Kingdom)",1st January 1987 (age 35),2002,Courtney Synn ,,6'0'' (1.83 m),
7274,Robert Ellis,240 lbs. (109 kg) at 6'2'' (1.88 m),Texas (United States of America),15th March 1929 (age 93),1955,Cowboy Bob Ellis,,,
7451,Jorel Arroyo,225 lbs. (102 kg) at 6'3'' (1.91 m),Vermont (United States of America),14th July 1980 (age 41),,EC Negro,,,
7492,Murilo Bustamante,185 lbs. (84 kg) at 6'2'' (1.88 m),"Río de Janeiro, Río de Janeiro (Brazil)",30th July 1966 (age 55),26th September 1991 (30 years ago),Murilo Bustamante,,,
7647,Thales Leites Lourenço,185 lbs. (84 kg) at 6'1'' (1.85 m),"Río de Janeiro, Río de Janeiro (Brazil)",6th September 1981 (age 40),23rd November 2003 (18 years ago),Thales Leites,,,
7658,Ryo Chonan,170 lbs. (77 kg) at 5'9'' (1.75 m),"Yamagata, Yamagata (Japan)",8th October 1976 (age 45),5th May 2001 (20 years ago),Ryo Chonan,,,
7775,Jesse Marcus Taylor,185 lbs. (84 kg) at 6'1'' (1.85 m),"Poway, California (United States of America)",2nd January 1983 (age 39),4th August 2006 (15 years ago),Jesse Taylor,,,
7792,Harold Toshi Sakata,230 lbs. (104 kg) at 5'10'' (1.78 m),"Holualoa, Hawaii (United States of America)",1st July 1920,1949,Harold Sakata,29th July 1982,,
8677,unknown,202 lbs. (92 kg) at 5'11'' (1.80 m),"Winnipeg, Manitoba (Canada)",22nd July 1983 (age 38),??th April 2000,Ryan Wood,,,
9368,unknown,,,14th January 1977 (age 45),,John Chapman,,,
9581,Dustin Bogle,229 lbs. (104 kg) at 6'4'' (1.93 m),"Victorville, California (United States of America)",,,Dustin Cutler,,,
9879,unknown,143 lbs. (65 kg) at 5'5'' (1.65 m),"Monterrey, Nuevo León (Mexico)",21st July 1994 (age 27),2nd March 2007 (15 years ago),Lady Puma ,,,
10369,unknown,230 lbs. (104 kg) at 6'6'' (1.98 m),Kansas (United States of America),18th February 1895,12th February 1924 (98 years ago),Wayne Munn,9th January 1931,,
10685,unknown,267 lbs. (121 kg) at 6'1'' (1.85 m),"Pittsburgh, Pennsylvania (United States of America)",,2001,Andrew Vain,,,
11360,Jean-Louis Cormier,,"Dorchester, New Brunswick (Canada)",24th June 1942,,Rudy Kay,25th May 2008,,
11450,unknown,225 lbs. (102 kg) at 5'10'' (1.78 m),"Chicago, Illinois (United States of America)",,1992,Steve Boz,,,
12214,Ian Richardson,,"Santa Barbara, California (United States of America)",,,Troy Jackman,,,265 lbs. (120 kg)
12829,unknown,,United States of America,,,Bobby Christy,,,
12974,Jason DeLucia,190 lbs. (86 kg) at 5'11'' (1.80 m),"Bellingham, Massachusetts (United States of America)",24th July 1969 (age 52),12th November 1993 (28 years ago),Jason DeLucia,,,
13335,Graciela Sosa Salazar,,"Oaxaca de Juárez, Oaxaca (Mexico)",18th May 1950,17th July 1967 (54 years ago),Chela Salazar ,6th June 2009,,
13381,Nicholas Pace,135 lbs. (61 kg) at 5'6'' (1.68 m),"New York City, New York (United States of America)",,21st November 2008 (13 years ago),Nick Pace,,,
13405,Lyle Beerbohm,155 lbs. (70 kg) at 5'10'' (1.78 m),"Spokane, Washington (United States of America)",5th February 1979 (age 43),30th August 2007 (14 years ago),Lyle Beerbohm,,,
13639,Deividas Taurosevicius,145 lbs. (66 kg) at 5'9'' (1.75 m),iauliai (Lithuania),28th August 1977 (age 44),9th November 2002 (19 years ago),Deividas Taurosevicius,,,
13664,Gus Johnson,,"Detroit, Michigan (United States of America)",10th August 1967 (age 54),,Gus Johnson,,,
13706,Dan Hornbuckle,170 lbs. (77 kg) at 6'2'' (1.88 m),"Mahomet, Illinois (United States of America)",26th December 1980 (age 41),18th February 2006 (16 years ago),Dan Hornbuckle,,,
14557,Chris Tuchscherer,255 lbs. (116 kg) at 6'1'' (1.85 m),"Rugby, North Dakota (United States of America)",8th September 1975 (age 46),12th June 2004 (17 years ago),Chris Tuchscherer,,,
14977,unknown,141 lbs. (64 kg) at 5'8'' (1.73 m),Germany,,3rd October 2009 (12 years ago),Kick Ass Jane,,,
16080,unknown,176 lbs. (80 kg) at 5'9'' (1.75 m),Aichi (Japan),30th September 1990 (age 31),5th July 2009 (12 years ago),Toru Sugiura,,,
16195,Ryuta Sakurai,185 lbs. (84 kg) at 5'10'' (1.78 m),"Mito, Ibaraki (Japan)",18th September 1971 (age 50),30th March 1996 (25 years ago),Ryuta Sakurai,,,
16642,Sean Ian Pierson,170 lbs. (77 kg) at 6'0'' (1.83 m),"Pickering, Ontario (Canada)",10th March 1976 (age 46),9th October 1999 (22 years ago),Sean Pierson,,,
16778,unknown,,"Antioch, California (United States of America)",1982,,Rik Luxury,,5'11'' (1.80 m),
17300,Ross Strong,225 lbs. (102 kg) at 6'0'' (1.83 m),"Easington, Durham, England (United Kingdom)",5th July 1985 (age 36),25th September 2009 (12 years ago),Ross Strong,,,
18521,Michael J. Butin,320 lbs. (145 kg) at 6'4'' (1.93 m),"Boston, Massachusetts (United States of America)",,,Mikey O'Shea,,,
18626,Caros Fodor,155 lbs. (70 kg) at 5'9'' (1.75 m),"Redmond, Washington (United States of America)",7th January 1984 (age 38),10th September 2005 (16 years ago),Caros Fodor,,,
18796,Charlotte Hardiman,145 lbs. (66 kg) at 5'9'' (1.75 m),United Kingdom,,,Charliee Quinn ,,,
18798,unknown,225 lbs. (102 kg) at 5'9'' (1.75 m),"San Francisco, California (United States of America)",9th April 1992 (age 29),21st June 2008 (13 years ago),Dan Evans,,,
19150,unknown,99 lbs. (45 kg) at 4'8'' (1.42 m),"Utsunomiya, Tochigi (Japan)",25th April 1991 (age 30),7th October 2008 (13 years ago),Chii Tomiya ,,,
19305,Hanako Kobayashi,136 lbs. (62 kg) at 5'2'' (1.57 m),"Kawasaki, Kanagawa (Japan)",1st December 1988 (age 33),16th July 2006 (15 years ago),Hanako Nakamori ,,,
20847,Lorenz Larkin,185 lbs. (84 kg) at 6'0'' (1.83 m),"Riverside, California (United States of America)",3rd September 1986 (age 35),15th August 2009 (12 years ago),Lorenz Larkin,,,
21340,unknown,173 lbs. (78 kg) at 6'0'' (1.83 m),"Granite City, Illinois (United States of America)",1st March 1989 (age 33),11th September 2009 (12 years ago),Mat Fitchett,,,
21510,Robert Peralta,145 lbs. (66 kg) at 5'7'' (1.70 m),Honduras,1st January 1986 (age 36),3rd March 2007 (15 years ago),Robert Peralta,,,
21571,John Brian Albert,135 lbs. (61 kg) at 5'8'' (1.73 m),"Reno, Nevada (United States of America)",13th October 1986 (age 35),30th March 2007 (14 years ago),John Albert,,,
21662,Walel Watson,135 lbs. (61 kg) at 5'11'' (1.80 m),"El Paso, Texas (United States of America)",16th July 1984 (age 37),16th August 2008 (13 years ago),Walel Watson,,,
23401,unknown,190 lbs. (86 kg) at 5'10'' (1.78 m),"Zürich, Zürich (Switzerland)",,,Dennis Dullnig,,,
23778,unknown,230 lbs. (104 kg) at 6'0'' (1.83 m),"Salisbury, Wiltshire, England (United Kingdom)",,1999,Lee Walker,,,
24016,unknown,209 lbs. (95 kg) at 6'0'' (1.83 m),"Panama City, Florida (United States of America)",,26th November 2011 (10 years ago),Jorel Nelson,,,
24876,unknown,229 lbs. (104 kg) at 5'10'' (1.78 m),"Atlanta, Georgia (United States of America)",27th June ???,1999,Randy Royal,,,
26143,Marc Goddard,,"Birmingham, West Midlands, England (United Kingdom)",16th August ???,16th November 2002 (19 years ago),Marc Goddard,,,205 lbs. (93 kg)
26432,Noriko Matsumoto,185 lbs. (84 kg) at 5'4'' (1.63 m),"Kama, Fukuoka (Japan)",25th October 1991 (age 30),19th August 2012 (9 years ago),Raideen Hagane ,,,
26506,Raquel Pennington,135 lbs. (61 kg) at 5'7'' (1.70 m),"Colorado Springs, Colorado (United States of America)",5th September 1988 (age 33),3rd March 2012 (10 years ago),Raquel Pennington ,,,
27323,Stuart Perry,,"Louisville, Kentucky (United States of America)",4th March 1989 (age 33),2013,Stuart Miles,,,
30242,Radomir Petkovic,290 lbs. (132 kg) at 6'9'' (2.06 m),"Belgrad, Belgrad (Serbia)",26th November 1986 (age 35),23rd July 2015 (6 years ago),King Constantine,,,
30361,Monique Jacqueline Williams-Jenkins,,"New York City, New York (United States of America)",24th July 1991 (age 30),,Monique Jenkins ,,,
30624,unknown,,,,,Shaheem Ali,,,
30714,unknown,200 lbs. (91 kg) at 6'1'' (1.85 m),Missouri (United States of America),11th January 1993 (age 29),,Danny Adams,,,
31058,unknown,209 lbs. (95 kg) at 5'11'' (1.80 m),Maryland (United States of America),4th August ???,??th May 2007,Drake Carter,,,
31749,unknown,258 lbs. (117 kg) at 5'11'' (1.80 m),"Osaka, Osaka (Japan)",21st April 1995 (age 26),4th December 2016 (5 years ago),Naomi Yoshimura,,,
31918,Stephen John Tkowski,205 lbs. (93 kg) at 6'3'' (1.91 m),"Worcester, Massachusetts (United States of America)",3rd October 1989 (age 32),28th September 2014 (7 years ago),TK O'Ryan,,,
32215,Vic Travagliante,,"Cleveland, Ohio (United States of America)",,,Vic Joseph,,,
32611,Brenden McAleavey,,Texas (United States of America),,13th December 2014 (7 years ago),Ninja Mack,,,
34603,unknown,187 lbs. (85 kg) at 6'0'' (1.83 m),Spain,1995,25th October 2014 (7 years ago),Carlos Romo,,,
34617,Simon James,,"Ely, Cambridgeshire, England (United Kingdom)",7th September ???,8th August 2016 (5 years ago),Spike Trivet,,,
457,John Anthony Tenta,460 lbs. (209 kg) at 6'4'' (1.93 m),"Surrey, British Columbia (Canada)",22nd June 1963,1987,John Tenta,7th June 2006,,
2441,unknown,236 lbs. (107 kg) at 6'2'' (1.88 m),"Ciudad de México, Ciudad de México (Mexico)",16th December 1985 (age 36),20th April 2000 (21 years ago),Psycho Clown,,,
4734,Axel Tischer,245 lbs. (111 kg) at 6'1'' (1.85 m),"Dresden, Sachsen (Germany)",5th November 1986 (age 35),2001,Axel Tischer,,,
21712,Kira Renee Forster,145 lbs. (66 kg) at 5'8'' (1.73 m),"Victoria, British Columbia (Canada)",22nd October 1983 (age 38),2010,Taya Valkyrie ,,,
265,Jonathan Figueroa,140 lbs. (64 kg) at 5'6'' (1.68 m),Cayey (Puerto Rico),26th April 1982 (age 39),1998,The Amazing Red,,,
2313,Michael Paris,170 lbs. (77 kg) at 5'8'' (1.73 m),"Los Angeles, California (United States of America)",5th October 1986 (age 35),21st August 2004 (17 years ago),Joaquin Wilde,,,
1237,Christopher Adams,228 lbs. (103 kg) at 6'1'' (1.85 m),"Rugby, Warwickshire, England (United Kingdom)",10th February 1955,1978,Chris Adams,7th October 2001,,
30205,Daria Rae Berenato,130 lbs. (59 kg) at 5'7'' (1.70 m),"Los Angeles, California (United States of America)",24th September 1993 (age 28),3rd December 2015 (6 years ago),Sonya Deville ,,,
354,Jonathan Whitcombe,172 lbs. (78 kg) at 5'7'' (1.70 m),"Harlow, Essex, England (United Kingdom)",19th April 1977 (age 44),1995,Jonny Storm,,,
10583,Roy Nelson,250 lbs. (113 kg) at 6'0'' (1.83 m),"Las Vegas, Nevada (United States of America)",20th June 1976 (age 45),17th April 2004 (17 years ago),Roy Nelson,,,
21037,Ben Webb,204 lbs. (93 kg) at 5'10'' (1.78 m),"Wolverhampton, West Midlands, England (United Kingdom)",1st August 1981 (age 40),2009,Trent Seven,,,
40,Kevin Scott Nash,317 lbs. (144 kg) at 6'11'' (2.11 m),"Detroit, Michigan (United States of America)",9th July 1959 (age 62),5th September 1990 (31 years ago),Kevin Nash,,,
725,Mark Copani,231 lbs. (105 kg) at 6'2'' (1.88 m),"Syracuse, New York (United States of America)",7th November 1981 (age 40),9th March 2002 (20 years ago),Muhammad Hassan,,,
1107,Theodore James Wilson,195 lbs. (88 kg) at 5'9'' (1.75 m),"Calgary, Alberta (Canada)",11th July 1980 (age 41),23rd July 1995 (26 years ago),Tyson Kidd,,,
2334,Joseph Nicholas Zwaduk III.,265 lbs. (120 kg) at 6'1'' (1.85 m),"St. Joseph, Missouri (United States of America)",28th August 1938,1956,Jody Hamilton,3rd August 2021,,
131,Vincent Kennedy McMahon,240 lbs. (109 kg) at 6'2'' (1.88 m),"Pinehurst, North Carolina (United States of America)",24th August 1945 (age 76),1971,Vince McMahon,,,
2463,Cody Garrett Runnels Rhodes,218 lbs. (99 kg) at 6'2'' (1.88 m),"Marietta, Georgia (United States of America)",30th June 1985 (age 36),13th May 2006 (15 years ago),Cody Rhodes,,,
1930,unknown,205 lbs. (93 kg) at 6'4'' (1.93 m),"Detroit, Michigan (United States of America)",12th July 1978 (age 43),??th March 1997,Toby Klein,,,
2459,Ray Liachelli Apollo,,"Hasbrouck Heights, New Jersey (United States of America)",,,Ray Liachelli,,,
21468,Dori Elizabeth Prange,125 lbs. (57 kg) at 5'2'' (1.57 m),"Edwardsburg, Michigan (United States of America)",9th January 1991 (age 31),12th December 2010 (11 years ago),Ruby Soho ,,,
4862,Jesse Guilmette,201 lbs. (91 kg) at 6'0'' (1.83 m),"Buffalo, New York (United States of America)",3rd June 1980 (age 41),20th July 1999 (22 years ago),The Blade,,,
1064,Steven Nicolas Romero,240 lbs. (109 kg) at 6'0'' (1.83 m),"Amarillo, Texas (United States of America)",21st June 1955,,Jay Youngblood,1st September 1985,,
2319,Mario Mejía Jiminez,143 lbs. (65 kg) at 4'7'' (1.40 m),"Nezahualcóyotl, Estado de México (Mexico)",1966,1985,Espectrito,24th January 2016,,
6039,Stephanie Sager,122 lbs. (55 kg) at 5'3'' (1.60 m),"Barberton, Ohio (United States of America)",18th March 1984 (age 38),10th March 2007 (15 years ago),Sassy Stephie ,,,
8231,Greg Smith,166 lbs. (75 kg) at 5'5'' (1.65 m),"Cleveland, Ohio (United States of America)",12th October 1986 (age 35),9th July 2006 (15 years ago),Gregory Iron,,,
12116,unknown,,"Stockport, Greater Manchester, England (United Kingdom)",,,Raynaldo,,,
19565,Mike Schwarz,265 lbs. (120 kg) at 6'3'' (1.91 m),"Oberhausen, Nordrhein-Westfalen (Germany)",7th May 1990 (age 31),22nd November 2008 (13 years ago),Mike Schwarz,,,
26719,unknown,192 lbs. (87 kg) at 5'8'' (1.73 m),"New York City, New York (United States of America)",27th September 1991 (age 30),2008,Ortiz,,,
1417,Kevin Adkisson,235 lbs. (107 kg) at 6'2'' (1.88 m),"Belleville, Illinois (United States of America)",15th May 1957 (age 64),1976,Kevin Von Erich,,,
15983,unknown,115 lbs. (52 kg) at 5'2'' (1.57 m),"Madisonville, Kentucky (United States of America)",21st May 1983 (age 38),2006,Leva Bates ,,,
54,Paul Donald Wight II.,383 lbs. (174 kg) at 7'0'' (2.13 m),"Aiken, South Carolina (United States of America)",8th February 1972 (age 50),3rd December 1994 (27 years ago),Paul Wight,,,
161,Paul Parlette Orndorff Jr.,250 lbs. (113 kg) at 6'0'' (1.83 m),"Bradenton, Florida (United States of America)",29th October 1949,1976,Paul Orndorff,12th July 2021,,
448,Lilián Annette García,110 lbs. (50 kg) at 5'5'' (1.65 m),"Madrid, Comunidad de Madrid (Spain)",19th August 1966 (age 55),??th November 1999,Lilián García ,,,
1940,unknown,185 lbs. (84 kg) at 5'8'' (1.73 m),"Ciudad de México, Ciudad de México (Mexico)",15th August 1966 (age 55),1984,Nitro,,,
5107,Bryan Alvarez,170 lbs. (77 kg) at 5'7'' (1.70 m),"Bothell, Washington (United States of America)",12th June 1975 (age 46),??th August 1998,Bryan Alvarez,,,
1149,Michael Mondragon,191 lbs. (87 kg) at 5'9'' (1.75 m),United States of America,,11th April 1998 (23 years ago),Disco Machine,,,
2678,Mike Cichowicz,192 lbs. (87 kg) at 6'0'' (1.83 m),"Philadelphia, Pennsylvania (United States of America)",,14th October 2006 (15 years ago),Facade,,,
7491,Evan Lloyd Tanner,185 lbs. (84 kg) at 6'0'' (1.83 m),"Amarillo, Texas (United States of America)",11th February 1971,12th April 1997 (24 years ago),Evan Tanner,8th September 2008,,
9971,James Andrew Miller,155 lbs. (70 kg) at 5'8'' (1.73 m),"Sparta, New Jersey (United States of America)",30th August 1983 (age 38),19th November 2005 (16 years ago),Jim Miller,,,
30938,Bianca Nicole Crawford,155 lbs. (70 kg) at 5'7'' (1.70 m),"Knoxville, Tennessee (United States of America)",9th April 1989 (age 32),29th September 2016 (5 years ago),Bianca Belair ,,,
837,Dwight Douglas Furnas,245 lbs. (111 kg) at 5'11'' (1.80 m),"Miami, Oklahoma (United States of America)",11th December 1959,1986,Doug Furnas,2nd March 2012,,
2851,David Crist Jr.,198 lbs. (90 kg) at 5'8'' (1.73 m),"New Carlisle, Ohio (United States of America)",10th November 1982 (age 39),1st January 2003 (19 years ago),Dave Crist,,,
8087,Nathan Donald Díaz,155 lbs. (70 kg) at 6'0'' (1.83 m),"Stockton, California (United States of America)",16th April 1985 (age 36),21st October 2004 (17 years ago),Nate Díaz,,,
154,Debrah Ann Miceli,150 lbs. (68 kg) at 5'10'' (1.78 m),"Milano, Lombardia (Italy)",9th February 1964 (age 58),1984,Madusa ,,,
2328,Scott Thompson,168 lbs. (76 kg) at 5'9'' (1.75 m),"Indianapolis, Indiana (United States of America)",26th July 1983 (age 38),27th June 2001 (20 years ago),Scotty Vortekz,,,
125,Stephanie McMahon Levesque,143 lbs. (65 kg) at 5'8'' (1.73 m),"Hartford, Connecticut (United States of America)",24th September 1976 (age 45),20th September 1999 (22 years ago),Stephanie McMahon ,,,
133,Alex Wright,225 lbs. (102 kg) at 6'4'' (1.93 m),"Nürnberg, Bayern (Germany)",17th May 1975 (age 46),1991,Alex Wright,,,
248,Eric Bischoff,180 lbs. (82 kg) at 5'10'' (1.78 m),"Detroit, Michigan (United States of America)",27th May 1955 (age 66),1987,Eric Bischoff,,,
35780,Kristen Stadtlander,,"West Islip, New York (United States of America)",7th August 1995 (age 26),10th September 2016 (5 years ago),Kris Statlander ,,,
1519,Kohei Suwama,265 lbs. (120 kg) at 6'2'' (1.88 m),"Fujisawa, Kanagawa (Japan)",23rd November 1976 (age 45),11th October 2004 (17 years ago),Suwama,,,
10421,Geghard Movsesian,205 lbs. (93 kg) at 6'1'' (1.85 m),Teheran (Iran),1st August 1985 (age 36),27th April 2003 (18 years ago),Gegard Mousasi,,,
10421,Geghard Movsesian,205 lbs. (93 kg) at 6'1'' (1.85 m),Teheran (Iran),1st August 1985 (age 36),27th April 2003 (18 years ago),Gegard Mousasi,,,
1056,Masao Kimura,275 lbs. (125 kg) at 6'1'' (1.85 m),"Nakagawa, Hokkaido (Japan)",30th June 1941,2nd April 1965 (56 years ago),Rusher Kimura,24th May 2010,,
1270,Anthony C. Altomare,,"Stamford, Connecticut (United States of America)",24th July 1928,,Tony Altimore,18th February 2003,,255 lbs. (116 kg)
1521,Masayuki Kono,238 lbs. (108 kg) at 6'3'' (1.91 m),"Noboribetsu, Hokkaido (Japan)",12th April 1980 (age 41),28th March 2003 (18 years ago),Masayuki Kono,,,
2025,Etsuko Mita,165 lbs. (75 kg) at 5'8'' (1.73 m),"Tokyo, Tokyo (Japan)",28th May 1969 (age 52),5th August 1987 (34 years ago),Etsuko Mita ,,,
2087,Jerry Stubbs,240 lbs. (109 kg) at 6'1'' (1.85 m),United States of America,13th September 1952 (age 69),1970,Jerry Stubbs,,,
3021,David Penzer,170 lbs. (77 kg) at 5'7'' (1.70 m),"Atlanta, Georgia (United States of America)",,1988,Dave Penzer,,,
3364,Natsumi Mizushima,128 lbs. (58 kg) at 4'11'' (1.50 m),"Kawasaki, Kanagawa (Japan)",7th May 1984 (age 37),17th November 2003 (18 years ago),Natsuki*Taiyo ,,,
3383,unknown,170 lbs. (77 kg) at 5'10'' (1.78 m),"Kaizuka, Osaka (Japan)",18th October 1985 (age 36),29th April 2005 (16 years ago),Atsushi Kotoge,,,
3539,Martin Haffner,170 lbs. (77 kg) at 5'6'' (1.68 m),"Dudley, West Midlands, England (United Kingdom)",26th January 1982 (age 40),5th August 2001 (20 years ago),British Born Steele,,,
3742,Frank Mullins,165 lbs. (75 kg) at 5'8'' (1.73 m),"Memphis, Tennessee (United States of America)",25th March 1972 (age 49),??th June 1990,The American Kickboxer,,,
4000,unknown,,United Kingdom,18th December 1936,,Malcolm Kirk,24th August 1987,,350 lbs. (159 kg)
7088,unknown,212 lbs. (96 kg) at 6'5'' (1.96 m),Illinois (United States of America),5th January 1985 (age 37),,Marshe Rockett,,,
