,Real Name,Birthplace,Date of Birth,Date of Death,wrestler_name,Debut,Weight,Weight and Height,Height
7592,unknown,"Heroica Puebla de Zaragoza, Puebla (Mexico)",,,Súper Kiss,,,,
7593,unknown,"Pachuca, Hidalgo (Mexico)",,,Bat Blue,,,,
7594,unknown,Mexico,,,Dr. Maldad,,,,
7595,unknown,Mexico,,,Mr. Maldad,,,,
7601,unknown,"Swansea, Swansea, Wales (United Kingdom)",2nd October 1973 (age 48),,Tommy Boyce,,,,5'10'' (1.78 m)
7603,Donald L. Marlin,,,,Farmer Marlin,,,,
7604,Hyman Fishman,"Chelsea, Massachusetts (United States of America)",3rd June 1912,25th September 1976,Ivan Rasputin,,235 lbs. (107 kg),,
7605,Franciscus Johannes Hart,"Groningen, Groningen (Netherlands)",1908,3rd July 1982,Frankie Hart,,,,
7606,unknown,"Dublin, Dublin (Ireland)",,,Brother Skelly,8th October 2006 (15 years ago),,159 lbs. (72 kg) at 5'8'' (1.73 m),
7607,unknown,"Dublin, Dublin (Ireland)",,,Paddy Whack,2nd July 2006 (15 years ago),,240 lbs. (109 kg) at 6'4'' (1.93 m),
7608,unknown,United Kingdom,6th March 1982 (age 40),,Lee Butler,,,280 lbs. (127 kg) at 6'0'' (1.83 m),
7609,Darren Poole,"Wigan, Greater Manchester, England (United Kingdom)",1979,,Darren Poole,,,,5'9'' (1.75 m)
7610,unknown,Sligo (Ireland),10th July 1986 (age 35),,JC Williams,11th June 2005 (16 years ago),,210 lbs. (95 kg) at 6'1'' (1.85 m),
7611,Neil Keegan,"Killiney, Dún LaoghaireRathdown (Ireland)",6th March 1981 (age 41),,Jerry Carcass,2002,,190 lbs. (86 kg) at 5'10'' (1.78 m),
7612,unknown,"Mullingar, Westmeath (Ireland)",11th July 1987 (age 34),,Farmer Daly,30th April 2006 (15 years ago),,200 lbs. (91 kg) at 6'2'' (1.88 m),
7613,unknown,"Newcastle, Wicklow (Ireland)",,,Andy Barton,,,195 lbs. (88 kg) at 5'11'' (1.80 m),
7614,unknown,"Dublin, Dublin (Ireland)",12th May 1985 (age 36),,Phil Boyd,,,176 lbs. (80 kg) at 5'9'' (1.75 m),
7615,Gregory Jarque,"Barcelona, Cataluña (Spain)",1923,1st July 1998,Gregorio Jarque,1939,,,
7616,Haralambos Karpozilos,,1925,1971,Great Karpozilos,,,,
7617,Frank Ernest Moeller,"Mamaroneck, New York (United States of America)",16th August 1905,17th March 1991,Fritz Schnabel,,,,5'8'' (1.73 m)
7618,unknown,"Anadarko, Oklahoma (United States of America)",,??th August 1994,Chief Kit Fox,,,,
7619,Gerard Latarte,,,,George Cagney,,,,
7620,William Lester Darnell,"Camden, New Jersey (United States of America)",25th February 1926,7th September 2007,Billy Darnell,,,228 lbs. (103 kg) at 5'10'' (1.78 m),
7621,unknown,New South Wales (Australia),,,Rob Best,,,209 lbs. (95 kg) at 5'10'' (1.78 m),
7622,Rodney Clair Fenton,"Edmonton, Alberta (Canada)",4th September 1913,3rd October 1976,Rod Fenton,,,185 lbs. (84 kg) at 5'7'' (1.70 m),
7623,Clarence Wahlberg,"Superior, Wisconsin (United States of America)",28th November 1908,5th August 1986,Whitey Wahlberg,,,190 lbs. (86 kg) at 5'7'' (1.70 m),
7624,Robert E. McCune,,11th December 1921,14th June 2002,Lord Pinkerton,,,,
7625,William McDaniel,,,,Billy McDaniels,26th November 1947 (74 years ago),,,
7626,Stanislaus Karolyi,Nagykanizsa (Hungary),2nd March 1906,XXXX,Stan Karolyi,,,,
7627,unknown,,,,Jim Henry,,,265 lbs. (120 kg) at 6'4'' (1.93 m),
7628,unknown,,,,Otto Bowman,,,,
7629,unknown,,6th January 1933,1st June 2015,Mike Lane,1952,,275 lbs. (125 kg) at 6'8'' (2.03 m),
7635,Francisco Zapata Jr.,Mexico,,10th September 2017,El Macho,,,,
7636,unknown,"Heroica Puebla de Zaragoza, Puebla (Mexico)",30th May 1970,6th August 2012,Full Contact,1992,,181 lbs. (82 kg) at 5'6'' (1.68 m),
7637,unknown,Mexico,,,Piloto Negro,,,,
7638,unknown,Mexico,,,Piloto Suicida,,,,
7639,unknown,,,,Raúl Torres,,,,
7641,Salvador González Reynoso,"Guadalajara, Jalisco (Mexico)",2nd July 1923 (age 98),,El Conde Negro,??th October 1944,,,
7650,Jason L. Lambert,"Long Beach, California (United States of America)",23rd September 1977 (age 44),,Jason Lambert,18th February 2001 (21 years ago),,205 lbs. (93 kg) at 5'10'' (1.78 m),
7654,Jason Day,"Lethbridge, Alberta (Canada)",19th May 1981 (age 40),,Jason Day,27th July 2002 (19 years ago),,185 lbs. (84 kg) at 6'0'' (1.83 m),
7657,Roan Carneiro,"Río de Janeiro, Río de Janeiro (Brazil)",2nd June 1978 (age 43),,Roan Carneiro,24th July 2000 (21 years ago),,170 lbs. (77 kg) at 5'9'' (1.75 m),
7660,Neil Wain,"Pontefract, West Yorkshire, England (United Kingdom)",,,Neil Wain,4th November 2006 (15 years ago),,240 lbs. (109 kg) at 5'10'' (1.78 m),
7661,Jess Liaudin,"Évry, Île-de-France (France)",1973,,Jess Liaudin,25th November 2000 (21 years ago),,155 lbs. (70 kg) at 5'9'' (1.75 m),
7664,unknown,"Vicenza, Veneto (Italy)",1987,,Mariel,21st January 2006 (16 years ago),,223 lbs. (101 kg) at 6'1'' (1.85 m),
7665,Mike Raho,"Vicenza, Veneto (Italy)",30th December 1978 (age 43),,Psycho Mike,20th April 2002 (19 years ago),,150 lbs. (68 kg) at 5'7'' (1.70 m),
7666,Emilio Bernocchi,"Lodi, Lombardia (Italy)",,,Mr. Excellent,23rd July 2001 (20 years ago),,176 lbs. (80 kg) at 5'10'' (1.78 m),
7667,unknown,"Brescia, Lombardia (Italy)",1st June 1976 (age 45),,Crazy G,13th November 2005 (16 years ago),,187 lbs. (85 kg) at 5'11'' (1.80 m),
7668,unknown,"Milano, Lombardia (Italy)",10th May 1976 (age 45),,Il Drago,23rd July 2001 (20 years ago),,170 lbs. (77 kg) at 6'0'' (1.83 m),
7669,Alberto Copler,"Bergamo, Lombardia (Italy)",29th July 1985 (age 36),,Kobra,28th August 2004 (17 years ago),,201 lbs. (91 kg) at 5'11'' (1.80 m),
7670,unknown,"Bergamo, Lombardia (Italy)",,,Persefone ,24th June 2006 (15 years ago),,,
7673,unknown,"Boston, Lincolnshire, England (United Kingdom)",26th July 1989 (age 32),,Matt Pedin,??th February 2006,,185 lbs. (84 kg) at 5'11'' (1.80 m),
7675,unknown,"Boston, Lincolnshire, England (United Kingdom)",12th May 1985 (age 36),,Black Ice,,,,
7676,unknown,"Nottingham, Nottinghamshire, England (United Kingdom)",17th October ???,,LJ Heron,2007,,210 lbs. (95 kg) at 5'11'' (1.80 m),
7677,unknown,"Sheffield, South Yorkshire, England (United Kingdom)",6th August 1978 (age 43),,Rainz,1998,,360 lbs. (163 kg) at 6'5'' (1.96 m),
7679,unknown,,,,Wolfgang Von Heller,,,,
7680,unknown,"Houston, Texas (United States of America)",24th December ???,,Aaron Neil,??th August 2002,,290 lbs. (132 kg) at 6'3'' (1.91 m),
7681,unknown,Mexico,,,Ghefar,,,,
7683,unknown,,,,Brian Brieger,,,,
7684,Enzo Enrique Miramontes González,"Torreón, Coahuila de Zaragoza (Mexico)",29th November 1973 (age 48),,Sexy Francis,1992,,192 lbs. (87 kg) at 6'0'' (1.83 m),
7685,Alejandro Peña,"Ciudad de México, Ciudad de México (Mexico)",4th January 1976 (age 46),,Ben Hur,,,,6'0'' (1.83 m)
7686,unknown,"Acapulco de Juárez, Guerrero (Mexico)",18th September 1970 (age 51),,Limberg,??th December 1989,,196 lbs. (89 kg) at 5'5'' (1.65 m),
7687,Jorge Contreras Tamayo,"Monterrey, Nuevo León (Mexico)",1977,,Coco Viper,1998,,,
7689,Lucy González Calderón,"Monterrey, Nuevo León (Mexico)",24th April 1974 (age 47),,La Justiciera ,2000,,,
7692,unknown,"Tultitlán, Estado de México (Mexico)",4th September 1975 (age 46),,El Psicópata,1st May 1993 (28 years ago),,165 lbs. (75 kg) at 5'7'' (1.70 m),
7695,Danna Paola Cuevas,"San Nicolás de los Garza, Nuevo León (Mexico)",1995,,Candy Girl ,,,132 lbs. (60 kg) at 5'2'' (1.57 m),
7696,unknown,"Tepic, Nayarit (Mexico)",,,Indomable,,,,
7697,unknown,Mexico,,,Súper Panda,,,190 lbs. (86 kg) at 5'3'' (1.60 m),
7698,Marco Antonio Jiménez Jiménez,Mexico,17th January 1983 (age 39),,Cerebro Maligno,2005,,194 lbs. (88 kg) at 5'7'' (1.70 m),
7699,unknown,Mexico,,,Súper Can,,,,
7700,unknown,"Monterrey, Nuevo León (Mexico)",,,Rey Araña,,,187 lbs. (85 kg) at 5'11'' (1.80 m),
7701,unknown,"Juárez, Chihuahua (Mexico)",29th August 1969 (age 52),,Takeda,,,,
7702,unknown,Mexico,,,El Hijo del Gran Markus,,,,
7703,Pablo Moreno Román,"Torreón, Coahuila de Zaragoza (Mexico)",19th October 1948,25th April 2009,El Soberano,16th August 1973 (48 years ago),,,
7704,unknown,"Torreón, Coahuila de Zaragoza (Mexico)",4th January ???,,El Hijo del Soberano,23rd October 2003 (18 years ago),,187 lbs. (85 kg) at 6'0'' (1.83 m),
7706,unknown,"Sapporo, Hokkaido (Japan)",22nd November 1987 (age 34),,Rui Hiugaji,16th June 2007 (14 years ago),,183 lbs. (83 kg) at 5'8'' (1.73 m),
7707,unknown,Japan,4th September 1975 (age 46),,Riki Senshu,1994,,,
7708,unknown,Japan,,,Hardcore Kid Kojiro,20th April 2003 (18 years ago),,,
7709,Masahiro Omori,"Fujisawa, Kanagawa (Japan)",5th October 1978 (age 43),,KENSHIN,25th May 1997 (24 years ago),,255 lbs. (116 kg) at 5'11'' (1.80 m),
7710,Zaza Tukeschelaschwili,Vani (Georgia),19th March 1966 (age 56),,Zaza Grom,7th December 1991 (30 years ago),,244 lbs. (111 kg) at 6'2'' (1.88 m),
7711,unknown,,,,Takayuki Aizawa,,,,
7712,Nobuyuki Kurashima,"Saitama, Saitama (Japan)",4th March 1973 (age 49),,Nobuyuki Kurashima,5th October 1996 (25 years ago),,250 lbs. (113 kg) at 5'10'' (1.78 m),
7713,unknown,,,,Olympia Hartauer,,,,
7716,unknown,Mexico,,23rd March 2014,María del Ángel ,,,,
7718,unknown,"New York City, New York (United States of America)",9th December 1980 (age 41),,Blake Norton,2001,,203 lbs. (92 kg) at 5'10'' (1.78 m),
7719,Steve Edwards,"Rugby, Warwickshire, England (United Kingdom)",,,Psycho Steve,,,205 lbs. (93 kg) at 5'8'' (1.73 m),
7720,unknown,"Sydney, New South Wales (Australia)",,,Chris X,10th August 2004 (17 years ago),,176 lbs. (80 kg) at 5'9'' (1.75 m),
7721,Shawn Scott,"Newtownards, Down, Northern Ireland (United Kingdom)",,,Shawn Scott,2004,,,6'0'' (1.83 m)
7724,unknown,"Glasgow, Scotland (United Kingdom)",,,RiP,,,238 lbs. (108 kg) at 6'3'' (1.91 m),
7725,unknown,"Newcastle, New South Wales (Australia)",,,Adam Hoffman,,,176 lbs. (80 kg) at 5'11'' (1.80 m),
7726,unknown,"Sydney, New South Wales (Australia)",,,Toxin,,,231 lbs. (105 kg) at 6'3'' (1.91 m),
7727,unknown,,,,Il Cognito,,,203 lbs. (92 kg) at 6'0'' (1.83 m),
7728,unknown,,,,Zander Bathory,17th April 2004 (17 years ago),,209 lbs. (95 kg) at 5'9'' (1.75 m),
7729,unknown,"Bathurst, New South Wales (Australia)",,,Matt Theo,,,220 lbs. (100 kg) at 5'8'' (1.73 m),
7730,unknown,"Sydney, New South Wales (Australia)",,,Steve Ravenous,28th May 2003 (18 years ago),,231 lbs. (105 kg) at 6'3'' (1.91 m),
7731,unknown,"Sydney, New South Wales (Australia)",,,The Massive Q,2006,,364 lbs. (165 kg) at 6'7'' (2.01 m),
7732,Scott Mitchell,"Sydney, New South Wales (Australia)",,,Scotty Club,,,198 lbs. (90 kg) at 5'10'' (1.78 m),
7733,Glenn Balliana,"Wollongong, New South Wales (Australia)",,,The Captain,6th December 2003 (18 years ago),,209 lbs. (95 kg) at 6'0'' (1.83 m),
7734,unknown,"Sydney, New South Wales (Australia)",,,JT Robinson,1998,,265 lbs. (120 kg) at 6'0'' (1.83 m),
7735,unknown,"Sydney, New South Wales (Australia)",,,Kid Dynamite,,,154 lbs. (70 kg) at 5'8'' (1.73 m),
7737,unknown,"Gosford, New South Wales (Australia)",,,Billy Flyswat,2003,,183 lbs. (83 kg) at 6'0'' (1.83 m),
7738,unknown,"Sydney, New South Wales (Australia)",,,Bodacious Bo ,26th October 2007 (14 years ago),,159 lbs. (72 kg) at 5'7'' (1.70 m),
7740,Nels Jesse Reimer,,28th February 1882,4th September 1956,Jess Westergaard,,,220 lbs. (100 kg) at 6'2'' (1.88 m),
7741,George L. McIntyre,,,,Paddy Mack,,,,
7743,William Earl Lee Sr.,"Eutaw, Alabama (United States of America)",19th August 1911,23rd June 1998,Bill Lee,27th April 1936 (85 years ago),,231 lbs. (105 kg) at 6'2'' (1.88 m),
7744,Stanley Ernest Myslajek,"Minneapolis, Minnesota (United States of America)",2nd June 1911,28th February 1995,Stan Myslajek,1932,,218 lbs. (99 kg) at 6'2'' (1.88 m),
7745,John Joseph Conley,"Cambridge, Massachusetts (United States of America)",21st June 1907,19th September 1992,Jack Conley,,,,
7746,Karl Thurman Davis,"Crested Butte, Colorado (United States of America)",16th April 1908,1st July 1977,Karl Davis,,,240 lbs. (109 kg) at 6'2'' (1.88 m),
7749,Richard D. Barkley Jr.,,10th May 1930,28th January 1999,Dick Barkley,,,,
7750,John Robert Shaw,"Dallas, Texas (United States of America)",21st March 1923,19th February 1989,Ivan Bulba,,,210 lbs. (95 kg) at 6'0'' (1.83 m),
7751,Benoit Peter Trudel,"Cobalt, Ontario (Canada)",6th April 1915,??th June 1986,Benny Trudel,,,193 lbs. (88 kg) at 5'8'' (1.73 m),
7752,unknown,"Sydney, New South Wales (Australia)",,,Mark Hilton,,,187 lbs. (85 kg) at 6'0'' (1.83 m),
7754,unknown,,,,Draevyn ,,,,
7755,unknown,"Coventry, West Midlands, England (United Kingdom)",29th March 1985 (age 36),,Edgar Stryfe,,,325 lbs. (147 kg) at 6'3'' (1.91 m),
7756,unknown,"Telford, Shropshire, England (United Kingdom)",13th July 1988 (age 33),,Andy Shoes,2003,,170 lbs. (77 kg) at 5'10'' (1.78 m),
7757,unknown,"Ashby-de-la-Zouch, Leicestershire, England (United Kingdom)",21st May 1984 (age 37),,CK Light,2005,,192 lbs. (87 kg) at 6'1'' (1.85 m),
7758,unknown,United Kingdom,,,Canno Tangoe,,,,5'7'' (1.70 m)
7759,unknown,"Yate, Gloucestershire, England (United Kingdom)",,,Dave Mercy,,,262 lbs. (119 kg) at 6'1'' (1.85 m),
7760,Frank Scarpa,"Boston, Massachusetts (United States of America)",28th September 1915,25th January 1969,Frank Scarpa,,,197 lbs. (89 kg) at 5'11'' (1.80 m),
7761,Mitsuaki Hirai,"Kobe, Hyogo (Japan)",15th February 1943,28th October 2003,Mitsu Hirai,,,229 lbs. (104 kg) at 5'10'' (1.78 m),
7762,Jenna-Nicola,United Kingdom,,,Buttercup,,,105 lbs. (48 kg) at 5'3'' (1.60 m),
7764,unknown,Mexico,,,Thunder Boy,,,,
7766,Alfredo Reyes Vargas,"Nuevo Laredo, Tamaulipas (Mexico)",5th April 1959 (age 62),,Príncipe Judás,1985,,264 lbs. (120 kg) at 5'9'' (1.75 m),
7769,Harold Melvin Kanner,"New York City, New York (United States of America)",24th October 1926,15th August 1993,Hal Kanner,,,,
7771,Johnnie Brannigan,"Blackpool, Lancashire, England (United Kingdom)",,,Heresy,,,,6'2'' (1.88 m)
7772,unknown,"Glasgow, Glasgow, Scotland (United Kingdom)",8th May 1987 (age 34),,Sean Anthony David,2005,,170 lbs. (77 kg) at 5'9'' (1.75 m),
7776,Dante Rivera,"Jackson Township, New Jersey (United States of America)",8th December 1974 (age 47),,Dante Rivera,9th November 2002 (19 years ago),,185 lbs. (84 kg) at 6'1'' (1.85 m),
7779,Daniel John Cramer,Connecticut (United States of America),31st October 1985 (age 36),,Dan Cramer,31st January 2009 (13 years ago),,185 lbs. (84 kg) at 6'0'' (1.83 m),
7782,John Cale Yarbrough,"Marietta, Georgia (United States of America)",27th December 1986 (age 35),,Cale Yarbrough,19th July 2008 (13 years ago),,205 lbs. (93 kg) at 6'2'' (1.88 m),
7790,Zivko Sreco Milos Simunovich,Racisce (Croatia),15th August 1919,17th January 1995,Lucky Simunovich,,,220 lbs. (100 kg) at 6'2'' (1.88 m),
7791,Leo Joseph Nomellini,Italy,19th June 1924,17th October 2000,Leo Nomellini,21st March 1950 (71 years ago),,,
7793,unknown,,,,Jerry Gordet,,,,
7795,Thomas Charles Rice,"Bozeman, Montana (United States of America)",19th February 1914,24th August 1996,Tom Rice,,,225 lbs. (102 kg) at 6'2'' (1.88 m),
7796,Auleaga Maiava,,,,Neff Maivia,,,,
7797,George A. Bollas,"Warren, Ohio (United States of America)",19th September 1923,28th January 1977,George Bollas,31st January 1947 (75 years ago),336 lbs. (152 kg),,
7799,César González,Mexico,1969,,Trueno,,,,
7800,Raúl Rojas,Mexico,,22nd October 1995,Raúl Rojas,,,,
7802,Kurt Beyer,"Buffalo, New York (United States of America)",23rd September 1960 (age 61),,Kurt Beyer,9th January 1993 (29 years ago),,250 lbs. (113 kg) at 6'4'' (1.93 m),
7803,William Joseph Varga,"Cleveland, Ohio (United States of America)",10th January 1919,15th January 2013,Billy Varga,,,200 lbs. (91 kg) at 5'11'' (1.80 m),
7804,unknown,Hungary,1889,1969,Joe Varga,,,,
7805,unknown,Hungary,7th July 1920,30th June 2004,Sandor Kovacs,,,,
7806,unknown,"Ciudad de México, Ciudad de México (Mexico)",3rd July 1984 (age 37),,Demony,,,,
7807,unknown,Mexico,,,Bull Terry,,,,
7808,Antonio Sánchez Vargas,"Saltillo, Coahuila de Zaragoza (Mexico)",15th February 1945,28th March 2018,Flama Azul,1967,,,
7810,José Manuel Era,Mexico,,,El Potro,1985,,,
7811,Jacinta Rivero,Mexico,1941,26th November 2006,La Jarochita Rivero ,1957,,137 lbs. (62 kg) at 5'5'' (1.65 m),
7813,unknown,"Nashville, Tennessee (United States of America)",,,Adam Armor,,,202 lbs. (92 kg) at 5'11'' (1.80 m),
7815,unknown,,,,Big Bull Horton,,,385 lbs. (175 kg) at 6'2'' (1.88 m),
7816,unknown,,,,Birney Kawanawitz,,,,
7817,unknown,Saskatchewan (Canada),,,Chris Lee,,,210 lbs. (95 kg) at 6'1'' (1.85 m),
7818,unknown,"Decatur, Alabama (United States of America)",,,Cecil Plezing,,,302 lbs. (137 kg) at 5'10'' (1.78 m),
7819,unknown,,,,Nick Feldman,,,,
7820,James Mitchell,Tennessee (United States of America),31st July 1908,19th June 1996,Jim Mitchell,1926,,,5'9'' (1.75 m)
7821,Francis Paul Sexton,"London, Ohio (United States of America)",1st November 1910,20th November 1991,Frank Sexton,,,,
7822,unknown,"Truth or Consequences, New Mexico (United States of America)",,,Dan Sawyer,,,250 lbs. (113 kg) at 5'10'' (1.78 m),
7823,unknown,"Birmingham, Alabama (United States of America)",,,Mason Fury,,,255 lbs. (116 kg) at 6'0'' (1.83 m),
7824,unknown,"San José, California (United States of America)",,,John Sepeda,,204 lbs. (93 kg),,
7825,unknown,,,,Phil Wilson,,,,
7827,unknown,"Broken Arrow, Oklahoma (United States of America)",,,Rastas Polk,,,240 lbs. (109 kg) at 6'0'' (1.83 m),
7828,unknown,,,,Steve Plezing,,,250 lbs. (113 kg) at 5'10'' (1.78 m),
7829,unknown,,,,The Inhuman Fly,,,,
7830,unknown,"Charleston, South Carolina (United States of America)",,,Theodore Tutweiler III.,,,220 lbs. (100 kg) at 6'2'' (1.88 m),
7831,unknown,"Decatur, Alabama (United States of America)",,,Will Owens,,,242 lbs. (110 kg) at 5'11'' (1.80 m),
7832,unknown,"Atlanta, Georgia (United States of America)",,,Brian Sterling,,,182 lbs. (83 kg) at 5'10'' (1.78 m),
7834,unknown,,,,Howard Cross,,,,
7835,unknown,"New Orleans, Louisiana (United States of America)",,,Mudbone,,,225 lbs. (102 kg) at 6'2'' (1.88 m),
7836,unknown,"Ciudad de México, Ciudad de México (Mexico)",,,El Yaki,,,190 lbs. (86 kg) at 5'6'' (1.68 m),
7837,Stephanie Landry,"Ottawa, Ontario (Canada)",1980,,Misty Haven ,2002,,130 lbs. (59 kg) at 5'3'' (1.60 m),
7840,unknown,"Niagara Falls, Ontario (Canada)",20th June 1983 (age 38),,Primo Scordino,,,215 lbs. (98 kg) at 5'6'' (1.68 m),
7841,Edmund Solomon Wong,"Honolulu, Hawaii (United States of America)",13th February 1918,6th September 1994,Wong Buck Lee,,,,
7842,Albino Hernández,"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",27th July 1957 (age 64),,León Chino,??th July 1975,,183 lbs. (83 kg) at 5'7'' (1.70 m),
7844,Susan Adams,,15th December 1959,23rd May 2008,Pebbles ,,,,
7845,John Behrend,"Rochester, New York (United States of America)",27th March 1929,20th September 2011,Johnny Barend,13th October 1948 (73 years ago),,230 lbs. (104 kg) at 6'1'' (1.85 m),
7846,Kin'ichi Inoue,"Tokyo, Tokyo (Japan)",28th October 1921,31st July 1973,Azumafuji,,,330 lbs. (150 kg) at 6'0'' (1.83 m),
7847,Robert H. Bruns,"Chicago, Illinois (United States of America)",12th July 1914,23rd January 1983,Bobby Bruns,,,225 lbs. (102 kg) at 6'2'' (1.88 m),
7848,John D. Henning,,7th November 1927,1st July 2001,John Paul Henning,??th March 1951,,230 lbs. (104 kg) at 6'1'' (1.85 m),
7849,Jack Pesek,"Ravenna, Nebraska (United States of America)",22nd September 1923,2nd July 1990,Jack Pesek,,,249 lbs. (113 kg) at 6'3'' (1.91 m),
7851,Daniel Richard Nardico,"Painesville, Ohio (United States of America)",3rd July 1925,22nd November 2010,Danny Nardico,,,,
7854,unknown,"Herne, Nordrhein-Westfalen (Germany)",20th April 1983 (age 38),,Thomas Freakz,,,,
7855,unknown,"Romulus, Michigan (United States of America)",2nd September ???,,John E. Bravo,1998,,195 lbs. (88 kg) at 6'1'' (1.85 m),
7856,unknown,"Toronto, Ontario (Canada)",,,Cannibal Cirk,,,,5'10'' (1.78 m)
7858,unknown,,,,Tim Titan,,,,
7859,unknown,,,,Lora,,,,
7860,unknown,,,,Dawn,,,,
7861,unknown,,,,Nurse Ivanna,,,,
7862,unknown,,,,KOA,,,,
7863,unknown,,,,Roxxxy Moron,,,,
7864,unknown,,,,Lauren O'Neill,,,,
7865,unknown,,,,Vanessa Mason,,,,
7866,Raymond Jacob Gedeon,"Cleveland, Ohio (United States of America)",22nd December 1911,26th March 2001,Red Shoes Dugan,,,,
7867,unknown,,,,Stace,,,,
7868,unknown,,,,Allin the Unruly,,,,
7869,unknown,"New York City, New York (United States of America)",25th February ???,,Reck,,,217 lbs. (98 kg) at 5'11'' (1.80 m),
7870,unknown,"Tillsonburg, Ontario (Canada)",,,Freak Show,,,162 lbs. (73 kg) at 5'10'' (1.78 m),
7872,unknown,"Monterrey, Nuevo León (Mexico)",15th May 1955 (age 66),,Karonte,1980,,,
7873,Gregorio Soria Renteria,"Guadalajara, Jalisco (Mexico)",2nd February 1942,15th December 2017,Rubén Soria,??th March 1963,,,
7875,Baltazar Nava Salinas,"Ometepec, Guerrero (Mexico)",6th January 1936,??th May 2007,Costeño Nava,,,,
7876,unknown,,19th September 1903,1963,Emile Poilve,,,,
7877,Paul Leteurtrois,"Paris, Île-de-France (France)",26th March 1915,XXXX,Antonio Litta,,,,
7878,unknown,Berlin (Germany),,,Harry Lehmann,,,216 lbs. (98 kg) at 6'4'' (1.93 m),
7879,William David Hall,South Africa,5th December 1930,24th August 2004,Percy Hall,1954,,,
7880,unknown,Brazil,,,Antonio Moralino,,,,
7882,unknown,Canada,10th February ???,,Daemon Reznor,,185 lbs. (84 kg),,
7883,Tim Gagnon,"Windsor, Ontario (Canada)",,,PD Skillz,??th September 2004,,220 lbs. (100 kg) at 5'10'' (1.78 m),
7884,unknown,Ontario (Canada),,,Shawn Brown,18th June 1993 (28 years ago),,255 lbs. (116 kg) at 6'1'' (1.85 m),
7885,unknown,"Hamilton, Ontario (Canada)",21st December 1939 (age 82),,Ernie Moore,,,240 lbs. (109 kg) at 5'11'' (1.80 m),
7886,unknown,"Cambridge, Ontario (Canada)",25th September ???,,Lance Malibu,,,235 lbs. (107 kg) at 6'1'' (1.85 m),
7887,unknown,"Cambridge, Ontario (Canada)",,,Rusty Malibu,,,185 lbs. (84 kg) at 5'9'' (1.75 m),
7889,unknown,"Washington, District of Columbia (United States of America)",,,Jagger W. Bush,,,162 lbs. (73 kg) at 5'8'' (1.73 m),
7890,unknown,Canada,,,Jake Matthews,,,225 lbs. (102 kg) at 6'1'' (1.85 m),
7892,unknown,"Westmount, Quebec (Canada)",,,Kid Kamikaze,,,195 lbs. (88 kg) at 6'0'' (1.83 m),
7893,unknown,Canada,,,Hardcore Ninja #1,,,166 lbs. (75 kg) at 5'6'' (1.68 m),
7894,unknown,Canada,,,Hardcore Ninja #2,,,176 lbs. (80 kg) at 5'8'' (1.73 m),
7895,Manny Elefthriou,"Montréal, Quebec (Canada)",,,Crazy Manny,,,252 lbs. (114 kg) at 6'1'' (1.85 m),
7896,unknown,"San Francisco, California (United States of America)",,,Pornstar Juan,,,183 lbs. (83 kg) at 5'7'' (1.70 m),
7899,unknown,,20th March 1933,15th May 1965,Frank Townsend,1956,,,6'4'' (1.93 m)
7901,Laurent Moquin,,1923,12th December 1988,Larry Moquin,1941,,,
7902,unknown,,,,Bob Rasmussen,26th November 1958 (63 years ago),,,
7903,Josef Stofan,,,,Josef Stofan,1936,,,
7905,Paul Douglas McClary,"Roseburg, Oregon (United States of America)",24th March 1908,24th January 1983,Pat McClary,,,265 lbs. (120 kg) at 6'4'' (1.93 m),
7906,John David Mucciacciaro,"Balsam Lake, Wisconsin (United States of America)",18th December 1921,3rd October 1960,Johnny Moochy,,240 lbs. (109 kg),,
7907,unknown,,,,Malcolm Brenner,,,240 lbs. (109 kg) at 6'0'' (1.83 m),
7908,unknown,"London, Greater London, England (United Kingdom)",,,Alan Garfield,,,,
7909,unknown,,,,Manuel d´Oliveira,,,,
7910,Ida Mae Martinez Selenkow,"New London, Connecticut (United States of America)",9th September 1931,19th January 2010,Ida Mae Martínez ,??th August 1951,,125 lbs. (57 kg) at 5'2'' (1.57 m),
7911,Leonard Richard Hughes,"Mount Kisco, New York (United States of America)",1st February 1908,1984,Len Hughes,,,,
7913,Chris Barth,"Kidderminster, Worcestershire, England (United Kingdom)",19th March 1980 (age 42),,Chris Cage,,,210 lbs. (95 kg) at 6'4'' (1.93 m),
7914,unknown,United Kingdom,,,Bover,,,,
7916,unknown,"Milton Keynes, Buckinghamshire, England (United Kingdom)",1st March 1976 (age 46),,Shabazz,,,207 lbs. (94 kg) at 5'5'' (1.65 m),
7917,unknown,Mexico,,,Xtreme Dragón,2nd November 2002 (19 years ago),,143 lbs. (65 kg) at 5'9'' (1.75 m),
7918,unknown,Mexico,,,Morvius,,,,
7919,unknown,Querétaro Arteaga (Mexico),1st February 1981 (age 41),,Ursus,,,,
7920,unknown,,,,Monica Massaro ,,,,
7921,unknown,"Uniontown, Pennsylvania (United States of America)",2nd May 1981 (age 40),,Brooke Scott,,,,
7922,unknown,,,,Liinx,,,,
7923,unknown,"Guadalajara, Jalisco (Mexico)",5th April 1971 (age 50),,Estrella de Fuego ,??th March 1989,,137 lbs. (62 kg) at 5'3'' (1.60 m),
7924,unknown,Mexico,,,Okawa,,,,
7925,unknown,"Ciudad de México, Ciudad de México (Mexico)",4th September ???,,Rey Lobo Jr.,,,,
